title,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country,date,time
Donald Trump speaks after winning the 2024 Presidential Election,Fox News,News & Politics,"""Fox News Channel|FNC|Fox News|News|donald trump|swing states|battleground states|electoral college|2024 election|harris campaign|2024 elections|trump campaign|2024|2024 presidential election|fox news|fox news media|fox news channel|fox news network|politics|democrats|republicans|democratic party|republican party|trump v harris|trump live|trump speaking live|trump press conference|trump press briefing|2024 election results|donald trump live""",25.37,none,17240521,294170,26128,12300000,0.018578209,18199108495,US,11/6/2024,8:09:45
Angel Edgar VS Demon Mortis - Animation,Brawl Stars,Gaming,"""brawl stars|brawler|edgar|mortis|angel|demon|brawl pass|new season|animation|kit|skins|battle|fight|epic|supercell""",1.15,none,3052291,194126,8313,20600000,0.066323624,2941932208,FI,11/6/2024,9:15:40
HIGHLIGHTS - Real Madrid vs Milan | UEFA Champions League 24/25 | TUDN,TUDN USA,Sports,"""Milan|Real Madrid|Real Madrid vs. Milan|real madrid vs milan|highlights real madrid vs milan|real madrid champions league|milan champions league|vinicius champions|mbappe real madrid|donde ver la champions|champions league 2024|champions league hoy|uefa|champions league en vivo|vix|vix champions league|tudn usa|tudn champions league|futbol|univision champions league|futbol eua""",15.23,none,602583,5911,831,1910000,0.0111885,1970705243,US,11/5/2024,22:23:24
Real Madrid vs. AC Milan: Extended Highlights | UCL League Phase MD 4 | CBS Sports Golazo,CBS Sports Golazo,Sports,"""Champions League|Europa League|Soccer|UEFA|UCL|European Soccer|European Football|European Futbol|UEL|UCL Highlights|Champions League Highlights|Football|CBS Golazo|CBS|Micah Richards|Jamie Carragher|Thierry Henry|CBS Studio""",12.98,none,681640,9788,1673,2090000,0.016813861,2321775759,US,11/5/2024,22:55:39
The Most Insane Weapon You Never Heard About,Kurzgesagt – In a Nutshell,Education,"""[none]""",13.93,none,2169284,127478,7461,23100000,0.062204396,3004389187,DE,11/5/2024,15:00:02
Arkansas political science expert speaks on the Electoral College,5NEWS,News & Politics,"""[ national-politics|news|politics ]""",2.8,none,91581,558,354,78600,0.009958397,55122579,US,11/6/2024,5:52:01
Ludwig Eats His Last Meal,Mythical Kitchen,Entertainment,"""mythical kitchen|mythical|chef|josh|scherer|nicole|food|taste test|snack|smash|fears|fancy|fast|recipe|culinary|cooking|cook|bake|baking|mythical chef josh|culinary bro-down|good mythical kitchen""",43.43,none,772000,44084,1939,3400000,0.059615285,925431923,US,11/5/2024,11:01:04
Apex Legends: From the Rift Gameplay Trailer,Apex Legends,Gaming,"""apex legends|apex legends season 23|apex legends trailer|apex legends From the Rift trailer|apex legends from the rift|new season|new LTM|apex legends Lifeline|Wattson|Horizon|Doc|Prestige Skin|update|collection event|apex legends skins|battle royale|apex legends ps5|apex legends ps4|apex legends xbox|apex legends switch|apex legends pc|respawn entertainment|electronic arts|titanfall 2""",2.48,none,444658,20091,2437,2820000,0.050663656,612210822,US,11/5/2024,16:00:11
Election Touchscreen Map Takes Deeper Look Inside Key Swing Voter | Onion News Network,The Onion,Comedy,"""The Onion|comedy|satire|news|Onion News Network|ONN|ONNCast|humor""",3.18,none,1836298,121834,4053,2720000,0.068554777,1208069283,US,11/4/2024,18:00:04
What if everyone pointed a laser at the moon?,xkcd's What If?,Science & Technology,"""[none]""",5.62,none,908387,62242,2460,746000,0.071227351,37039533,US,11/5/2024,17:51:51
BEYWATCH,Beyoncé,Music,"""[none]""",2.48,none,644123,60635,5505,27500000,0.102682252,19530867950,US,11/5/2024,7:22:00
Why Are Cooling Towers Shaped Like That?,Practical Engineering,Education,"""[none]""",19.8,none,695483,34313,1658,3990000,0.05172089,407591760,US,11/5/2024,14:00:59
Nino Paid - Play This At My Funeral (Official Video) Dir: @Shotbyaddict,Nino Paid,Music,"""ninopaid|playthisatmyfuneral|cantgobacc|painmusic""",2.23,none,444595,37036,2460,38400,0.088835907,7134574,US,11/4/2024,17:00:06
Kodak Black - Catch Fire [Official Music Video],Kodak Black,Music,"""kodak|black|kodak black|atlantic records|roll in peace|codeine dreaming|tunnel vision|drowning|transportin|heart break kodak|project baby 2|Kodak Black Bill Israel|Bill Israel|Sniper|Sniper Gang|Hip Hop|Rap|Kodak Black I Knew It|Kodak Bill Israel|Kodak Black Easter in Miami|Easter|Easter in Miami|Kodak Easter|Kodak Black Haitian Boy Kodak|Haitian Boy Kodak|Kodak Black HBK|HBK|Kodak Black Happy Birthday Kodak|Happy Birthday Kodak""",2.73,none,368486,25797,2032,9120000,0.075522544,7169790186,US,11/5/2024,7:20:39
HIGHLIGHTS! City fall to Champions League defeat at Sporting | Sporting CP 4-1 Man City | UCL,Man City,Sports,"""man city|manchester city|mcfc|man city highlights|man city goals|city|city vs|man city vs|man city v|video|live|men's team|haaland|pep guardiola|kevin de bruyne|interviews|press conference|pep|city v|guardiola|ucl|champions league|uefa|uefa champions league|etihad|match preview|press|2024/25|sporting|sporting lisbon|sporting v city|sporting v man city|sporting lisbon v city|bernardo silva|silva|sporting cp v city|sporting cp v man city""",2.32,none,3571491,57881,3069,7810000,0.017065702,2146531160,GB,11/5/2024,23:00:09
Pacific Championships 2024 | Kumuls v Aitu | Match Highlights,NRL - National Rugby League,Sports,"""NRL|National Rugby League|Games|Matches|Highlights|Rugby|Telstra Premiership|Fox Sports|State of Origin|Nine|NRL Highlights|NRL Game Highlights|Rugby League Highlights|Rugby League|NRL Full Match|NRL Live|Watch NRL|NRL Match Highlights|Rugby league highlights|NRL 2023|NRL 2023 highlights|NRL23|NRL23 highlights|NRL scores|nrl schedule|nrl draw""",4.8,none,130905,1841,239,453000,0.015889385,359864166,AU,11/3/2024,7:33:03
Sporting CP vs. Man. City: Extended Highlights | UCL League Phase MD 4 | CBS Sports Golazo,CBS Sports Golazo,Sports,"""Champions League|Europa League|Soccer|UEFA|UCL|European Soccer|European Football|European Futbol|UEL|UCL Highlights|Champions League Highlights|Football|CBS Golazo|CBS|Micah Richards|Jamie Carragher|Thierry Henry|CBS Studio""",10.97,none,596971,9148,921,2090000,0.016866816,2321775759,US,11/5/2024,22:18:39
"On These Questions, Smarter People Do Worse",Veritasium,Education,"""veritasium|science|physics|Veritasium|maths|politics|political identity|political beliefs|political ideology|heuristic thinking|democracy|Protective Cognition|political science|communication|Dan Kahan|cultural cognition|heuristics|numeracy|cognitive bias""",14.58,none,2613625,132974,11357,16600000,0.055222536,2891769897,US,11/4/2024,16:48:03
The Dodgers Are About To Take Over Baseball,Baseball Doesn't Exist,Sports,"""[none]""",22.18,none,445535,15628,2184,914000,0.039978902,577565033,US,11/4/2024,23:08:47
La Perversa - Uno (Video Oficial) @mapanegromusiic,La Perversa,Music,"""LA PERVERSA|MUSICA URBANA|MUSICA DE LA PERVERSA 2021|La perversa|la perve|musica urbana dj adoni|dj adoni|El Alfa El jefe|La Materialista|La Insuperable|trankyoutv|perve|urban|amanece bailando|La Perversa|NTG|NTG - Si Tu Quieres|la perversa si tu quieres|la perversa|la perversa entrevista|el alfa el jefe|la insuperable|musica urbana|la perversa y yomel el meloso|musica de la perversa 2021|La perversa dembow 2024|la perversa dembow""",2.13,none,539831,76678,7665,1120000,0.1562396379607692,195194566,DO,11/5/2024,4:00:07
Future - BRAZZIER (Official Music Video),FutureVEVO,Music,"""future|metro boomin|like that|type shit|travis scott|playboi carti|kendrick lamar|the weekend|we dont trust you|WDTY|young metro future|metro young thug|chainz|chief keef|yo gotti|meek mill|nav|gucci mane|french montana|quavo|21 savage|migos|mixtape pluto|brazzier""",3.33,none,533657,35845,1832,4370000,0.070601529,8710621634,US,11/5/2024,2:00:37
"Election Day In America | November 5, 2024",CNN 10,Education,"""cnn 10|cnn10|cnn student news|cnnstudentnews|carl azuz|puns|news|news in 10|channel one news|channelonenews|fridaysareawesome|fridays are awesome""",10.02,none,189364,2181,2132,932000,0.02277624,97983268,US,11/5/2024,1:00:11
Tampa Bay Buccaneers vs. Kansas City Chiefs Game Highlights | NFL 2024 Season Week 9,NFL,Sports,"""[none]""",12.68,none,1912341,25691,3619,13400000,0.015326764,10938454264,US,11/5/2024,4:43:00
The GENIUS new porch idea everyone's copying for Christmas!,Hometalk,Howto & Style,"""[none]""",9.45,none,995929,0,99,1400000,9.94046764377782e-05,584589516,US,11/4/2024,18:00:11
SPENT 24 HOURS IN MIAMI W/ DDOT & DD OSAMA,Brooklyn Frost,People & Blogs,"""Funny|Fun|viral|got|trendy|new|dd|Sdot|ddot|brooklyn|frost|YouTube|deshae|dog|dub""",36.77,none,174728,6247,363,1000000,0.037830228,85683225,US,11/4/2024,21:16:53
ARCANE SEASON 2 COLLECTOR’S SET // Skin Reveal Trailer - VALORANT,VALORANT,Gaming,"""[none]""",1.3,none,862139,40102,1973,2580000,0.048803035,563411986,US,11/4/2024,16:36:23
i went on a date…,PontiacMadeDDG,Howto & Style,"""pontiac|pontiacmade|pontiacmadeddg|ddg|pontiacmadeddgvlogs|vlogs|vlog|ddg vlogs|ddg vlog|pontiac vlog|pontiac vlogs|pontiacmadeddg vlog|pontiacmadeddg vlogs|ddg elon musk""",28.43,none,138230,12747,1987,3400000,0.106590465,556191582,US,11/5/2024,2:44:04
Olivia Rodrigo Explores #ASMR | W Magazine,W Magazine,Entertainment,"""w magazine|wmag""",16.63,none,539401,40214,2005,1000000,0.078270155,544673188,US,11/4/2024,13:00:52
