video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"hyMibWR21vc","新スタジオ設立記念！総勢50名のライバーによる大型特番！ #にじさんじ大感謝祭","2024-10-19T12:59:01Z","UCX7YkU9nEeaoZbkVLVajcMg","にじさんじ","Entertainment","24.20.10","バーチャルライバー|UCX7YkU9nEeaoZbkVLVajcMg|にじさんじ|バーチャルYouTuber|VTuber|YouTuber|ユーチューバー|バーチャルユーチューバー|ライバー|アニメ|anime|nijisanji|ゲーム配信","1419757","52514","0","675","https://i.ytimg.com/vi/hyMibWR21vc/default.jpg","False","False","にじさんじのスタジオが面積規模約3倍でリニューアル！設立を記念して新スタジオ初の大型特番を開催します！総勢約50名のライバーが各スタジオでさまざまな企画に挑戦！※「一心同体の部屋」の『Hurrah!!』の音源を使用したお手本ダンスシーン及び本番ダンス披露シーンの切り抜きはご遠慮ください。【メインスタジオ（2D）】メインスタジオから中継を繋いで企画の結果をパネラーが予想！＜MC＞https://www.youtube.com/@YashiroKizukuhttps://www.youtube.com/@LizeHelesta＜パネラー＞https://www.youtube.com/@HiguchiKaedehttps://www.youtube.com/@KenmochiToyahttps://www.youtube.com/@Kanaehttps://www.youtube.com/@HoshikawaSarahttps://www.youtube.com/@WataraiHibarihttps://www.youtube.com/@ShiorihaRuri【メイン企画：3Dスタジオ　生存競争の部屋】広くなった3Dスタジオで9名のライバーがかくれんぼ？誰が隠れているかは本番のお楽しみ！さらに広さを生かして縦横無尽に暴れ回る企画も！？スタジオMC：https://www.youtube.com/@IgarashiRika※9名のゲストは番組内で発表！【メイン企画：2Dスタジオ　正体不明の部屋】2Dスタジオに15名のライバーが正体を隠して参戦！さまざまな企画に挑戦するが正体がバレたら即脱落！最後まで生き残るのは誰だ！？スタジオMC：https://www.youtube.com/@KagamiHayato※15名のゲストは番組内で発表！【サブ企画：3Dスタジオ　一心同体の部屋】力を合わせてチャレンジ企画に挑む！番組終了までにダンスをマスターせよ！スタジオMC：https://www.youtube.com/@KuramochiMeruto＜チャレンジャー＞https://www.youtube.com/@UmiseYotsuhahttps://www.youtube.com/@HyakumantenbaraSalome【サブ企画：2Dスタジオ　ギルザレンの部屋】ギルザレンⅢ世と ただお喋りするだけの部屋…？スタジオMC：https://www.youtube.com/@GilzarenIII《グループ①》https://www.youtube.com/@TodorokiKyokohttps://www.youtube.com/@TakamiyaRionhttps://www.youtube.com/@Saotomeberry《グループ②》https://www.youtube.com/@ShigaRikohttps://www.youtube.com/@TamanoiNanahttps://www.youtube.com/@Kisara_nijisanjihttps://www.youtube.com/@KozueMonehttps://www.youtube.com/@Lunlun_nijisanji《グループ③》https://www.youtube.com/@HoshirubeShohttps://www.youtube.com/@MilanKestrelhttps://www.youtube.com/@Kaisei_nijisanji※サブ企画の完全版はメンバーシップ限定で後日配信予定！お楽しみに！　完全版の視聴には『メンバーシップ（動画コンテンツ・生配信等あり）以上』の加入が必要です。＋＋＋※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。https://www.anycolor.co.jp/notice-for-minors＋＋＋"
"UFRIsspP9UE","化けの花 / 25時、ナイトコードで。 × KAITO","2024-10-19T12:15:06Z","UCdMGYXL38w6htx6Yf9YJa-w","プロジェクトセカイ カラフルステージ! feat. 初音ミク","Gaming","24.20.10","初音ミク|プロジェクトセカイ|プロセカ|ボカロ|VOCALOID|ボーカロイド|鏡音リン|鏡音レン|リンレン|巡音ルカ|MEIKO|KAITO|音ゲー|リズムゲーム|ソシャゲ|スマホ向け|プレイ動画|MV","727795","81058","0","2382","https://i.ytimg.com/vi/UFRIsspP9UE/default.jpg","False","False","『化けの花』25時、ナイトコードで。 × KAITO作詞・作曲：なきそ https://x.com/7kiso_nakisoイラスト：爪紅アレキ　https://x.com/Arekisandrite動画：omu　https://x.com/omu929公式サイト：https://pjsekai.sega.jp公式X：https://twitter.com/pj_sekai(C) SEGA(C) Colorful Palette Inc.(C) Crypton Future Media, INC. www.piapro.net商品名および社名は各社の登録商標です。"
"ekr2nIex040","ROSÉ & Bruno Mars - APT. (Official Music Video)","2024-10-18T04:00:07Z","UCBo1hnzxV9rz3WVsv__Rn1g","ROSÉ","Music","24.20.10","YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|로제|Rosé|BLINK|블링크|bruno mars|APT.|apt|apartment game|meet me at the|meet me at the apt|bruno mars rose apt|rose|rosesarerosie|rose apt|rose apt music video|rose apt video|rose bruno mars|rose bruno mars kiss|rose kiss","59199825","4268539","0","213361","https://i.ytimg.com/vi/ekr2nIex040/default.jpg","False","False","ROSÉ & Bruno Mars - APT.Download/stream: https://rosesarerosie.lnk.to/APTIDPre-order APT. single CD: https://rosesarerosie.lnk.to/APT-CDID'rosie' - the first studio album by ROSÉ - December 6. pre-order ROSÉ store exclusives now: http://rosesarerosie.lnk.to/rosieIDFollow ROSÉ:https://www.instagram.com/roses_are_rosiehttps://www.tiktok.com/@roses_are_rosie https://x.com/numberonehqhttps://www.rosesarerosie.com/Follow Bruno Mars:https://www.instagram.com/brunomarshttps://www.tiktok.com/@brunomarshttps://twitter.com/brunomarshttps://www.facebook.com/brunomarshttps://www.brunomars.com/Lyrics: 아파트 아파트 아파트 아파트 아파트 아파트 Uh, uh huh uh huh아파트 아파트 아파트 아파트 아파트 아파트 Uh, uh huh uh huhKissy face, kissy faceSent to your phone but,I'm trying to kiss your lips for realRed hearts, red heartsThat’s what I’m on yeahCome give me something I can feelOh oh ohDon't you want me like I want you, baby Don't you need me like I need you now Sleep tomorrow but tonight go crazyAll you gotta do is just meet me at the아파트 아파트 아파트 아파트 아파트 아파트 Uh, uh huh uh huh아파트 아파트 아파트 아파트아파트 아파트Uh, uh huh uh huhIt’s whatever it’s whatever it’s whatever you likeTurn this 아파트 into a clubI’m talking drink, dance, smoke, freak, party all night 건배 건배 girl what’s upOh oh ohDon't you want me like I want you, babyDon't you need me like I need you nowSleep tomorrow but tonight go crazyAll you gotta do is just meet me at the아파트 아파트 아파트 아파트 아파트 아파트 Uh, uh huh uh huh아파트 아파트 아파트 아파트 아파트 아파트 Uh, uh huh uh huhHey so now you know the game Are you ready?Cause I’m comin to get yaGet ya, get yaHold on, hold onI’m on my wayYeah yeah yeah yeah yeahI’m on my wayHold on, hold onI’m on my wayYeah yeah yeah yeah yeah I’m on my wayDon't you want me like I want you, baby Don't you need me like I need you now Sleep tomorrow but tonight go crazy All you gotta do is just meet me at the아파트 아파트 아파트 아파트 아파트 아파트 Just meet me at the (Uh huh uh huh)아파트 아파트 아파트 아파트 아파트 아파트 Just meet me at the (Uh huh uh huh) 아파트 아파트 아파트 아파트 아파트 아파트 Just meet me at the (Uh huh uh huh)아파트 아파트 아파트 아파트아파트 아파트Uh, uh huh uh huh#ROSÉ_BRUNO_APT #APT #ROSÉ #BrunoMars #MusicVideo"
"drLyAqDn0bU","【No No Girls】Ep.03 / 3rd Round -Beyond the tears-","2024-10-18T11:00:48Z","UCLHTn2UQNUpSheL816CNa7w","BMSG","Entertainment","24.20.10","[none]","667671","20183","0","2121","https://i.ytimg.com/vi/drLyAqDn0bU/default.jpg","False","False","❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥BMSG x CHANMINAGIRLS GROUP AUDITION PROJECT 2024”No No Girls”❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥https://www.youtube.com/playlist?list=PL52OyqYAfVEfIkHgGErZdFdMmkTz4Z4fphttps://www.youtube.com/playlist?list=PL52OyqYAfVEdcKUKMcArH6IcRsXTi-9yC『Ep.03 / 3rd Round -Beyond the tears-』まだまだ続く3次審査。A, B, Cチームに続き、D, E, Fチームに密着。それぞれの悩みや葛藤、プレッシャーと向き合い、時には涙しながらも最高の作品作りを目指していく。人に響かせる、伝えるというパフォーマンスとは何かを体現していく姿に審査員の目にも思わず涙が。—The third round is still ongoing.In this episode, we closely follow the D, E, and F teams.Each team faced their own problems, struggles, and pressures, sometimes in tears, as they strived to create the best work possible.The judges' eyes involuntarily moved to tears as the teams embodied the essence of performance, which is to make people touched.—-------계속되는 3차 심사.A, B, C팀에 이어 D, E, F팀을 클로즈업 한다.각자의 고민과 갈등, 불안감을 안고 때로는 눈물을 흘리며 최고의 작품을 만들기 위해 노력하는 참가자들.사람들에게 감동을 주는 퍼포먼스란 무엇인가를 구현해 나가는 모습에 심사위원들의 눈에도 눈물이 흐른다.会場協力：東京スクールオブミュージック＆ダンス専門学校東京ダンス・俳優&舞台芸術専門学校大阪スクールオブミュージック専門学校福岡スクールオブミュージック＆ダンス専門学校Make-up（ちゃんみな）：野﨑 裕子Hair（ちゃんみな）：北村雄太Hairmake（SKY-HI）：椎津恵Hairmake（SKY-HI）：原野麻美■ChoreographerMiQael（Heaven's Drive/君が好き）GENTA YAMAGUCHI（BLACK DIAMOND/本能）ASUPI（キューティーハニー/プレイバック Part 2）■MusicArranged by Junichiro Sakka(キューティーハニー/BLACK DAIMOND)Arranged by Shota Kaya(本能/プレイバック Part 2)Arranged by nabeLTD(Heaven’s Drive)Arranged by YUIGA(君が好き)Vocal by ERECA(キューティーハニー/BLACK DAIMOND/本能/プレイバック Part 2/Heaven’s Drive/君が好き)■MiQael AssistantMATHEW/夢乃香/Miyu/Nacchi/Ryunosuke/美羽■GENTA YAMAGUCHI AssistantHINA MASUDA/SAYA/tisaki/Ririka/tamaki/oto■ASUPI AssistantAyaka/lulu/fuuka/YURIA/志乃■Voice Trainer佐藤涼子（りょんりょん)■PhotographerTAKAHIRO TSUBOI​​◆未公開映像を加えた、完全版をHuluで独占配信！※毎週日曜12時配信https://bit.ly/47Szz6R◆公式応援番組『No No Girls Night』（日本テレビ・長崎国際テレビ）出演：ぺえ（タレント）、平成フラミンゴ・NICO（YouTubeクリエイター）※毎週水曜日24:59放送◆番組テーマソング : ちゃんみな/ NGhttps://youtu.be/SCNlEuz9-eg?si=XZ2yOSNWrYkk-ufF◆カラオケ音源協力 : 第一興商◆番組公式ホームページhttps://nonogirls.audition-bmsg.tokyo/◆番組公式SNSX（旧Twitter）：https://x.com/nonogirls_x/Instagram：  / nonogirls_official  TikTok：  / nonogirls_official  BMSG：Yutaka Shimizu,Yumi Hamamoto,Taeko Nasu,Mio Adachi,Kousaku Adachi,Tomohiro Yasukura,Ryo Nokura,Hirotaka Oishi,Masayo Uemura,Rei Ito,Ryota Minamino,Saeko Ueda,Sayoko Katada,Hiroaki Kimura,Hiroko Yamauchi,Megumu Nakamura,Yui Suzuki,Toshio Takahashi,Shota HagaMiu Tsuruta,Kuniaki Miyahara,Junpei Ishii,Hikaru Karasaki,Taeko Fuchigami,Mugiko Tsuda,Kinya Orimoto and support member#NoNoGirls #NNG #ノノガ#ちゃんみな #CHANMINA #SKYHI #BMSG"
"tlFvFes32nE","最上級にかわいいSnow Man【Mステ】","2024-10-18T10:53:56Z","UCStFsybJM6SjDFvcacVcanw","MUSIC STATION","People & Blogs","24.20.10","Mステ|ミュージックステーション|タモリさん|タモリ|音楽番組|テレビ朝日|テレ朝|ジャニーズ","866901","52552","0","1765","https://i.ytimg.com/vi/tlFvFes32nE/default.jpg","False","False","【#Mステカメラ】よる8時からは #Mステ 2時間SP📺／本番前の #SnowMan からコメント⛄️＼💬テーマは「メンバーの最上級にかわいいところ」今夜は「#EMPIRE」と「#One」を披露✨⚽️ お楽しみに😎【Mステ公式SNS】HP：https://www.tv-asahi.co.jp/music/Twitter：https://twitter.com/Mst_comInstagram：http://Instagram.com/ex_musicstationLINE：http://line.naver.jp/ti/p/@musicstation#Mステ"
"GTnMIACX6TM","【MV】歯ラ歯ラ🦷🪥✨","2024-10-18T09:00:24Z","UCSPkmZyeHlDNE-6YMSg5Fbg","しなこ Shinako / ASMR","Entertainment","24.20.10","ASMR|原宿|먹방|mukbang|cooking|recipe|asmr mukbang|먹방 asmr|asmr 먹방|real sounds|eating sounds|color food asmr|most popularfood for asmr","962244","16313","0","1526","https://i.ytimg.com/vi/GTnMIACX6TM/default.jpg","False","False","＜しなこコメント＞まさかのパラパラ！？そんな声が聞こえてきそうな、みんなの予想を遥か上を超えた曲になっているのでは無いでしょうか？！歯磨きは、自分を大切にすること。実は、私は歯磨きが出来ないほど落ち込んでいた時期がありました。自分を大切にするのって、難しい。でもこの曲を聴いたみなさんが、楽しく歯磨きをしたり、自分を大切にケアしようと明るい気持ちになるキッカケとなればとても嬉しいです！また、この曲ではこれまではしてこなかった歌い方や、ダンス、表情をしているので、そちらも注目していただきたいです！みんなも一緒に歯ラ歯ラパラパラしましょーう！！！＜あぃりDXコメント＞今回もあぃりDXプロデュース！作詞・振付・MV監督させていただいた『歯ラ歯ラ』！3曲目はパラパラならぬ歯ラ歯ラ！爆笑　歯磨きしないことに対して歯ラ歯ラ(ハラハラ)させないで？という曲です！歯磨きする時、毎日この曲を思い出してね！楽曲はこちらから聴けます💜↓https://big-up.style/I82qAc7RU9「歯ラ歯ラ」作詞：あぃりDX作曲：NOVECHIKA、野口大志、Akira Sunset編曲：野口大志MV監督🎬・振付💃・作詞📝:あぃりDX  / @airidxdxdxdayo  あぃりDXhttps://www.instagram.com/airidxdxdxdayo?igsh=ZDRtMmN2a3RlaTM4Video🎥:GROVEhttps://grove.tokyo/Costume👗:Eikichihttps://www.instagram.com/eikichi.chi.chi/たなきゃん🌈🌺🦖https://www.instagram.com/tanakyan0913?igsh=Z2JmdXZzYXZzY2F3撮影協力:渋谷女子インターナショナルスクールhttps://shibujyo.com/DECOPANIChttps://www.instagram.com/decopanic/衣装提供：原宿MINDhttps://harajuku-mind.com/?srsltid=AfmBOooru91-6wu0tEdRECfRzLSVawj2m-joUDLorkvr2vkKwUvy6pco出演：あぃりDXhttps://www.instagram.com/airidxdxdxdayo?igsh=ZDRtMmN2a3RlaTM4まあたそhttps://www.instagram.com/5m91r/KOGYARUhttps://www.instagram.com/kogyaru_official/--💜しなこオフィシャルサイト💜https://shinako-music-official.com💜しなこオフィシャルグッズはこちら💜https://shinako-music-official.com/collections/all?fbclid=PAZXh0bgNhZW0CMTEAAaYh9DDYjb3qZ2H7MQvSVoY5zcpTMDgKD9ibor54qrEza4YLZeVPQYWxusQ_aem_avn1p-X9_TIauUl9zP8zug💜プレゼント・ファンレター宛先💜〒150-0001東京都渋谷区神宮前1-19-14サンキュービル1階 ベビタピトーキョー しなこ宛て"
"poQlNeb7a-U","TVアニメ「ドラゴンボールDAIMA」ノンクレジットオープニング映像 | 「ジャカ☆ジャ～ン」","2024-10-18T15:10:00Z","UCLhgIX2L5ZCaWdlaxR_oTAg","東映アニメーション公式YouTubeチャンネル","Film & Animation","24.20.10","[none]","685916","23570","0","1673","https://i.ytimg.com/vi/poQlNeb7a-U/default.jpg","False","False","完全新作アニメシリーズ「ドラゴンボールDAIMA(ダイマ)」毎週金曜日23時40分フジテレビ系全国ネットにて放送中！#dragonball_DAIMA #ドラゴンボール #DAIMA #dragonball■スタッフ原作・ストーリー・キャラクターデザイン：鳥山明■MUSICオープニング主題歌「ジャカ☆ジャ〜ン」ゼッド feat. C&K作詞： 森雪之丞作曲：Anton Zaslavski、KEEN (C&K)　歌：C&K　プロデュース：ゼッド■ドラゴンボールDAIMA オフィシャルサイト https://dragonballdaima.com/■ドラゴンボールDAIMA 公式X　@DB_super2015■DRAGON BALLオフィシャルサイト　dragon-ball-official.com■DRAGON BALLオフィシャルX 　@DB_official_jp■コピーライト　©バード・スタジオ／集英社・東映アニメーション"
"MIuX8GSwvis","【緊急密着】山本家に第一子が生まれました【パパになったけいちょん】","2024-10-18T11:00:06Z","UC24T2Vj2uSukiOwWcpG_9fA","極楽とんぼ山本圭壱 けいちょんチャンネル","Entertainment","24.20.10","極楽とんぼ|山本圭壱|吉本興業|お笑い|けいちょん|はじめしゃちょー|吉本坂46|加藤浩次|吉本坂|漫才|コント|ネタ|極楽とんぼ山本|山本|広島|カープ|YouTube|めちゃイケ|めちゃめちゃイケてる|吉本|よしもと|東京|日本|芸人|お笑い芸人|草野球|野球|YouTube最強草野球チーム決定戦|ロンブー|ロンドンブーツ|田村淳|ブチ切れ|ブチギレ|喧嘩|ケンカ|怒り|おこ","749264","22605","0","1981","https://i.ytimg.com/vi/MIuX8GSwvis/default.jpg","False","False","西野の動画はコチラ！https://youtu.be/x5XfRWh7fNk-------------------------------------------------------------------配信700回記念ピアス「けアス」発売中！https://www.lingus.jp/ec/2024/06/1054/1つ(片耳)ずつ購入できるようになっております。送料は何個買っても800円です！この機会にぜひ、けキャップやけーシャツもご一緒に！-------------------------------------------------------------------▼宇山との渋滞トークリンガスYoutube「LINGUS STATION」https://youtu.be/0AfW6WyIlNw-------------------------------------------------------------------▼切り抜き動画も３チャンネルやってます！チェックしてね！【公式】けいちょん応援団【切り抜きch】https://youtube.com/channel/UCe0qhFNn5Z2zssSMQITbJHQ【公式切り抜き】とび蹴りけいちょんhttps://www.youtube.com/@Tobigeri-keicyon【公式切り抜き】暴れん坊けいちょんhttps://www.youtube.com/channel/UCsIrDlMyDYrz4okv1O45lNA-------------------------------------------------------------------【けいちょんのいろんなリンク】★けいちょんツイッター https://twitter.com/yama_gokuraku★リンガスツイッター https://twitter.com/tm_lingus1★けいちょんインスタ https://www.instagram.com/yamamogt/?hl=ja★けいちょんチャンネルのLINEスタンプ https://line.me/S/sticker/15533162★け'zデビュー曲「哀愁 Break Out」 https://linkco.re/XxmxRUf3★さりけいのデビュー曲「未来史上最年少」 https://ssm.lnk.to/MS_SK​ ★音楽提供：三浦駿介 https://twitter.com/shunsuke_miura★けいちょんの名付け親 はじめしゃちょー https://www.youtube.com/user/0214mex/featured★山本圭壱のだってカープが好きなんだもんch https://onl.tw/1vkeyBE-------------------------------------------------------------------妻 西野未姫のチャンネルはコチラ！https://www.youtube.com/channel/UC9NrE2wN9BO9TWYPhGADnHA/featured♡妻 西野未姫との歴史をじっくり振り返るために、まとめリストを作りました！https://youtube.com/playlist?list=PLz6VU9HLV33sHwHThslj6vl0cFCrDktMb--------------------------------------------------------------------けいちょんに食べてほしいもの、調理してほしいもの、何でも構わないので送ってもらう「けいちょんの『届いた』シリーズ」のお問い合わせはgokurakutonnboyamamoto@gmail.comもしくは tv@lingus.jp までお願いします。#赤ちゃん#出産#誕生#極楽とんぼ#西野未姫"
"tRwHpyOq4P4","【MV】Creepy Nuts - オトノケ(Otonoke)","2024-10-17T15:00:06Z","UCFImmanh2iGuONPpUTf4-Wg","Creepy Nuts","Music","24.20.10","Creepy Nuts|クリーピーナッツ|R-指定|DJ松永|オトノケ|Otonoke|ダンダダン|DANDADAN|Bling-Bang-Bang-Born|BBBB|BBBBダンス|梅田サイファー|Masaki Watanabe","3571985","230444","0","6506","https://i.ytimg.com/vi/tRwHpyOq4P4/default.jpg","False","False","オトノケ - OtonokeTVアニメ「ダンダダン」オープニングテーマStreaming/Download：https://smar.lnk.to/ozwt6YA Guide To Creepy Nuts -  https://www.youtube.com/watch?v=xZ-nqJ1EpdgDAN DA DAN OP：https://youtu.be/Nw_XzGZ35As?si=w_vh2DVeUchONd02■Music CreditLyrics：R-ShiteiMusic & Arrangement：DJ MatsunagaGuitar Arrangement / Guitar : Kazuki IsogaiVocal Recording Engineer： Shinsaku TakaneMixing Engineer：Masahito KomoriMastering Engineer : Tsubasa YamazakiArt Direction & Design : Ryotaro Kawashima■Video CreditDirector : Masaki Watanabe (maxilla)Director of Photography : Shuho Teramura1st AC : Masanori Miyano2nd AC : Kaito Furuyoshi3rd AC : Ryohei YoshidaLighting Director : Takuma Saeki1st LA : Akira 2nd LA : Haru, Arata NakatsukaStylist : Yuji YasumotoHair & Make-up : Yoko FujiGrillz : Mariko (GRIN JEWELRY), Sui (GRIN JEWELRY)Transport : Toshiki Mochizuki, Yuya Amano4DViews Studio Manager：Tadayuki Suzuki (CRESCENT)4DViews Studio Engineer: Tatsuhiko Kobayashi (CRESCENT), Yuiichi Ikeda (CRESCENT)Light Cage Manager : Keigo Obuchi (CRESCENT)Light Cage Engineer : Kaito Arai  (CRESCENT)CG Producer : Kouhei Miki (HASH) CG Line Producer : Satoshi Takeno (Montblanc Pictures)CG Director : Taro Adachi (Montblanc Pictures)CG Designer : Ayano Tamura (Montblanc Pictures)CG Modeling Director : Kei Kidera (HASH)CG Modeler : Toshiki Watanabe (HASH)VFX Producer : Tyler Nakata (maison COMADO) VFX Manager : Hayata Sugawara (maison COMADO), Hitomi Kamioka (maison COMADO) VFX Artist : Pankaj Sharma (maison COMADO)Title And Credit Design : Eita Watanabe (maxilla)2DAnimation : Kazuya Futagoishi (maxilla), MasakebabOnline Editor : Tomoya Sugino (Drift.)Colorist : Yoshiyuki Nishida (ARTONE FILM)Special Thanks : Yichikawa Wang (maxilla)Producer : Mao Suzuki (P.I.C.S.)Production Manager : Koichi Iwamoto (P.I.C.S.)Production Assistant : Yuki Adachi (P.I.C.S.), Ren Wakayama (P.I.C.S.), Risa Tomono (P.I.C.S.), Karin Takema (P.I.C.S.), Shogo Otake, Aoi Sasaki, Hironari KimuraProduction : P.I.C.S. #ダンダダン #DANDADAN #オトノケ #Otonoke=====TikTok - https://www.tiktok.com/@creepy_nuts_Instagram - https://www.instagram.com/creepynuts_official/X - https://x.com/Creepy_Nuts_Facebook - https://www.facebook.com/CreepyNutsCLUB Creepy Nuts - https://subscription.app.c-rayon.com/app/creepynuts/homeHP - https://creepynuts.com"
"w7nBNXifvKs","うなぎを油で揚げてはいけない理由","2024-10-18T12:18:08Z","UCypYz0HzH-2oL7mdP-JK2yQ","おろちんゆー","Entertainment","24.20.10","釣り|生き物|料理|おろちんゆー","702325","15636","0","1640","https://i.ytimg.com/vi/w7nBNXifvKs/default.jpg","False","False","サブちゃんねる↓https://youtube.com/channel/UC9cWgCidXQGAhx9kuwmnAHw↓↓↓↓LINEスタンプ↓↓↓↓ https://line.me/S/sticker/15972779?_from=lcmプレゼントはこちらまで↓615-0053京都府京都市右京区西院久保田町11 3F Orizum宛(食品や生物は受け取れないわ♡サブちゃんねるでプレゼント開封させてもらうわね♡)ツイッター: http://twitter.com/orochinyuインスタ:https://www.instagram.com/orochinyuそれではみなさん、Have a nice day♡楽器提供: フリーBGM（音楽素材）無料ダウンロード｜DOVA-SYNDROME"
