video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,duration_seconds,view_count,likes,dislikes,comment_count,subscriber_count,engagement_rate,thumbnail_link,description,region_restriction
"ZKgQj38y5-A","【毎日上限】10万円課金してパック開封したくったらどれくらい当たる？【ポケポケ】","2024-11-07T09:10:25Z","UCgXyMl3Y2kRHkK08F_Ct8Pg","はじめしゃちょー2 (hajime)","Gaming","24.11.08","""はじめカンパニー|hajimecompany|hajimexcompany|はじめ社長|ビログ|ゲーム実況""","1201","666950","6673","0","643","2960000","0.010969338031336682","https://i.ytimg.com/vi/ZKgQj38y5-A/default.jpg","これまでのポケポケ！
https://youtu.be/x2MEOdYiBmk
https://youtu.be/lh9b4LacRq4
チャンネル登録してね～！

ファンサイト入れ
▽「はじメーノ」：https://fanicon.net/fancommunities/4246

オイラのメインチャンネルはこちら: https://www.youtube.com/user/0214mex

X(twitter): https://twitter.com/hajimesyacho
裏垢: https://twitter.com/duelhajime

LINEスタンプはこちら！
はじめしゃちょー
https://store.line.me/stickershop/product/1072663/ja
はじめしゃちょー2
https://store.line.me/stickershop/product/1169745/ja","None"
"BPzAEhbKEIY","『ドラゴンクエストウォーク』の新情報をお届け「スマートウォーク」#105","2024-11-07T06:00:26Z","UCtceiniicYEsbAVuWy-Bi0Q","ドラゴンクエストウォーク公式","Gaming","24.11.08","""ドラゴンクエストウォーク|ドラクエウォーク|DQウォーク|スマートウォーク""","382","250519","2734","0","208","170000","0.011743620244372682","https://i.ytimg.com/vi/BPzAEhbKEIY/default.jpg","『ドラゴンクエストウォーク』の新情報をお届けする情報番組「スマートウォーク」。
今回は更新情報および、新たに開催されるイベント情報をご紹介いたします。

▼AppStore
https://sqex.to/H2L4M​​

▼GooglePlay
https://sqex.to/WIThB​​ 

© ARMOR PROJECT/BIRD STUDIO/SQUARE ENIX","None"
"YFATbUISvlA","【アーカイブ】日向坂46副キャプテン＆重大発表生配信","2024-11-07T14:59:18Z","UCOB24f8lQBCnVqPZXOkVpOg","日向坂ちゃんねる","Entertainment","24.11.08","""[none]""","2583","452269","13358","0","363","389000","0.030338139470094127","https://i.ytimg.com/vi/YFATbUISvlA/default.jpg","日向坂46副キャプテンを務めるメンバーを、生配信にて発表いたしました。

その他、「けやき坂46＆日向坂46 BEST MUSIC VIDEO COLLECTION 2015-2024」が12月4日(水)に発売されることも発表しました！

ぜひご覧ください！

【出演】
佐々木久美、河田陽菜、髙橋未来虹、山下葉留花

#日向坂ちゃんねる #日向坂46 #佐々木久美 #河田陽菜 #髙橋未来虹 #山下葉留花","None"
"cSL6p2Tgc1k","【天ぷら】気になった食材を片っ端から天プリングしていくっっ","2024-11-07T08:37:47Z","UC1-4AnMxkLXLNL3-7UJ4KTQ","/谷やん谷崎鷹人","Entertainment","24.11.08","""天ぷら|谷やん|天つゆ|作り方|天つゆ|レシピ|谷やん|天ぷら|天ぷら|大食い|天ぷら|ASMR|天ぷら|asmr|石垣むかご|作り方|石垣寄せ|作り方""","3502","374290","8616","0","1014","1740000","0.025728713030003472","https://i.ytimg.com/vi/cSL6p2Tgc1k/default.jpg","本日も動画をご視聴いただきありがとうございます(・ω・)

まーーーた天ぷらですよ。
性懲りも無く、まーーーた天ぷらですよ。

でも天ぷらが大好きなのでどうか見逃してください🙇

次回は秋と言えばのルージュ色の味覚です(*´ω｀*)


⬇︎今回の詳しいレシピはコチラ⬇︎

・天つゆ
羅臼昆布と厚削り節の合わせ出汁：薄口醤油：みりん＝6：1：1

薬味が入ることを前提とした少し濃いめの調整です


・天丼地
羅臼昆布と厚削り節の合わせ出汁：薄口醤油：みりん：きび砂糖＝4：1：1：0.5

甘じょっぱい、みんな大好きなオーソドックス丼地です


★OP音源★
↓beco様↓
   • 【Music】東海道をゆく - 騒音のない世界  

★Twitter★
@Taniyaaan1125

本日もご視聴いただきありがとうございました(#^^#)
TV、イベント出演その他仕事のご依頼は
 『(株)キューブエンターテイメント　マネジメント事業部』 まで
『アドレス』
contact@cube-entertainment.co.jp
『リンク』
http://www.cube-entertainment.co.jp/

↓↓お手紙・その他全てのお荷物はこちらまでお願い致します!!↓↓
『宛先』
(株)キューブエンターテイメントマネジメント事業部　谷崎宛
『住所』
〒810-0005 福岡県福岡市中央区清川１丁目７−１２大戸ビル B101

※生もの等は受け取りができないためご了承の程よろしくお願い申し上げます。","None"
"6F0VxjU_-F4","木曜劇場『わたしの宝物』第5話　30秒予告【11月14日（木）22:00放送】","2024-11-07T13:54:00Z","UC7_mFzmj89tqAqgpl5695QQ","フジテレビ公式","Entertainment","24.11.08","""フジテレビ|木10|木曜10時|わたしの宝物|松本若菜|田中圭|深澤辰哉|さとうほなみ|恒松祐里|多岐川裕美|北村一輝|野田愛実|主題歌|昼顔|あなたがしてくれなくても|Snow Man""","31","163881","1631","0","0","468000","0.009952343468736462","https://i.ytimg.com/vi/6F0VxjU_-F4/default.jpg","夫以外の男性との子供を、夫との子と偽って産んで育てる「托卵（たくらん）」を題材に、大切な宝物を守るために悪女になることを決意した1人の女性とその夫、そして彼女が愛した彼、3人のもつれあう感情を完全オリジナル脚本で描く、ひりつく大人の恋愛ドラマ。

【第5話あらすじ】
神崎美羽（松本若菜）は、いつも自分を助けてくれた冬月稜（深澤辰哉）が、大切な人たちを守れなかったことに本当は傷ついていて涙を流す姿に、寄り添おうと手を伸ばす。そのぬくもりを感じた冬月は、思わず美羽を抱きしめてしまう。そして、優しく抱擁しあう2人の姿を、美羽の親友・小森真琴（恒松祐里）が目撃してしまう。動揺し、足早にその場を離れる真琴。その一方、美羽が帰宅すると、夫・神崎宏樹（田中圭）が「おかえり」と温かく迎えてくれて、娘の栞と3人のこの場所を大切にしなければと再認識する。
そんな中、二人が不倫関係にあるのではと疑う真琴は、美羽の母・夏野かずみ（多岐川裕美）が一時退院して美羽の家で行われる食事会に訪れる。そこには美羽と宏樹の絵に描いたような幸せな家庭があり、離婚をしている真琴はその状況をみて羨ましさと複雑な気持ちが募る。
冬月は、亡くなった同僚・下原健太 （持田将史）がよく通っていた児童養護施設に訪れ、そこで下原の弟・隼人（西垣匠）に会う。冬月の人柄に触れ、隼人は少しずつ心の靄を晴らしていく。
一方、真琴は美羽をランチに誘い、美羽の目をまっすぐ見て伝える。
「私、美羽さんのこと信じてますから…ちゃんと話してくれるって―」。

【キャスト】松本若菜／田中圭／深澤辰哉／さとうほなみ／恒松祐里／多岐川裕美／北村一輝　ほか
【スタッフ】◆脚本：市川貴幸　◆プロデュース：三竿玲子　◆演出：三橋利行（FILM）／楢木野礼／林徹

〈公式HP〉https://www.fujitv.co.jp/takaramono/
〈公式X〉https://x.com/takaramono_fuji
〈公式Instagram〉https://www.instagram.com/takaramono_fujitv
〈公式TikTok〉https://www.tiktok.com/@takaramono_fujitv

#松本若菜　#田中圭　#深澤辰哉　#わたしの宝物　#フジテレビ　#木10　#木曜劇場　#野田愛実　#明日　#さとうほなみ　#恒松祐里　#多岐川裕美　#北村一輝","['JP']"
"RaKJ9kOGvcQ","相性が良すぎる親友と日光で地獄旅行","2024-11-07T10:00:32Z","UC9Wl5AzCQzp2esQ7uVoQz0g","とうあ","Entertainment","24.11.08","""[none]""","2310","464598","7575","0","352","1290000","0.01706206225597183","https://i.ytimg.com/vi/RaKJ9kOGvcQ/default.jpg","@NakamachiAya 


無断転載いっぱいしてね(^^)☆彡


＼とうあがクリエティブディレクターをつとめるオリジナルブランド『BG』を発表！！ ／

BG コンセプト
年齢にも性別にも囚われず
ありのままの自分を少し強くする
心躍るままに、好奇心をそのままに
今日という日をあなたの人生で1番の日に


【オリジナルアパレルブランド『BG』発売!!】
発売日：2023年9月7日(木)19:00〜
↓商品購入はこちらから
販売URL：https://frontrowbyuuum.com/pages/bg
公式Instagram：https://www.instagram.com/bg_by_toatakami
公式LINE：https://lin.ee/x0Mr4DY 


【初のフォトブック発売中!!】
タイトル：『何者』
発売日：2023年1月24日(火)　
定価： ¥2,420円 (税込)
↓ご予約はこちらから
https://www.amazon.co.jp/dp/4299038533


【デビューシングル『若者 (Young)』リリース!!】
各配信音楽サービス：
https://big-up.style/GKtFVD1WXo

MV：
https://www.youtube.com/watch?v=o-IuJwyc1ig


【初のエッセイ本発売中】
タイトル：生まれ変わっても自分でいたいって思うために生きてる
発売日 ‏ : ‎ 2021年12月1日
定価：1,430円(本体1,300円+税)

Amazon：
https://www.amazon.co.jp/dp/B09KNGHSWS

セブンネットショッピング：
https://7net.omni7.jp/detail/1107245841


【とうあSNSアカウント】
Instagram：https://instagram.com/___2toua2___
TikTok：https://vt.tiktok.com/ZSJNXvVX9
Twitter：https://twitter.com/___2toua2___

150-0001
東京都渋谷区神宮前3-21-8T.S.原宿第２ビル
アソビシステム株式会社
unno@asobisystem.com","None"
"8XgL3FLIPvM","元ZOZOの前澤友作さんが新しいサービスの相談に来ました","2024-11-07T10:00:09Z","UCXjTiSGclQLVVU83GVrRM4w","堀江貴文 ホリエモン","News & Politics","24.11.08","""堀江貴文|ホリエモン|堀江|貴文|Takafumi|Horie""","1229","423657","6353","0","494","1950000","0.016161659077980537","https://i.ytimg.com/vi/8XgL3FLIPvM/default.jpg","▼カブアンド公式ホームページ
https://kabuand.com

▼前澤友作
X：https://x.com/yousuck2020?s=21
Instagram：https://www.instagram.com/yusaku2020
YouTube：https://youtube.com/@yusakumaezawatv
TikTok：https://www.tiktok.com/@yusaku1122

★最近のニュース解説を短く毎日無料で発行！
『HORIEMON Newsletter』
登録は以下から↓
https://horiemon.media/register/

YouTubeにはない情報も盛り沢山！ホリエモン公式メルマガ配信中
登録はこちら→ https://zeroichi.media/with/1242

ホリエのWi-Fi発売開始！
本体実質無料+国内3キャリア実質使い放題+海外151ヶ国利用可！
https://horienowifi.jp/
ホリエのWi-Fiやコラボモバイルを販売するXmobileFC加盟店募集中！
https://www.youtube.com/watch?v=xsCDUS7fQ38

堀江によるオンラインサロン、HIU（堀江貴文イノベーション大学校）メンバー募集中です！
詳細はこちら→https://lounge.dmm.com/detail/87/

堀江による、ビジネス系に特化した起業家向けのSlack使用オンラインサロン「neoHIU」もメンバー募集中
詳細はこちら→https://lounge.dmm.com/detail/6218/

様々なフィールドで活躍するプロフェッショナル達の雑談が楽しめる「ZATSUDAN」
無料トライアル中！→https://zatsudan.com/

サイバーエージェント藤田社長との生配信企画＆HIUイベントでの対談はOPENREC会員限定でお試し視聴可能！
詳細はこちら→https://www.openrec.tv/user/horiemon_

----------おすすめ書籍-------------
いつまで英語から逃げてるの？ 英語の多動力New Version 君の未来を変える英語のはなし
▶︎https://amzn.to/4guHNWX
僕らとビジネスの話をしよう。～新時代の働き方
▶︎https://amzn.to/3XIYp5E
ゼロ―――なにもない自分に小さなイチを足していく（ダイヤモンド社）
▶ https://amzn.to/2VHSx9J
多動力 (NewsPicks Book) (幻冬舎文庫)
▶ https://amzn.to/2HNvlSv

堀江貴文
Twitter : https://twitter.com/takapon_jp
Instagram : https://www.instagram.com/takapon_jp/
TikTok : https://www.tiktok.com/@takafumi_horie

運営：SNS media&consulting 株式会社
https://snsmandc.jp","None"
"iO4YnxDHnig","いらないもの / キタニタツヤ✕なとり - Chained / Tatsuya Kitani × natori","2024-11-07T11:00:07Z","UCgP3GbgbuVzAhlctGU5yuPA","キタニタツヤ / Tatsuya Kitani","Music","24.11.08","""キタニタツヤ|なとり|いらないもの|Chained|るろうに剣心|るろ剣|GEMN|ジェム|Tatsuya Kitani|natori|アニメ|Anime|悪魔の踊り方|スカー|Scar|聖者の行進|青のすみか|Where Our Blue Is|Overdose|緋村剣心|神谷薫|四乃森蒼紫|斎藤一|志々雄真実""","198","202925","23467","0","580","754000","0.11850190957250216","https://i.ytimg.com/vi/iO4YnxDHnig/default.jpg","キタニタツヤ✕なとり 「いらないもの」
2024.11.13 Release
CD : https://smr.lnk.to/Chained
Streaming / Download : https://Tatsuya-Kitani.lnk.to/Chained
Inst : https://piapro.jp/t/cBuq

▼TVアニメ『るろうに剣心 －明治剣客浪漫譚－ 京都動乱』第一クールOP映像▼
URL : https://youtu.be/03KqrRhvjw4

::::::::::::::::::::::::::::::::::

Music Video

Director : Bivi

Producer : nesu(SATELLITE8 inc.)
Live-action photography producer : Asuka Ikeda
Animation Producer : Okra / Kozue Bessho (mimoid)

Cinematographer : Yuki Suematsu (KASSEN)
Cinematographer Mg : Kanako Oi (KASSEN)
Camera Assistants : Fumiya Kusakabe, Hakariya Takahiro, Yuma Ito 
Steadicam Operator : Genki Hidaka

Lighting Director : Ryo Takahashi, Fuyuki Ishikawa
Light Assistants : Jialin Ren, Hideetsu Ota, Isao Amano, Moeka Onose, Ayaka Kishi

Art Designer : Yudai Sunagawa
Art Assistant : Kazuma Wakabayashi

Costume Designer : Natsuki Hanyu
Stylists : TATSU (AURA), Ayaka Takeuchi (AURA)
Hair & Make-up : Tatsuya Suzuki

Colorist : Yukino Kobayashi (ARTONE FILM)
Driver : Mika Saito

Prodaction Managers : Rei Takara, Kaho Ishikawa, Mitsuki Matsuyama

Character designer : uminekokenkyuujo
2D Animation Director : Tatsuyoshi
2D Key Animator : Shiro Masuda / Kilu Chen / kagaminori / Li Mengmeng
2D Coloring : Mari Takahashi / Sakurako Taku / Hikaru Tsukada
2D BackGround : Hanae Sugi
2D Animation Compositor : Akihiko Wakahoi (mimoid)

Collage Design : _karudo
Motion Graphics Design : Cube(Hifumi,inc.)

Production : SATELLITE8 inc.

「いらないもの」
Words & Music : Tatsuya Kitani, natori
Arrangement : Naoki Itai (MUSIC FOR MUSIC), Tatsuya Kitani, natori
Bass : Rock Sakurai
Drums : Nozomu Kitamura
Piano : Yasunori Mochizuki
Guitar : Yuta Watanabe
Rec & Mix : MEG (MUSIC FOR MUSIC)
Mastering : Hidekazu Sakai (Sony Music Studios Tokyo)

最愛は振りほどいたんだ
もういらない、ここに居らんないから
他愛ない幸福はふわっと
もういなくなったな

失ってしまった季節の数
奪い取ってしまった未来はいくつ？
受け取った約束で呼吸をして
ずっと、かなしい夢を見ていた
あれから、どれくらい経っただろう

手紙を破って捨てても　
痛みで塗りつぶしてみても
まだあの日々とかたく繋がっている
この鎖を

断ち切れないのは僕のせいだ
揺らいでしまった弱さのせいだ
刻まれた深い傷より
君がくれた優しさが痛いよ、まだ
寂しくなるのは君のせいだ
幸せだった季節のせいだ
愛はここで燃やそう
それは僕にはもういらないもの

不自然に欠けている本棚のよう
足りないのはなんだったろう
静かな部屋の中で見つけてしまった
底のない空白を

捨てきれないのは僕のせいだ
この燻った決意のせいだ
隣にいてもいなくても
不安は拭えないままだったのに
寂しくなるのは君のせいだ
幸せだった季節のせいだ
いっそ目を背けよう
それは僕にはもういらないもの

今でも同じように、あの面影に揺れる
ただ、血液の渇く音が聞こえる
どこかで会えたら
また、あの頃のように手を振るから

君の瞳から身を隠して
君の世界から逃げ切ろうと
心に焼きついた日々に
かたく繋がったこの鎖を

断ち切れないのは僕のせいだ
揺らいでしまった弱さのせいだ
刻まれた深い傷より
君がくれた優しさが痛いよ、まだ
寂しくなるのは君のせいだ
幸せだった季節のせいだ
愛はここで燃やそう
それは僕にはもういらないもの

砂になった思いごと
踏み潰した、ディストラクション
錆び、鈍った呪いのよう
切り刻んだ、僕の頬　
曖昧な選択で
最愛は振りほどいたんだ
もういらない、ここに居らんないから
他愛ない幸福はふわっと
もういなくなったな

“Chained”

I can't break free, all because of me
Because of my wavering weakness
Rather than the scar cut deep
your tenderness hurts even more, still
I feel lonely, all because of you
Because of the happy seasons we used to be in
Here, I'll burn the love away
It's something I need no longer

Like a bookshelf that awkwardly lacks something
I feel something is missing in me; I wonder what
In a quiet room, I happened to find
An abysmal void

I can't get over it, all because of me
because of this smoldering resolution
With or without you by my side
I couldn't wipe out my insecurity
I feel lonely, all because of you
Because of the happy seasons we used to be in
I'd rather look away from it
It's something I need no longer

I still waver the same way to that remnant
Except that I can hear my blood go dry
If I can see you somewhere
I will wave my hands to you like back in the day

Hiding from your eyes
I was going to run away from your world
The days that haunt my mind
is tightly linked to these chains that

I can't break free, all because of me
Because of my wavering weakness
Rather than the scar cut deep
your tenderness hurts even more, still
I feel lonely, all because of you
Because of the happy seasons I used to be in
Here, I'll burn the love away
It's something I need no longer

My thoughts turned into sand
I overrode the distraction
Like a rusty and dull curse
It cuts my cheek to pieces
With an ambiguous choice
I broke free of my dearest
I don't need it anymore, I can't be here
Easy happiness has wafted
And is already gone","None"
"Keajy9dXKKk","【未公開動画】“闇バイト”に記者が応募してみたら… 　「強盗やりたいですか？」　逃げたら「必ず捕まえに行く」「最悪 親の所にも」　リクルーター役が語る“報酬高額案件”の実態","2024-11-07T06:34:01Z","UCZ0U1AoJOKVdlejhjUU1fBg","福岡TNC ニュース","News & Politics","24.11.08","""[none]""","1063","162638","1533","0","0","92400","0.009425841439270036","https://i.ytimg.com/vi/Keajy9dXKKk/default.jpg","関東地方で相次ぐ“闇バイト”による強盗事件。TNCの記者がSNSで募集していた“闇バイト”に応募し、リクルーター役の人物と接触してみると、「強盗でもいいっすよ」「（もし逃げたら）必ず捕まえに行く」…『報酬高額案件』の実態が見えてきました。
（TNC地上波で放送されていない未公開部分を含む動画）

#闇バイト #強盗 #緊縛強盗 #事件 #関東 #福岡 #fukuoka","None"
"SkcaqrHmCMQ","突然ですが、韓国人辞めます。","2024-11-07T10:00:32Z","UChXOIsxtfbYbnKnv8wShIYA","きばるん 키바룬","People & Blogs","24.11.08","""[none]""","866","146112","6043","0","303","580000","0.04343243539202803","https://i.ytimg.com/vi/SkcaqrHmCMQ/default.jpg","▼ がんちゃん(トッポギ侍)のYouTube
https://youtube.com/@toppogizamurai?si=4J4lvXh62E-r6ZJT

【きばママの一言】

「人生つらい人へ」

人生つらい人は。この4つ覚えてね。

①何事も深刻に考えすぎない。気楽にやる
② 嫌なことは忘れるより、思い出さない。
③他人は変えられない。期待しない。
④ 幸せの基準は他人じゃなく、自分。
⑤ 今が幸せか、辛いか、捉えるのは自分次第。

ゆっくりでいいから焦らず
うちらの生き方探していこうね。
みんなにいいこと沢山訪れますようにー！！

元気ない時いつでもこの動画
帰っておいでーーーー！！！！！


▼きばるんのインスタ(@kibaruuun_official)
https://instagram.com/kibaruuun_official?igshid=14rd2fiz4z4xg

▼きばるんのTwitter (@kibaruuun)
https://twitter.com/kibaruuun?s=21

▼きばるんのスレッズ (@kibaruuun_official)
https://www.threads.net/@kibaruuun_official

▼Contact (お仕事/문의)
kibarun.mgr@gmail.com

▼ファンレター先
〒103-0007
東京都中央区日本橋浜町2丁目23-5 
JP浜町ビル 2F きばるん宛
※お気持ちだけで嬉しいのッッ！！




↓↓↓  おすすめ動画   ↓↓↓

① きばるんって何者？
(初心者様向け🔰)

https://youtu.be/fNjxMQPgPNY
https://youtu.be/1dsLXLCFaiA

② 反応よかった動画BEST3 
(ちょっと気になって来た方向け🌱)

https://youtu.be/Pw02tCFjEIg
https://youtu.be/ISSeRyzLHLE
https://youtu.be/4HPDn7KNxFg

③ tiktokで話題の動画BEST3 
(ハマってしまった方向け💪🏻)

https://youtu.be/00Jk3ilpBDE
https://youtu.be/GHjuWeM2jm4
https://youtu.be/0VuoLr7KHiU

以上ご覧いただき、面白いと思った方は
来世まで親族ですッッお見知り置きぃぃー！！！


▼きばるんのInstagram (@kibaruuun_official)
https://instagram.com/kibaruuun_official?igshid=14rd2fiz4z4xg

▼きばるんのTwitter (@kibaruuun)
https://twitter.com/kibaruuun?s=21

▼Contact (お仕事/문의)
kibarun.mgr@gmail.com

▼ファンレター先
〒103-0007
東京都中央区日本橋浜町2丁目23-5 
JP浜町ビル 2F きばるん宛

※お気持ちだけで嬉しいのッッ！！","None"
