title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"Kabhi Main Kabhi Tum Mega Last Episode | Fahad Mustafa | Hania Aamir | 5 Nov 2024 (Eng Sub)","2024-11-05T16:00:07Z","ARY Digital HD","Entertainment","""watch Kabhi Main Kabhi Tum last ep 34|kabhi main kabhi tum last episode|new drama kabhi mein kabhi tum mega episode|New drama Fahad Mustafa kabhi main kabhi tum|Kabhi Main Kabhi Tum mega last episode|ARY Digital|Fahad Mustafa|Hania Aamir|Pakistani drama 2024 Kabhi Main Kabhi Tum last ep 34|latest episode 34 kabhi mein kabhi tum|new episode kabhi mein kabhi tum|hania amir new drama|Pakistani serial|watch Kabhi Main Kabhi Tum ep 34|Kabhi Main Kabhi Tum episod 34""","PT57M59S","none","19912107","682547","68395","58900000","0.03771283470905414","57715160545","PK"
"Baby John - Taster Cut | Atlee | Varun Dhawan, Keerthy Suresh, Wamiqa G, Jackie Shroff | 25th Dec","2024-11-04T05:33:43Z","JioStudios","Entertainment","""Jio Studios|Jio Cinema|Jio Saavn|Jio TV|Babbar Sher|Baby John|Baby John Varun Dhawan|Keerthy Suresh|WamiqaGabbi|Jackie Shroff|Rajpal Yadav|baby john teaser|babay john trailer|baby john promo|baby john movie|Varun Dhawan|Atlee|atlee movie|Jawan|atlee baby john|A. Kaleeswaran|baby John taster cut|taster cut|taster cut baby john|baby john official trailer|baby john first look""","PT1M58S","none","27108918","411860","27020","863000","0.016189506346214185","540683475","IN"
"AJJUBHAI VS MUNNABHAI FREE FIRE LAST MATCH | AUKAT KI BAAT #1","2024-11-05T04:00:12Z","Total Gaming","Gaming","""Free Fire|Total Gaming|Ajjubhai|Garena Free Fire""","PT50M18S","none","2886190","297240","20053","43800000","0.10993489687096138","4599455548","IN"
"Australia v Pakistan | First ODI | ODI Series 2024-25","2024-11-04T11:10:00Z","cricket.com.au","Sports","""ausvpak""","PT8M14S","none","5313665","94627","4100","9350000","0.018579831434612455","5114337811","AU"
"Trying Dumbest ""Smart"" Robots","2024-11-04T13:59:34Z","Slayy Point","Comedy","""slayy point|slayypop|abhyudaya|gautami|funny video""","PT14M58S","none","2940867","164334","4763","8940000","0.05749903004794164","2491608514","IN"
"Bhairathi Ranagal Official Trailer | DR.Shiva Rajkumar|GeethaSRK|Narthan|Ravi Basrur|Rukmini Vasanth","2024-11-05T05:57:25Z","Anand Audio","Entertainment","""Dr Shiva Rajkumar|Shiva Rajkumar Birthday|Mufti Shivanna|Karunada Chakravathi shivanna|shivarajkumar songs|ravi basruru music|Bhairathi Ranagal shivanna|Bhairathi Ranagal ravi basruru|Bhairathi Ranagal narthan|Bhairathi Ranagal sriimurali|Bhairathi Ranagal trailer|Bhairathi Ranagal songs|Bhairathi Ranagal audio song|Bhairathi Ranagal bgm|Bhairathi Ranagal teaser ost|bhairathi ranagal teaser|official trailer|new trailers|bhairathi ranagal|bairati ranagal""","PT2M32S","none","3428585","82195","4216","12800000","0.025203108571028573","9848949458","IN"
"Iniya Serial | EP 646 Highlights | 3rd Nov 24 | Alya Manasa | Rishi | Saregama TV Shows Tamil","2024-11-03T17:00:26Z","Saregama TV Shows Tamil","Entertainment","""saregama tv shows tamil|sun tv serial|sun tv new serial|iniya serial|alya manasa new serial|Iniya Highlights|Iniya Episode Highlights|Sun tv Serial highlights|Iniya|Tamil Serial Sun tv|Sun tv Serial|Iniya Serial Highlights|Iniya Serial Latest Episodes|Saregama TV Shows Tamil|Alya Manasa|Iniya episode 646|iniya episode highlights 646|Iniya 646 Highlights|Iniya 646 Shorts|Iniys Serial Promo|Iniys Sun tv|Iniya Serial Sun Tv|Iniya 646""","PT10M43S","none","1769164","24092","726","8700000","0.014028094625484128","10481702263","IN"
"Azaad Official Teaser | Ajay D | Abhishek K | Aaman D | Rasha T | Ronnie S | Pragya K | Jan 2025","2024-11-05T08:31:23Z","RSVP Movies","Entertainment","""Azaad|Aazad|AjayDevgn|AamanDevgan|RashaThadani|AbhishekKapoor|RonnieScrewvala|PragyaKapoor|RSVP|RSVPMovies|AzaadTrailer|AazadTrailer""","PT1M48S","none","8010045","52634","2083","707000","0.0068310477656492565","501365912","IN"
"#Video | घटिये स्वर्ग लागेला | #Pawan Singh | Ghatiye Swarg Lagela | Chandani | New Chhath Song 2024","2024-11-05T17:30:05Z","Pawan Singh Official","Music","""Pawan Singh|pawan singh new chhath song|pawan singh new chhath song 2024|pawan singh new chhath puja song|pawan singh new chhath geet|new chhath geet|pawan singh chhath song new|pawan singh chhath song 2024|pawan singh chhath puja song|pawan singh chhath puja geet|pawan singh new song|pawan singh new song chhath|pawan singh chhath puja|chhath puja song|chhath puja song 2024|chhath puja all songs|chhath geet pawan singh|Ghatiye Swarg Lagela""","PT4M8S","none","1331327","143638","18887","5150000","0.12207744603692407","1374557142","IN"
"Unstoppable With NBK S4 E3 Promo | Suriya, Bobby deol | Singham Meets Samarasimham | Nov 08","2024-11-05T04:30:06Z","aha videoIN","Entertainment","""Unstoppable|Unstoppable with NBK|unstoppable|balakrishna|unstoppable latest promo|unstoppable promo|unstoppable 4|unstoppable with prabhas|unstoppable episodes|unstoppable with cbn|unstoppable with cbn promo|balakrishna unstoppable|unstoppable latest promo season 4|unstoppable with mahesh|DulquerSalmaan|lucky bhaskar|dulquer on unstoppable|telugu talk show|surya unstoppable|kanguva|surya kanguva movie|surya in unstoppable|unstoppable with surya|bobby deol""","PT4M32S","none","1911550","65478","1134","3010000","0.03484711359891188","1890355128","IN"
