title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"Donald Trump speaks after winning the 2024 Presidential Election","2024-11-06T08:09:45Z","Fox News","News & Politics","""Fox News Channel|FNC|Fox News|News|donald trump|swing states|battleground states|electoral college|2024 election|harris campaign|2024 elections|trump campaign|2024|2024 presidential election|fox news|fox news media|fox news channel|fox news network|politics|democrats|republicans|democratic party|republican party|trump v harris|trump live|trump speaking live|trump press conference|trump press briefing|2024 election results|donald trump live""","25.37","none","17240521","294170","26128","12300000","0.018578208860393488","18199108495","US"
"Angel Edgar VS Demon Mortis - Animation","2024-11-06T09:15:40Z","Brawl Stars","Gaming","""brawl stars|brawler|edgar|mortis|angel|demon|brawl pass|new season|animation|kit|skins|battle|fight|epic|supercell""","1.15","none","3052291","194126","8313","20600000","0.06632362379602731","2941932208","FI"
"HIGHLIGHTS - Real Madrid vs Milan | UEFA Champions League 24/25 | TUDN","2024-11-05T22:23:24Z","TUDN USA","Sports","""Milan|Real Madrid|Real Madrid vs. Milan|real madrid vs milan|highlights real madrid vs milan|real madrid champions league|milan champions league|vinicius champions|mbappe real madrid|donde ver la champions|champions league 2024|champions league hoy|uefa|champions league en vivo|vix|vix champions league|tudn usa|tudn champions league|futbol|univision champions league|futbol eua""","15.23","none","602583","5911","831","1910000","0.011188500173420093","1970705243","US"
"Real Madrid vs. AC Milan: Extended Highlights | UCL League Phase MD 4 | CBS Sports Golazo","2024-11-05T22:55:39Z","CBS Sports Golazo","Sports","""Champions League|Europa League|Soccer|UEFA|UCL|European Soccer|European Football|European Futbol|UEL|UCL Highlights|Champions League Highlights|Football|CBS Golazo|CBS|Micah Richards|Jamie Carragher|Thierry Henry|CBS Studio""","12.98","none","681640","9788","1673","2090000","0.016813860688926707","2321775759","US"
"The Most Insane Weapon You Never Heard About","2024-11-05T15:00:02Z","Kurzgesagt – In a Nutshell","Education","""[none]""","13.93","none","2169284","127478","7461","23100000","0.06220439555171199","3004389187","DE"
"Arkansas political science expert speaks on the Electoral College","2024-11-06T05:52:01Z","5NEWS","News & Politics","""[ national-politics|news|politics ]""","2.8","none","91581","558","354","78600","0.009958397484194319","55122579","US"
"Ludwig Eats His Last Meal","2024-11-05T11:01:04Z","Mythical Kitchen","Entertainment","""mythical kitchen|mythical|chef|josh|scherer|nicole|food|taste test|snack|smash|fears|fancy|fast|recipe|culinary|cooking|cook|bake|baking|mythical chef josh|culinary bro-down|good mythical kitchen""","43.43","none","772000","44084","1939","3400000","0.05961528497409326","925431923","US"
"Apex Legends: From the Rift Gameplay Trailer","2024-11-05T16:00:11Z","Apex Legends","Gaming","""apex legends|apex legends season 23|apex legends trailer|apex legends From the Rift trailer|apex legends from the rift|new season|new LTM|apex legends Lifeline|Wattson|Horizon|Doc|Prestige Skin|update|collection event|apex legends skins|battle royale|apex legends ps5|apex legends ps4|apex legends xbox|apex legends switch|apex legends pc|respawn entertainment|electronic arts|titanfall 2""","2.48","none","444658","20091","2437","2820000","0.05066365611323759","612210822","US"
"Election Touchscreen Map Takes Deeper Look Inside Key Swing Voter | Onion News Network","2024-11-04T18:00:04Z","The Onion","Comedy","""The Onion|comedy|satire|news|Onion News Network|ONN|ONNCast|humor""","3.18","none","1836298","121834","4053","2720000","0.06855477705688293","1208069283","Unknown"
"What if everyone pointed a laser at the moon?","2024-11-05T17:51:51Z","xkcd's What If?","Science & Technology","""[none]""","5.62","none","908387","62242","2460","746000","0.07122735133814112","37039533","US"
"BEYWATCH","2024-11-05T07:22:00Z","Beyoncé","Music","""[none]""","2.48","none","644123","60635","5505","27500000","0.10268225168174401","19530867950","Unknown"
"Why Are Cooling Towers Shaped Like That?","2024-11-05T14:00:59Z","Practical Engineering","Education","""[none]""","19.8","none","695483","34313","1658","3990000","0.051720890374027835","407591760","US"
"Nino Paid - Play This At My Funeral (Official Video) Dir: @Shotbyaddict","2024-11-04T17:00:06Z","Nino Paid","Music","""ninopaid|playthisatmyfuneral|cantgobacc|painmusic""","2.23","none","444595","37036","2460","38400","0.08883590683655912","7134574","Unknown"
"Kodak Black - Catch Fire [Official Music Video]","2024-11-05T07:20:39Z","Kodak Black","Music","""kodak|black|kodak black|atlantic records|roll in peace|codeine dreaming|tunnel vision|drowning|transportin|heart break kodak|project baby 2|Kodak Black Bill Israel|Bill Israel|Sniper|Sniper Gang|Hip Hop|Rap|Kodak Black I Knew It|Kodak Bill Israel|Kodak Black Easter in Miami|Easter|Easter in Miami|Kodak Easter|Kodak Black Haitian Boy Kodak|Haitian Boy Kodak|Kodak Black HBK|HBK|Kodak Black Happy Birthday Kodak|Happy Birthday Kodak""","2.73","none","368486","25797","2032","9120000","0.07552254359731442","7169790186","Unknown"
"HIGHLIGHTS! City fall to Champions League defeat at Sporting | Sporting CP 4-1 Man City | UCL","2024-11-05T23:00:09Z","Man City","Sports","""man city|manchester city|mcfc|man city highlights|man city goals|city|city vs|man city vs|man city v|video|live|men's team|haaland|pep guardiola|kevin de bruyne|interviews|press conference|pep|city v|guardiola|ucl|champions league|uefa|uefa champions league|etihad|match preview|press|2024/25|sporting|sporting lisbon|sporting v city|sporting v man city|sporting lisbon v city|bernardo silva|silva|sporting cp v city|sporting cp v man city""","2.32","none","3571491","57881","3069","7810000","0.017065701691534433","2146531160","GB"
