title,publishedAt,channelTitle,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
"2 Ngày 1 Đêm Lễ Hội 2024 - Tập 70: Chú Sáu thể hiện đam mê, Quang Hùng MasterD cosplay muôn thú","2024-11-03T13:40:06Z","ĐÔNG TÂY PROMOTION OFFICIAL","Entertainment","""dong tay promotion|đông tây promotion|htv""","128.67","none","7007890","101951","6174","9500000","0.015429037841632787","6185756982","VN"
"BLG vs T1 (BO5) | CKTG 2024 - Chung Kết | 02.11.2024","2024-11-02T19:18:58Z","LoL Esports VN","Entertainment","""[none]""","349.32","none","5495555","70027","822","720000","0.012892055488481146","266289109","Unknown"
"Rap Việt 2024 Tập 7: Team Karik lan toả sức nóng cùng đội hình thiện chiến, ai sẽ là winner?","2024-11-02T14:00:06Z","Vie GIẢITRÍ","Music","""vie giai tri|giai tri tv|rapper|underground|the rapper|rapper việt|suboi|big daddy|rap việt full|rap việt tập 7|rap việt 2024|rap viet 2024|Rap Việt 2024|rap việt 2024 mới nhất|rap viet tap 7|tập 7 rap việt 2024|tap 7 rap viet 2024|rap việt mới nhất|rap viet mua 4|thai vg|karik|rap việt mùa 4 tập 7|hieuthuhai|hieuthuhai rap việt|vòng đối đầu|rap việt 2024 tập 7|team karik|manbo|tiêu minh phụng|mason nguyen|vòng đối đầu team karik|nón vàng""","116.17","none","4647790","103581","7558","2890000","0.023912224949922435","1217328834","VN"
"2 Ngày 1 Đêm Lễ Hội 2024 - Tập 69: Dương Lâm tự tin “đá sân nhà”, Kiều Minh Tuấn “nâng giá” cười mồi","2024-10-27T13:40:06Z","ĐÔNG TÂY PROMOTION OFFICIAL","Entertainment","""dong tay promotion|đông tây promotion|tvshow|gameshow|2 ngay 1 dem|2 ngày 1 đêm việt nam|2 ngay 1 dem viet nam|2 days 1 night|trường giang|kiều minh tuấn|cris phan|dương lâm|lê dương bảo lâm|ngô kiến huy|duong lam|2 ngày 1 đêm full|HIEUTHUHAI|hai ngày một đêm|2n1d|2 ngày 1 đêm mùa 3 tập 69|2 ngày 1 đêm mùa 3 tập 19|2 ngày 1 đêm tập 69|2 ngày 1 đêm mùa lễ hội 2024|quang hùng masterd|jsol|2 ngay 1 dem lễ hội|2 ngay 1 đêm lễ hội 2024|bts 2 ngày 1 đêm""","126.57","none","10342864","150773","7718","9500000","0.015323705310250624","6185756982","VN"
"Players vs Pitch 🤯","2024-11-01T19:09:28Z","LE FOOT EN VIDÉO","Sports","""[none]""","0.43","none","59435712","1205911","356","3700000","0.02029532345805835","2819639182","FR"
"Người lái chiếc Volkswagen này thật tốt bụng, vì nếu không tốt bụng thì .. #sieuxe #shorts","2024-11-01T10:30:00Z","Martini Official","Autos & Vehicles","""xe|siêu xe|ô tô|supercar|racing|tốc độ|phương tiện|martini|martini asphalt|martini official|hypercar|volkswagen|buồn cười|hài hước|meme|tốt bụng|lái volkswagen|vũng nước|tránh vũng nước|short|shorts""","0.2","none","3742741","46384","275","206000","0.012466531881313721","307186600","VN"
"家里的东西越扔越少了...#電車 #車文化 #跑車","2024-10-26T11:00:15Z","极速多多","People & Blogs","""[none]""","0.42","none","15589498","379509","142","79600","0.024352997126655392","45450774","TW"
"Perfect Pitch Challenge? Easy! 🎤😎| Free Fire Official","2024-10-25T13:00:54Z","Garena Free Fire Global","Gaming","""free fire|free fire official|free fire battle royale|english|garena free fire|freefire""","0.22","none","61890835","1133327","3406","4220000","0.018366742022465847","787557287","US"
"The Singing Challenge #joker #Harriet Quinn","2024-11-03T00:00:25Z","佐助与鸣人","Comedy","""佐助与鸣人|火影忍者|鸣人|小樱|卡卡西|佐助|斗罗大陆|唐舞桐|小舞|唐三|兄弟搞怪|日常生活|现代演绎|动漫角色扮演|正能量|友情故事|搞笑视频|快乐分享|动漫文化|忍者世界|搞笑剧情|日常趣事|角色深度|精彩瞬间|忍者冒险|火影粉丝|角色分析|幕后花絮|创意演绎|爆笑场面""","0.58","none","11244291","175929","472","3780000","0.01568805005135495","2549853260","HK"
"amazing#devil #lilith #funny #shorts","2024-10-30T12:45:03Z","Devil Lilith","People & Blogs","""[none]""","0.25","none","18304696","315351","781","993000","0.017270540849189737","487594574","HK"
