video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"tRwHpyOq4P4","【MV】Creepy Nuts - オトノケ(Otonoke)","2024-10-17T15:00:06Z","UCFImmanh2iGuONPpUTf4-Wg","Creepy Nuts","Music","24.18.10","Creepy Nuts|クリーピーナッツ|R-指定|DJ松永|オトノケ|Otonoke|ダンダダン|DANDADAN|Bling-Bang-Bang-Born|BBBB|BBBBダンス|梅田サイファー|Masaki Watanabe","1220096","123088","0","4305","https://i.ytimg.com/vi/tRwHpyOq4P4/default.jpg","False","False","オトノケ - OtonokeTVアニメ「ダンダダン」オープニングテーマStreaming/Download：https://smar.lnk.to/ozwt6YA Guide To Creepy Nuts -  https://www.youtube.com/watch?v=xZ-nqJ1EpdgDAN DA DAN OP：https://youtu.be/Nw_XzGZ35As?si=w_vh2DVeUchONd02■Music CreditLyrics：R-ShiteiMusic & Arrangement：DJ MatsunagaGuitar Arrangement / Guitar : Kazuki IsogaiVocal Recording Engineer： Shinsaku TakaneMixing Engineer：Masahito KomoriMastering Engineer : Tsubasa YamazakiArt Direction & Design : Ryotaro Kawashima■Video CreditDirector : Masaki Watanabe (maxilla)Director of Photography : Shuho Teramura1st AC : Masanori Miyano2nd AC : Kaito Furuyoshi3rd AC : Ryohei YoshidaLighting Director : Takuma Saeki1st LA : Akira 2nd LA : Haru, Arata NakatsukaStylist : Yuji YasumotoHair & Make-up : Yoko FujiGrillz : Mariko (GRIN JEWELRY), Sui (GRIN JEWELRY)Transport : Toshiki Mochizuki, Yuya Amano4DViews Studio Manager：Tadayuki Suzuki (CRESCENT)4DViews Studio Engineer: Tatsuhiko Kobayashi (CRESCENT), Yuiichi Ikeda (CRESCENT)Light Cage Manager : Keigo Obuchi (CRESCENT)Light Cage Engineer : Kaito Arai  (CRESCENT)CG Producer : Kouhei Miki (HASH) CG Line Producer : Satoshi Takeno (Montblanc Pictures)CG Director : Taro Adachi (Montblanc Pictures)CG Designer : Ayano Tamura (Montblanc Pictures)CG Modeling Director : Kei Kidera (HASH)CG Modeler : Toshiki Watanabe (HASH)VFX Producer : Tyler Nakata (maison COMADO) VFX Manager : Hayata Sugawara (maison COMADO), Hitomi Kamioka (maison COMADO) VFX Artist : Pankaj Sharma (maison COMADO)Title And Credit Design : Eita Watanabe (maxilla)2DAnimation : Kazuya Futagoishi (maxilla), MasakebabOnline Editor : Tomoya Sugino (Drift.)Colorist : Yoshiyuki Nishida (ARTONE FILM)Special Thanks : Yichikawa Wang (maxilla)Producer : Mao Suzuki (P.I.C.S.)Production Manager : Koichi Iwamoto (P.I.C.S.)Production Assistant : Yuki Adachi (P.I.C.S.), Ren Wakayama (P.I.C.S.), Risa Tomono (P.I.C.S.), Karin Takema (P.I.C.S.), Shogo Otake, Aoi Sasaki, Hironari KimuraProduction : P.I.C.S. #ダンダダン #DANDADAN #オトノケ #Otonoke=====TikTok - https://www.tiktok.com/@creepy_nuts_Instagram - https://www.instagram.com/creepynuts_official/X - https://x.com/Creepy_Nuts_Facebook - https://www.facebook.com/CreepyNutsCLUB Creepy Nuts - https://subscription.app.c-rayon.com/app/creepynuts/homeHP - https://creepynuts.com"
"0dIeJW_mmbU","【緊急生配信】to HEROes 〜TOBE 1st Super Live〜 Live Blu-ray発売記念生配信✨","2024-10-17T14:07:39Z","UCRmF5Y0mEXwdqH3hSiiTXNw","TOBE OFFICIAL","Entertainment","24.18.10","tobe|とべ|滝沢秀明|タッキー|三宅健|平野紫耀|神宮寺勇太|岸優太|IMP.","511499","30603","0","428","https://i.ytimg.com/vi/0dIeJW_mmbU/default.jpg","False","False","※アーカイブ配信は10/20（日）23:59までになります。※映像内のテロップに一部誤りがありました。大変申し訳ありませんでした。#TOBE_toHEROes#TOBE #三宅健 #北山宏光 #Number_i #IMP.#大東立樹 #winkfirst #TRAINEE★TOBE  OfficialOfficial Site：https://tobe-official.jp/Instagram：https://www.instagram.com/tobeofficial_jp/X：https://twitter.com/tobeofficial_jpTikTok  :  https://www.tiktok.com/@tobeofficial_jp★TOBE OFFICIAL STOREhttps://tobe-store.jp★三宅 健 OfficialInstagram：https://www.instagram.com/kenmiyake_idol/X：https://twitter.com/kenmiyake_idolYouTube： https://www.youtube.com/@kenmiyake_idol★北山 宏光 OfficialInstagram：https://www.instagram.com/k_hiro_mitsu917/X：https://twitter.com/k_hiro_mitsu917TikTok：https://www.tiktok.com/@k_hiro_mitsu917YouTube：https://www.youtube.com/@k_hiro_mitsu917★Number_i  OfficialInstagram：https://www.instagram.com/number_i_staff/X：https://twitter.com/number_i_staffTikTok：https://www.tiktok.com/@number_i_staffYouTube：https://www.youtube.com/@Number_i_official平野 紫耀 OfficialInstagram：https://www.instagram.com/sho_h_desyo/神宮寺 勇太 OfficialInstagram：https://www.instagram.com/_yutajinguji/岸 優太 OffcialInstagram：https://www.instagram.com/_yuta_kishi_/X：https://twitter.com/_yuta_kishi_★IMP. OfficialInstagram：https://instagram.com/_7mp_official_/X：https://twitter.com/_7mp_official_YouTube：https://www.youtube.com/@_7mp_official_"
"BFY0v2C_Udc","【大谷翔平】【ドジャース】ドジャース対メッツ リーグ優勝決定シリーズ  10/17 【野球実況】","2024-10-17T03:39:04Z","UCSDobaWqvIttZUa1xXi4sRQ","ハムショーのスポーツ実況ch","Sports","24.18.10","[none]","1518666","7454","0","38","https://i.ytimg.com/vi/BFY0v2C_Udc/default.jpg","False","False","大谷翔平　ドジャース　大谷翔平速報　2024年10月17日　ドジャース対メッツ戦を実況生配信でお送りします。サブチャンネルはこちら   @dodgesho  Tシャツ・マグカップ・タオル　グッズショップはこちら！https://muuu.com/collections/42847-1031641UUUMのハムショー紹介ページはこちらhttps://uuum.jp/creator/hamushoプレゼントはこちらにお送りください！〒107-6228東京都港区赤坂9-7-1 ミッドタウン・タワー 28階ハムショー　宛※ お送りいただいたプレゼントはスタッフが開封確認をした後にクリエイター本人にお渡しいたします。※ 一度お送りいただいたファンレター・プレゼントは、原則としてお返しできません。※ 必ず【対象クリエイター名】を明記の上、お送り下さい。※ UUUMオフィスへの直接のお持込みはお断りさせていただきます。※ 危険物、飲食物、生もの、生き物、現金、金券（ギフトカード・プリペイドカード含む）などについては、スタッフの判断により、受け取りをお断りさせていただく場合がございます。あらかじめご了承ください。※ 送料不足、着払いなどでお送りいただいた場合は受け取ることができません。※ バレンタインデー、誕生日などの贈り物も、上記の注意点についてご確認をお願いいたします。DIGVOICEアプリDLリンク：https://digvoice.onelink.me/Wq6d/prr0xxh9スポンサー企業一覧野球ユニフォームのファンゴ様https://bit.ly/48W68jfブログ記事を書いていただきました！https://bit.ly/3Ppnhe9奥州いわい様からあげ家奥州いわいHP：https://iwai181.net/奥州いわいネットHP：https://iwai181.shop-pro.jp/マイプロテイン様【TEAMJP】入力で割引！注文はこちら→https://prf.hn/l/PlngzG5ネイチャーカン様Naturecan CBDサイト：https://bit.ly/3ubgUDVNaturecan フィットネスサイト：https://bit.ly/499VkP2クーポンコード【HAMUSHO】で10％オフ!!モデレーター応募フォームはこちら！https://forms.gle/d9tW5ALs18bcNPow6メンバーシップ始めました！スタンプ、コミュニティでの投稿、限定の動画、顔出しでの限定生配信、参加型配信などを予定しています！ご参加お待ちしています！https://www.youtube.com/channel/UCSDobaWqvIttZUa1xXi4sRQ/join基本的にはクレジットカード決済ですが、こちらの動画のやり方をすればクレジットカードなし、グーグルプレイカード(コンビニなどにあります)で携帯の機種問わず登録できます。https://youtu.be/N_Ak18km4WoX(旧Twitter)https://mobile.twitter.com/fighters28123Instagramhttps://www.instagram.com/fighters28123?igsh=MWpjcHlxbHQxZmJ2MQ%3D%3D&utm_source=qrTikTokhttps://www.tiktok.com/@fighters28123?_t=8kG9hcKltn5&_r=1こちらのフォローもお願いします！BGMはきゃすたぁわいるどさんの提供で使わせていただいています！https://youtube.com/c/%E3%81%8D%E3%82%83%E3%81%99%E3%81%9F%E3%81%81%E3%82%8F%E3%81%84%E3%82%8B%E3%81%A9音楽編集ソフトで打ち込んだ曲を使用しています。#大谷翔平  #ドジャース    #大谷翔平速報 　 #大谷翔平ライブ  #大谷 ＃ドジャースライブ  ＃大谷ライブ  ＃メジャー　＃大谷翔平速報今日 ＃ラジオ実況  ＃スポーツ実況  #mlb＃大谷ホームラン #メッツ #千賀"
"8atZKeJAqhw","7年付き合った彼氏と別れた事を家族に報告したら泣いてしまいました。","2024-10-17T09:51:18Z","UCZ2MfK6kPxHZZqp5FTZyv4g","李家everyday","People & Blogs","24.18.10","李家|李家everyday|everyday|家族|日常|韓国|文化|観光|韓国人家族|今日もGatti|リー君|サラ|オンマ|가티|사라|리쿤|한국인|일본유튜브|엄마|失恋|恋愛|別れ|報告","442017","17822","0","1727","https://i.ytimg.com/vi/8atZKeJAqhw/default.jpg","False","False","いつも見てくれてありがとうございます \(ㅇ__ㅇ)/♡⭐️INSTAGRAM⭐️サラの Instagramはこちら 【@2sall_gatti】https://www.instagram.com/2sall_gatti/えーへの Instagramはこちら 【@deko4cc】https://www.instagram.com/deko4cc/オンマの Instagramはこちら 【@onma1234】https://www.instagram.com/onma1234/⭐️チャンネル情報⭐️サラの新しいこちゃん⬇️【サラのHOKURO】https://www.youtube.com/channel/UCBVVCHhTq-tjHgcPvTkCFhw李家のTIKTOKはこちらで⬇️【@lee_ family99】https://www.tiktok.com/@lee_family99?えーへのチャンネル ⬇️【NOBLEMAN】https://www.youtube.com/channel/UCSHc05m3seGiDBH6ZChd1xA🐕ファンレター・プレゼントの宛先はこちら150-0001東京都渋谷区神宮前6-12-20J6 Frontビル 6F「株式会社carry on 李家every day」宛※冷蔵・冷凍が必要な、なま物の受付はできません。🐈お仕事のご依頼等https://carry0n.co.jp/contact/corporation/"
"TzU9e4CM81M","【新卒】すぐ退職するってダメ？自分にあった働き方とは？会社側の心象は｜アベプラ","2024-10-17T11:30:17Z","UCB1dgsqLiEp57oDAyNV_vww","ABEMA Prime #アベプラ【公式】","News & Politics","24.18.10","アベプラ|あべぷら|アベマプライム|あべまぷらいむ|abemaprime|アベマニュース|あべまニュース|abemanews|ニュース|にゅーす|news|生放送|アベマ|あべま|abema|アベマTV|あべまTV|abematv","411744","2607","0","2325","https://i.ytimg.com/vi/TzU9e4CM81M/default.jpg","False","False",".◆続きをノーカットで視聴▷https://abe.ma/3Yv4Jyo◆過去の放送回はこちら【トイレ】和式は残すべき？脚力の問題？衛生面？子どもたちに教育する機会は必要？｜アベプラ▷https://youtu.be/Mle2hIIEY6U　【生活保護】申請増加も受給減？水際作戦で弾かれるケースも？自治体の現場のリアルとは？｜アベプラ▷https://youtu.be/KW9CM-LeUC8　◆キャストMC：ひろゆきゆいにゃ(コンカフェ店員)ミヤナリ(4年生大学卒→地元の地銀に就職も数カ月で退職)田中課長(会社員)てぃ先生(現役保育士 育児アドアイザー)はましゃか(マルチクリエーター)パックン(お笑い芸人)司会進行：平石直之(テレビ朝日アナウンサー)ナレーター：篠田みなみ平日よる9時 アベマで生放送中#アベプラ #ひろゆき #新卒 #アベマ #ニュース　------------------------------------------------------------　◆ニュース公式SNSニュースCh：https://www.youtube.com/@News_ABEMAX(旧Twitter)：https://twitter.com/News_ABEMATikTok①：https://www.tiktok.com/@abemaprime_officialTikTok②：https://www.tiktok.com/@abemaprime_official2　◆ABEMAアプリをダウンロード(登録なし/無料)iOS：https://abe.ma/2NBqzZuAndroid：https://abe.ma/2JL0K7b　※YouTube動画には一部ミュート(消音)の部分がございます。※YouTube動画には掲載期限があり、予告なく掲載をおろす場合がございます。ご了承ください。　------------------------------------------------------------"
"hYfJlIBcgo8","【速報】俳優・西田敏行さん死去　東京・世田谷区の自宅で　76歳｜TBS NEWS DIG","2024-10-17T04:56:59Z","UC6AG81pAkf6Lbi_1VC5NmPA","TBS NEWS DIG Powered by JNN","News & Politics","24.18.10","ニュース|NEWS|TBS|NEWSDIG|TBSNEWSDIG|報道|最新ニュース","1037147","5795","0","1998","https://i.ytimg.com/vi/hYfJlIBcgo8/default.jpg","False","False","きょう正午すぎ、俳優の西田敏行さんが東京・世田谷区の自宅で死亡しているのが見つかりました。76歳でした。捜査関係者によりますと、きょう正午すぎ、世田谷区にある西田敏行さんの自宅で、西田さんがベッドで冷たくなっていると関係者から通報があったということです。病死とみられています。西田さんは1947年、福島県郡山市の出身。中学を卒業後に上京し、1970年に「劇団青年座」に入団すると、その後も「釣りバカ日誌」シリーズをはじめ、映画やドラマに多数出演。俳優として活躍しました。また歌手としても、「もしもピアノが弾けたなら」が大ヒットし、「紅白歌合戦」にも出場しています。2018年には「旭日小綬章」にも選ばれていました。【西田敏行さん　プロフィール】1947年11月4日生まれ。福島県郡山市出身。中学卒業後、上京、明大中野高校から明治大学進学。その後中退し、昭和45（1970）年劇団青年座入団。70年「情痴」で初舞台。71年舞台「写楽考」初主演。以降、舞台、テレビ、映画など出演多数。2003年12月31日劇団青年座退団。●受賞歴●1975年:芸術祭優秀賞（私はルビイ）1977年:第12回紀伊国屋演劇賞（写楽考）　　　:第15回ゴールデンアロー賞＜放送賞＞1985年:日本アカデミー賞優秀助演男優賞（天国の駅）1987年:日本アカデミー賞優秀主演男優賞（植村直己物語）1989年:日本アカデミー賞最優秀主演男優賞（敦煌）1993年:日本アカデミー賞優秀主演男優賞（寒椿）　　　　日本アカデミー賞優秀助演男優賞（おろしや国酔夢譚）　　　　日刊スポーツ映画大賞（学校）1994年:日本アカデミー賞最優秀主演男優賞（学校）　　　　ゴールデンアロー賞＜映画賞＞（学校）　　　　全国映連賞主演男優賞（学校）1997年:日本アカデミー賞優秀主演男優賞（学校2）2004年:ブルーリボン賞主演男優賞（ゲロッパ）（釣りバカ日誌14）　　　　毎日映画コンクール主演男優賞（ゲロッパ）（釣りバカ日誌14）　   　　報知映画賞最優秀主演男優賞（ゲロッパ）（釣りバカ日誌14）　　　　日本アカデミー賞優秀主演男優賞（ゲロッパ）（釣りバカ日誌14）　　　　全国映連賞主演男優賞（ゲロッパ）（釣りバカ日誌シリーズ）　　　　ベスト・ファーザーイエローリボン賞▼TBS NEWS DIG 公式サイト　https://newsdig.tbs.co.jp/▼チャンネル登録をお願いします！http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1▼情報提供はこちらから「TBSインサイダーズ」https://www.tbs.co.jp/news_sp/tbs-insiders.html▼映像提供はこちらから「TBSスクープ投稿」https://www.tbs.co.jp/news_sp/toukou.html#ニュース #news #TBS #newsdig"
"JpEwFycikr0","'최초 공개' 세븐틴 (SEVENTEEN) - LOVE, MONEY, FAME (feat. DJ Khaled) #엠카운트다운 EP.867 | Mnet 241017 방송","2024-10-17T12:03:13Z","UCbD8EppRX3ZwJSou-TVo90A","Mnet K-POP","Entertainment","24.18.10","LOVE MONEY FAME|MCOUNTDOWN|Mnet|SEVENTEEN|러브 머니 페임|세븐틴|엠넷|엠카운트다운|티빙에서스트리밍","778118","85056","0","2200","https://i.ytimg.com/vi/JpEwFycikr0/default.jpg","False","False","티빙에서 스트리밍 : https://tving.onelink.me/xHqC/30a78d6fM COUNTDOWN｜Ep.867세븐틴 - 러브, 머니, 페임 (SEVENTEEN - LOVE, MONEY, FAME (feat. DJ Khaled))World No.1 K-POP Chart Show M COUNTDOWNEvery Thur 6PM(KST) Mnet Live on Air매주 목요일 저녁 6시 엠넷 생방송#티빙에서스트리밍"
"al3mXMN9ik8","ØMI - Feel Gold feat. 山下智久 (Official Music Video)","2024-10-17T15:00:08Z","UCfumhU709DobTeoD6ITmhKQ","ØMI","Music","24.18.10","OMI|HIROOMI TOSAKA|登坂広臣|三代目 J SOUL BROTHERS|JSB3","145952","12560","0","819","https://i.ytimg.com/vi/al3mXMN9ik8/default.jpg","False","False","【Streaming / Download】https://lnk.to/omi-feel_gold_feat.tomohisa_yamashita【Follow ØMI】Official HP：https://www.hiroomi-tosaka.com/X：https://x.com/hiroomi_3jsbInstagram：https://www.instagram.com/omi.cdlYouTube：@ØMI_JSB3 @CDLentertainment 【Follow THE FUSION】Instagram：https://www.instagram.com/the_fusion_official_igTikTok：https://www.tiktok.com/@the_fusion_official【Follow J SOUL BROTHERS Ⅲ’s from EXILE TRIBE】Official HP：https://www.jsoulb.jp/X：https://x.com/jsb3_officialInstagram：https://www.instagram.com/jsb3_7official/TikTok：https://www.tiktok.com/@jsb3_officialYouTube：@ØMI_JSB3 【Filming Cooperation】BOTANICAL POOL CLUBhttps://botanicalpoolclub.comGL terracehttps://gl-terrace.com#ØMI#FeelGold#山下智久#THE_FUSION#CDL#三代目JSOULBROTHERS"
"w2ERBYJOfzU","モンストニュース[10/17]新轟絶「ペディオ」やVer.29.0アップデート情報、人気投票ガチャの結果発表など、モンストの最新情報をお届けします！【モンスト公式】","2024-10-17T07:00:06Z","UCd9BXPj-KcMTh0HiB-Vlb8A","モンスト（モンスターストライク）公式","Gaming","24.18.10","モンスト|モンスターストライク|Monster Strike|モンストニュース|獣神化|怪物彈珠|彈珠爆新聞|最新情報|モンスト最新|モンストの日|獣神化・改|けいウサ|轟絶|ペディオ|守護獣|バンシー|選抜！11周年人気投票ガチャ|スクランブルユニバース|マサムネシーズン|シーズンコイン|ストライカーカード|アプデ|紋章|タイガーアイ|ランキングバトル|暗黒絢爛のCEO杯|額入りミニアート|モンストア","561113","6445","0","437","https://i.ytimg.com/vi/w2ERBYJOfzU/default.jpg","False","False","00:00 おさらい00:18 1. けいウサや新爆絶のおさらい！04:02 2. 守護獣の森に新キャラクターが登場！05:00 3. 新たな轟絶が降臨するぞ〜！06:23 4. 「選抜！11周年人気投票ガチャ」結果発表〜！08:08 5. 「スクランブルユニバース」新シーズン開催！13:04 6. Ver.29.0アップデート情報！17:15 7. 来るぞ！獣神化・改！20:08 8. モンストスタジアム！ランキングバトル 「暗黒絢爛のCEO杯」開催！20:55 9. モンストえらべるグッズ「額入りミニアート」！新たに50種追加！◆ROUND1×モンスト「超ROUND1祭 ～みんなでもっと遊ぼうよ！～」詳細はこちら！https://www.round1.co.jp/collaboration/monst2/index.html◆ファミマ×モンスト「ジューシー祭」▼「ファミペイキャンペーン」詳細はこちら！https://www.family.co.jp/campaign/spot/2410_famipay-stamp_monster-strike_cp.html▼「ファミマスポットキャンペーン」詳細はこちら！https://www.monster-strike.com/news/20241010_3.html◆公式オンラインストア「モンストア」https://monstore.monster-strike.com/----------------モンストニュースはモンスト公式YouTubeチャンネルにて配信中！※営利目的による、本動画内の文章・画像等をはじめとした内容を引用元の記載無く無断転載及び複製等の行為はご遠慮ください。モンスト公式YouTubeチャンネルでは、獣神化やガチャ、轟絶などで降臨するモンスターの最新情報など、様々なモンスト動画を配信中！---------------▼モンストアプリのダウンロードはこちら・Android版https://play.google.com/store/apps/details?id=jp.co.mixi.monsterstrike・iOS版https://itunes.apple.com/jp/app/monsutasutoraiku/id658511662?mt=8▼モンスト公式YouTubeチャンネル登録はこちらhttps://www.youtube.com/user/monsterstrikepr▼オーブがモンストアプリ内よりもお得に購入可能！モンストWEBショップはこちらhttps://webshop.monster-strike.com/★モンスターストライク（モンスト）とは？  「モンスト」は、モンスターを指でひっぱって弾くだけの簡単操作で遊べる爽快アクションRPGアプリ！▼モンスト公式サイトhttps://www.monster-strike.com/▼モンスト公式Xhttps://twitter.com/monst_mixi▼モンストアニメ公式YouTubeチャンネルhttps://www.youtube.com/c/AnimeMonsterstrike▼モンソニ！公式YouTubeチャンネルhttps://www.youtube.com/@monsoni_official---------------★モンストの中の人とは？ アプリ「モンスターストライク」の魅力をユーザーさんに伝える仕事をしているモンストの運営スタッフです。☆もんすと放送局もあるよ☆https://www.youtube.com/@monst_cast　▼さなぱっちょ（モンストの中の人）　https://twitter.com/monst_sanapacho　▼ぱなえ（モンストの中の人）　https://twitter.com/monst_panaee　▼さしみ（モンストの中の人）　https://twitter.com/monst_sashimii　▼りえっくす（モンストの中の人）　https://twitter.com/monst_riex　▼ちゃす（モンストの中の人）　https://twitter.com/monst_chas　▼ゆきのしん（モンストの中の人）　https://twitter.com/xflag_yukinosin　▼たけちょり（モンストの中の人）　https://twitter.com/xflag_takechori　▼りるきい（モンストの中の人）　https://twitter.com/monst_rilkii　▼ほまれおん（モンストの中の人）　https://twitter.com/monst_homareon　▼ゆかんさ〜（モンストの中の人）　https://x.com/monst_yukansaa#モンスト #モンストニュース #最新情報©MIXI"
"BNKPKCd1p9w","【ドジャース・大谷翔平 2戦連発となる先頭打者HR！】走者なし無安打に終止符！元僚友キンタナから豪快アーチ！","2024-10-18T00:16:14Z","UCJ-l-sMQFHogSy8KXRyMIRA","SPOTVNOW","Sports","24.18.10","MLB|メジャーリーグ|SPFL|スコティッシュプレミアシップ|SPOTV","1346087","12479","0","1234","https://i.ytimg.com/vi/BNKPKCd1p9w/default.jpg","False","False","MLBポストシーズン2024開幕記念のプレゼントキャンペーン実施中！SPOTVNOWの有料会員登録とXアカウント @SPOTVNOW_JP のキャンペーンポストをリポストで豪華MLBグッズが当たる！アカウント作成はこちらから → https://bit.ly/4drivWP※ すでに有料会員登録がお済みの方はキャンペーンポストのリポストで応募完了となります！SPOTV NOW（スポティービーナウ）は”世界最高峰のスポーツ”をいつでも観ることができるアプリです！無料登録で、試合ハイライト・ダイジェスト・インタビューなどを視聴できます🙌--------------------------------------【公式サイト】https://spotvnow.jp​​​​​​​​​​【twitterアカウント @SPOTVNOW_JP】https://twitter.com/SPOTVNOW_JP【Instagramアカウント】https://www.instagram.com/spotvnow_jp【TikTokアカウント】https://www.tiktok.com/@spotvnow_jp【SPOTV news】https://spotvnews.jp#大谷翔平 #ドジャース #メッツ"
