video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,duration_seconds,view_count,likes,dislikes,comment_count,subscriber_count,engagement_rate,thumbnail_link,description,region_restriction
"matbhWLff8U","ARASHI - 5×20 [Official Music Video]","2024-11-03T04:07:00Z","UCP7Gw_YZAuh4Yg2fcdcuumQ","ARASHI","Music","24.11.04","""嵐|ARASHI|あらし|アラシ|相葉 雅紀|松本 潤|二宮 和也|大野 智|櫻井 翔|MASAKI AIBA|JUN MATSUMOTO|KAZUNARI NINOMIYA|SATOSHI OHNO|SHO SAKURAI|ARASHI 25th Anniversary|ARASHI25thAnniversary|デビュー25周年|25周年|5×20|ファイブバイトゥエンティー|20周年|20|デビュー20周年""","464","548530","44369","0","2856","3330000","0.08609374145443276","https://i.ytimg.com/vi/matbhWLff8U/default.jpg","ARASHI - 5×20 [Official Music Video]
2019.06.26 Release
https://stormlabels.lnk.to/5x20YT

YouTube https://www.youtube.com/ARASHI_5_Official
X https://twitter.com/arashi5official
Instagram https://www.instagram.com/arashi_5_official
TikTok https://www.tiktok.com/@arashi_5_official
Facebook https://www.facebook.com/arashi5official
Weibo https://www.weibo.com/arashi5official

#嵐 #ARASHI #5_20","None"
"lh9b4LacRq4","パックでは手に入らない幻のポケモン「ミュウ」を手に入れたい！【ポケポケ】","2024-11-03T12:00:48Z","UCgXyMl3Y2kRHkK08F_Ct8Pg","はじめしゃちょー2 (hajime)","Gaming","24.11.04","""はじめカンパニー|hajimecompany|hajimexcompany|はじめ社長|ビログ|ゲーム実況""","829","381629","5288","0","602","2950000","0.015433837575236684","https://i.ytimg.com/vi/lh9b4LacRq4/default.jpg","https://youtu.be/x2MEOdYiBmk
チャンネル登録してね～！

ファンサイト入れ
▽「はじメーノ」：https://fanicon.net/fancommunities/4246

オイラのメインチャンネルはこちら: https://www.youtube.com/user/0214mex

X(twitter): https://twitter.com/hajimesyacho
裏垢: https://twitter.com/duelhajime

LINEスタンプはこちら！
はじめしゃちょー
https://store.line.me/stickershop/product/1072663/ja
はじめしゃちょー2
https://store.line.me/stickershop/product/1169745/ja","None"
"dLyrKKmfHXE","【横浜DeNA】26年ぶりの日本一達成！！本当におめでとう！！","2024-11-03T12:40:04Z","UC64uGOYi7v1ClET3GJVlYyA","谷繁ベースボールチャンネル","Sports","24.11.04","""#FlyingB|＃谷繁|#プロ野球|#NPB|#セリーグ|#パリーグ|#中日ドラゴンズ|#中日|#巨人|#阪神|#ソフトバンク|#イーグルス|#監督|#MLB|#YouTube|#横浜|#横浜ベイスターズ|#AK_69|ロッテ|大谷|日本ハム|大谷翔平|WBC|侍ジャパン|worldbaseballclassic|吉田正尚|ヌートバー|村上宗隆|佐々木朗希|山本由伸|古田敦也|捕手|クライマックスシリーズ|岡本和真|坂本勇人|甲子園""","468","232330","6988","0","678","219000","0.032996169242026425","https://i.ytimg.com/vi/dLyrKKmfHXE/default.jpg","▼谷繁元信公式Twitter
https://twitter.com/m_tanishige_

『オススメ動画』
▼【BIGBOSS】北海道日本ハムファイターズキャンプに潜入！！谷繁の捕手の極意を選手に伝授。【ファイターズ】
https://youtu.be/AzXZ8wREFUQ

▼【赤星憲広】盗塁成功を左右する0.1秒の壁。球界トップレベルの捕手と走者が語る盗塁の真髄！！
https://youtu.be/GOuYbfMkK0k

▼【上原浩治さんコラボ】1年目から20勝！メジャーではなく、巨人に入団した訳とは？
https://youtu.be/rUi0x2KqN3o

▼【ゴルフ対決】豪華共演！中日ドラゴンズレジェンドOB達による真剣勝負！！
https://youtu.be/OQJ6Km_tLvM

▼Flying B Entertainment Inc.
講演会などのお問い合わせはこちらから
https://flying-b.jp/contact/

▼書籍案内
「谷繁元信のプロ野球「通」」
https://amzn.asia/d/31IUvgS(ビジネス社)

「谷繁ノート 強打者の打ち取り方」(光文社)
https://amzn.asia/d/74sHx1O

「勝敗はバッテリーが8割 名捕手が選ぶ投手30人の投球術」（幻冬舎）
https://amzn.asia/d/eZAFnEp

「谷繁流 キャッチャー思考」（日本文芸社）
https://amzn.asia/d/8bznAyU


（プロフィール）
谷繁元信
1970年生まれ。江の川高校（現・石見智翠館）にて甲子園に出場し、卒業後、ドラフト１位で横浜大洋ホエールズ（現・横浜DeNAベイスターズ）に入団。98年にはベストナイン、ゴールデングラブ賞、最優秀バッテリー賞を獲得しチームの日本一に大きく貢献。2002年に中日ドラゴンズに移籍。2006年WBC日本代表に選出され、2013年2000本安打を達成。2014年シーズンから選手兼監督になり、2016年現役引退を表明。通算3021試合出場（NPB歴代最高）、27シーズン連続本塁打、同安打はギネス世界記録に登録された。2016年に中日ドラゴンズを退任後は、各種メディアで評論家、解説者として活動を行う。著書に『谷繁ノート 強打者の打ち取り方』(光文社)『勝敗はバッテリーが8割 名捕手が選ぶ投手30人の投球術』(幻冬舎)『谷繁流キャッチャー思考』（日本文芸社）。

#谷繁元信 #プロ野球","None"
"h0xp1AbSi80","東海オンエア活動継続の危機…！","2024-11-03T09:42:55Z","UCynIYcsBwTrwBIecconPN2A","東海オンエアの控え室","Comedy","24.11.04","""[none]""","1481","558312","10410","0","651","3010000","0.01981150324549714","https://i.ytimg.com/vi/h0xp1AbSi80/default.jpg","僕たちは今神休みを満喫していま〜す！
今日日曜なの忘れててメイン動画の編集慌ててやってるよ〜！

(編集：虫眼鏡)

東海オンエアの控え室へようこそ。
ぜひチャンネル登録お願いします！
https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2A

メインチャンネルはこちらの【東海オンエア】です！
https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ

グッズ購入はこちらから！
https://tokaionair.jp/

東海オンエアLINEスタンプはこちらから！
https://uuum.jp/posts/614231

東海オンエアLINE公式アカウント　友達登録はこちらから！
https://lin.ee/c19Zdjm

お仕事の依頼はこちらから
https://www.uuum.co.jp/inquiry_promotion

ファンレターはこちらへ
〒107-6228
東京都港区赤坂9-7-1ミッドタウン・タワー 28階
UUUM株式会社 東海オンエア宛

【東海オンエアの個人アカウント】
てつや
個人チャンネル：https://www.youtube.com/channel/UC1xd0cAOryAMTTG34joEgdg
X：https://twitter.com/TO_TETSUYA
Instagram：https://www.instagram.com/to_tetsuya/

しばゆー
X：https://twitter.com/TOKAI_ONAIR
Instagram：https://www.instagram.com/to___shibayu/

りょう
個人チャンネル：https://www.youtube.com/channel/UCigMkMDZjvLhXAQ67wKQIbA
X：https://twitter.com/TO_RYOO
Instagram：https://www.instagram.com/to_ryoo/

としみつ
個人チャンネル：https://www.youtube.com/channel/UCDFxQgB9Dc_MzxiEKjozWwg
X：https://twitter.com/TO_TOSHIMITSU
Instagram：https://www.instagram.com/toshimitsu_tokaionair/

ゆめまる
個人チャンネル：https://www.youtube.com/channel/UCevQsKO8q1XQcEA1BoBO2gA
X：https://twitter.com/TO_yumemarucas
Instagram：https://www.instagram.com/yumemaru_original/

虫眼鏡
個人チャンネル：https://www.youtube.com/channel/UCbSIiNFWbJCW8ERBbkNMfwQ
X：https://twitter.com/TO_ZAWAKUN
Instagram：https://www.instagram.com/to_mushimegane/","None"
"3w6uJrGrEPs","【#にじ遊戯王祭2024】にじさんじ遊戯王マスターデュエル祭 2024 Day2：Idios東西戦","2024-11-03T09:27:16Z","UCX7YkU9nEeaoZbkVLVajcMg","にじさんじ","Gaming","24.11.04","""バーチャルライバー|UCX7YkU9nEeaoZbkVLVajcMg|にじさんじ|バーチャルYouTuber|VTuber|YouTuber|ユーチューバー|バーチャルユーチューバー|ライバー|アニメ|anime|nijisanji|ゲーム配信|遊戯王マスターデュエル|遊戯王""","18624","734315","13972","0","185","1590000","0.01927919217229663","https://i.ytimg.com/vi/3w6uJrGrEPs/default.jpg","【提供】遊戯王マスターデュエル
https://www.konami.com/yugioh/masterduel/jp/ja/

#にじ遊戯王祭2024 #遊戯王マスターデュエル
---------------------------------------------------------------------------------------
「にじさんじ遊戯王マスターデュエル祭 2024」
Day1:11月2日(土) 13：00〜　グループリーグ　
Day2:11月3日(日) 13：00～　Idios東西戦
Day3:11月4日(月) 13：00～　敗者復活トーナメント&決勝トーナメント　

【チャイカ軍]】
花畑チャイカ：@HanabatakeChaika 
メンバー（50音順）  
石神のぞみ：@IshigamiNozomi 
鏑木ろこ：@KaburakiRoco 
獅子堂あかり：@ShishidoAkari 

【社軍】
社築：@YashiroKizuku 
メンバー（50音順）  
五十嵐梨花：@IgarashiRika 
倉持めると：@KuramochiMeruto 
小清水透：@KoshimizuToru 
ソフィア・ヴァレンタイン：@Sophia_Valentine 

©︎スタジオ・ダイス／集英社・テレビ東京・KONAMI
©︎Konami Digital Entertainment
---------------------------------------------------------------------------------------

＋＋＋
※未成年者の視聴者の方々は、下記リンク先の注意事項もご覧ください。
https://www.anycolor.co.jp/notice-for-minors
＋＋＋

にじさんじの最新情報のチェックはこちらから！
▼にじさんじ公式X
https://twitter.com/nijisanji_app

「にじさんじ」が気になったらこちらから！
■にじさんじ公式Web
https://www.nijisanji.jp/","None"
"jnGSFu0x7pk","ARASHI - Do you... ? [Official Music Video]","2024-11-03T04:10:01Z","UCP7Gw_YZAuh4Yg2fcdcuumQ","ARASHI","Music","24.11.04","""嵐|ARASHI|あらし|アラシ|相葉 雅紀|松本 潤|二宮 和也|大野 智|櫻井 翔|MASAKI AIBA|JUN MATSUMOTO|KAZUNARI NINOMIYA|SATOSHI OHNO|SHO SAKURAI|ARASHI 25th Anniversary|ARASHI25thAnniversary|デビュー25周年|25周年|Do you... ?|どぅーゆー|ドゥーユー|This is 嵐|thisisarashi|thisisarasi|ディスイズアラシ|でぃすいずあらし""","234","453880","26389","0","1136","3330000","0.06064378249757645","https://i.ytimg.com/vi/jnGSFu0x7pk/default.jpg","ARASHI - Do you... ? [Official Music Video]
2020.11.03 Release
https://stormlabels.lnk.to/ThisisARASHIYT

YouTube https://www.youtube.com/ARASHI_5_Official
X https://twitter.com/arashi5official
Instagram https://www.instagram.com/arashi_5_official
TikTok https://www.tiktok.com/@arashi_5_official
Facebook https://www.facebook.com/arashi5official
Weibo https://www.weibo.com/arashi5official

#嵐 #ARASHI #Doyou","None"
"iNdvcVQ2FQM","【号泣】横浜DeNAベイスターズ26年ぶりの日本一へ！『勝負を分けた２つのポイント!!』大洋出身の三浦大輔が日本一を奪還してくれて本当に嬉しい…速報で両チームに感謝の思いを伝えます。","2024-11-03T13:49:53Z","UCgr5CkgytiVfdnk4C0M42nQ","高木 豊 Takagi Yutaka","Sports","24.11.04","""プロ野球|野球選手|野球|広島|阪神|横浜DeNA|読売ジャイアンツ|中日|巨人|ソフトバンク|西武|楽天|清原|高木豊|ピッチャー""","1364","254444","7656","0","950","515000","0.03382276650264891","https://i.ytimg.com/vi/iNdvcVQ2FQM/default.jpg","■SMBC日本シリーズ2024・第6戦　DeNA 11－2 ソフトバンク（3日・横浜スタジアム）

DeNAはソフトバンクに勝利し1998年以来、26年ぶり3度目となる日本一を達成した。またリーグ3位から下剋上での日本一は2010年ロッテ以来14年ぶり2度目。日本一を決めたDeNA・三浦大輔監督（50）は選手らと共に喜びを分かち合いながらマウンド付近で5度宙を舞った。


■ダルビッシュ選手との対談動画👇
https://www.youtube.com/playlist?list=PLvS7h6OtjIXHvTktSmwgc_LCcl_WRHpfj

◾️提供
ゲーミングチェア AKRacing(エーケーレーシング)
https://www.tekwind.co.jp/AKR/products/category.php

▫︎阪神タイガースチェアの詳細
https://www.akracing.jp/products/detail/39

仕事の連絡コラボ依頼・その他のお問い合わせはこちらにお願いします‼︎
→info@playfulinc.co.jp

【公式Twitter】
https://twitter.com/playful_youtube

【会社ホームページ】
https://www.playfulinc.co.jp/

高木豊オフィシャルサイト→https://takagi-yutaka.com/
Twitter→https://twitter.com/bentu2433

高木豊の本はこちらから
https://www.amazon.co.jp/阪神タイガース岡田監督は武田信玄タイプの采配-もしプロ野球監督が戦国武将だったら-高木-豊/dp/4299053974
森藤恵美さんのTwitter
https://twitter.com/emi_morifuji

スタッフのSNS 
➡︎https://twitter.com/teachersato44
○取材していただきました↓
【前半】
https://nikkan-spa.jp/1980683
【後半】
https://nikkan-spa.jp/1980684



高木豊のラジオチャンネル
→https://www.youtube.com/channel/UCcV1alnt4jnDIHFjCorEnKQ

高木豊のセカンドチャンネル
→https://www.youtube.com/channel/UCzQnMakL04ASGCptTVtTgcA

里崎智也のチャンネル
→https://www.youtube.com/channel/UCFCtAX45lgHcf4s0vAgAxww

片岡篤史のチャンネル
→https://www.youtube.com/channel/UCSFE1o0ihc5mfODf2FybeuA

岩本勉のチャンネル
→https://www.youtube.com/channel/UC7CeOxGzcmmxbf_Oacxf7sg/

森藤恵美のチャンネル
→https://www.youtube.com/channel/UC1Db9qogCZ3wMSPDbxgacag/

#プロ野球ニュース
#日本シリーズ","None"
"fH7SutKHLEk","【史上最大の下剋上】横浜DeNAベイスターズが1998年以来26年ぶり日本一！セリーグ初の3位から下剋上頂点に！王者ソフトバンクでも勢い止められず…里崎がこの試合を徹底解説します【日本シリーズ】","2024-11-03T12:38:41Z","UCFCtAX45lgHcf4s0vAgAxww","Satozaki Channel","Entertainment","24.11.04","""プロ野球|野球選手|野球|広島|阪神|横浜DeNA|読売ジャイアンツ|中日|巨人|ソフトバンク|西武|楽天|清原|里崎智也|ピッチャー""","828","378713","8765","0","1554","795000","0.027247546294951585","https://i.ytimg.com/vi/fH7SutKHLEk/default.jpg","＜里崎チャンネルおすすめ動画＞
▼一軍と二軍の違いについて
https://youtu.be/xmaIfDcZ26A

▼袴田彩会が『もう辞めます』と言ったら、里崎がまさかの行動にww【ドッキリ】
https://youtu.be/tBrdxDClznE

▼始球式練習！里崎の熱血指導で袴田が開花した！！
https://youtu.be/jQyt5cfS6xI

＜里崎チャンネルコラボ＞
▼【板野友美コラボ】正解がない。AKB時代の苦悩や考え方を聞いてみた！
https://youtu.be/Yb2JhFpulYA

▼【CLAYコラボ】『400連でアニバーサリー選手を誰が多く引けるか対決』
https://youtu.be/bWhBeCOLjvg

▼【那須大亮コラボ】サッカー界のJ1,J2の待遇の差
https://youtu.be/Qp_TXjSD89I


■里崎智也 プロフィール
プロ野球生活1999〜2014年16年間ありがとうございました。
引退を機に2019年3月〜YouTubeを始めることにしました。 
今後の活動を始め幅広く配信していきたいと思います。 
2006WBC優勝！ベストナイン！ 2005.2010ロッテ日本一！
ベストナイン・ゴールデングラブ・最優秀バッテリー賞共に2度受賞！北京五輪出場

■袴田彩会 プロフィール
元東北放送アナウンサー
楽天イーグルス初のリーグ優勝・日本一の際にビールかけリポートを経験。
その後、ベンチリポーターやヒーローインタビューを担当。ヒーローインタビュー担当日は全試合楽天が勝利したため「勝利の女神」と呼ばれていた。
現在は東京を拠点に活動している。


【里崎智也のセカンドチャンネル】
https://www.youtube.com/channel/UCu14_kv1oKLIQMbpYqFJsew?view_as=subscriber

【高木豊さんのチャンネル】
https://www.youtube.com/channel/UCgr5CkgytiVfdnk4C0M42nQ

【片岡篤史さんのチャンネル】
→https://www.youtube.com/channel/UCSFE1o0ihc5mfODf2FybeuA

【岩本勉さんのチャンネル】
→https://www.youtube.com/channel/UC7CeOxGzcmmxbf_Oacxf7sg/

【森藤恵美さんのチャンネル】
→https://www.youtube.com/channel/UC1Db9qogCZ3wMSPDbxgacag/

【Twitter】
里崎智也(@satozakitomoya)
➡︎https://twitter.com/satozakitomoya

袴田彩会(@AyaeH1210)
➡︎http://ur0.work/gYv1

先生SNS 
➡︎https://twitter.com/teachersato44
👇取材していただきました👇
【前半】
https://nikkan-spa.jp/1980683
【後半】
https://nikkan-spa.jp/1980684


【TikTok】
https://vt.tiktok.com/FRdomx/

仕事の連絡コラボ依頼・その他のお問い合わせはこちらにお願いします‼︎
→info@playfulinc.co.jp



#野球
#プロ野球","None"
"xjfqFG2CuIg","世界中で人気すぎて品切れ中のチョコを極秘ルートで入手！感動的なウマさだった！","2024-11-03T10:00:52Z","UCFbp2XdRpKfk7mYt_uT8dxw","Kevin's English Room / 掛山ケビ志郎","Entertainment","24.11.04","""English|Kevin's English room|Kevin|英語|ケビン|tiktok|アメリカ|アメリカ人|おもしろ|英文法|ケビンズイングリッシュ|授業|勉強|ためになる|日本語|教育|学習|発音|翻訳|kevin's english room|イントネーション|流行|検証|リスニング|歌手|ボーカル|音楽|アーティスト|評価|学校|バイリンガル|バイリンガール|爆笑|ジョージア|留学|英語フレーズ|日本語訳|英和|TOEIC|TOEFL|グローバル|オススメ|ネイティブ|英語ネイティブ|海外生活|国際恋愛|国際結婚|英会話|語学留学|海外留学|大学|東大|早稲田|慶應|上智|一橋|京大|バラエティ|TikTok|インスタ|語学|掛山ケビ志郎|かけ|やま|Twitter|入試|受験|Instagram|掛山ケビン|IQ|高IQ|多言語|マツコ会議|マツコデラックス|KER|食レポ|joe sensei""","1539","422463","12369","0","1185","2390000","0.03208328303307035","https://i.ytimg.com/vi/xjfqFG2CuIg/default.jpg","日本でも発売してほしい！！！

★僕たちが作ったアメリカグルメレシピ本が発売されました！
https://www.amazon.co.jp/dp/4074566001

★過去に出版した本もあります⬇︎
https://www.amazon.co.jp/dp/4046051124

▷これまでの神回まとめ再生リスト
https://youtube.com/playlist?list=PLKBue5ZovUFKN_qpq8dvaE8ZMGkt9RYLX

▷毎週月曜21時〜サブチャンで生配信してます🎬
https://www.youtube.com/channel/UCs-Kh0ZmPjR0K_tMhqbmjZA/

▷TikTok
https://vt.tiktok.com/RVKp4w/

▷Instagram
https://instagram.com/kevinsenroom

▷Twitter
https://twitter.com/kevinsenroom

▷Podcast
https://amzn.to/3rkDkhT

▷オリジナル曲LISTEN/DL
https://album.link/i/1522061492

おすすめ動画
▷1週間アメリカの食事だけで生活してみた
https://youtu.be/ckaBvP-7Gtg

▷日英仏3ヶ国語で『水平線』を歌ってみた
https://youtu.be/XUC7p__67jk

▷実は日本育ちを探せ！帰国子女人狼！
https://youtu.be/IXSq43VmF1k

▷このチャンネルができる前の活動で大赤字だった話
https://youtu.be/k_I0vIpqGts

▷3人で共通テストを受けたら衝撃的な結果だったwww
https://youtu.be/rktIrLhvNcE

▷海外で言われた日本人への悪口を論破する
https://youtu.be/HKEax9FFGZA

▷日本人は言いがちだけど失礼な英語
https://youtu.be/Nt4TSn3j_-A

▷１週間フランスの食事だけで生活してみた
https://youtu.be/PZMl__sjwDg

▷プロフィール概要

大学時代の同級生３人組。KERと呼ばれています。
2019年12月から動画投稿をスタート。
言語や異文化、エンタメ、音楽などについて動画投稿をしています！

▷メンバー

・ケビン：アメリカのジョージア州生まれ&育ちのバイリンガル。高校１年の時に日本に来て以来日本住み。

・かけ：IQ140。当チャンネルの企画・ディレクション・編集など担当。元マーケター。

・やま：日英仏のトリリンガル。幼少期から多言語教育を受ける。サッカー好き。

※当チャンネルの切り抜き動画の作成は公式チャンネル1つを除いて禁止とさせて頂いております。

#fixchocolate 
#海外
#KER
#チョコレート
#ドバイ","None"
"UfMe11D_XPc","京本大我 – Blue night","2024-11-03T12:00:06Z","UCwTl9t5_PnpFrL9fEXzOraA","京本大我 from ART-PUT","People & Blogs","24.11.04","""[none]""","221","286755","25767","0","1937","163000","0.09661209046049764","https://i.ytimg.com/vi/UfMe11D_XPc/default.jpg","京本大我クリエイティブ・プロジェクト
「ART-PUT」
3rd Music Video

「Blue night」
Music: Taiga Kyomoto, Hayato Yamamoto
Lyrics: Taiga Kyomoto
Arrangement: Hayato Yamamoto

MV Director: Riku Ozama
MV Production: SEP,inc.

#京本大我_Bluenight #TAIGA_KYOMOTO #ART_PUT

▶京本大我 from ART-PUT HP
https://art-put.com

▶京本大我 X
https://x.com/TAIGA_KYOMO33

▶ART-PUT X
https://x.com/art_put33

▶見習いアーティスト Instagram
https://www.instagram.com/minarai_artist/

▶︎Subscribe 京本大我 from ART-PUT YouTube Channel
http://www.youtube.com/@art-put","None"
