title,publishedAt,channelTitle,description,category,tags,duration,live_content,view_count,likes,comment_count,subscriber_count,engagement_rate,total_view_count,channel_country
KISSIK Lyrical Video | Pushpa 2 The Rule | Allu Arjun | Sukumar | Sreeleela | DSP,2024-11-24T14:33:09Z,T-Series Telugu,"Get Ready For The Biggest Blockbuster Flashing Worldwide 🔥! The Icon Star 'Allu Arjun' & the Dancing Queen 'Sreeleela' Is Coming to Rock The Floor!

Pushpa 2 - The Rule - Written and Directed by Sukumar. Produced by Naveen Yerneni and Y. Ravi Shankar of Mythri Movie Makers in association with Sukumar Writings. The film stars Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Dhanunjay, Rao Ramesh, Sunil, Anasuya Bharadwaj & Ajay Ghosh. The film's music is composed by Devi Sri Prasad, with cinematography and editing performed by Miroslaw Kuba Brozek and Navin Nooli respectively.

Releasing in Cinemas on 5th December 2024💥😍🔥!

#Pushpa2TheRuleTrailer #AlluArjun #Pushpa2Trailer #Pushpa2TheRule #Sukumar #RashmikaMandanna #FahadhFaasil #DSP #MythriMovieMakers #Pushpa2 #Pushpa #Pushpa2Teaser #Pushpa2TheRuleGlimpse
------------------------------------------ 
Connect with T-Series Telugu: 👉 http://bit.ly/SubscribeToTseriesTelugu
------------------------------------------
🎶 Music Slate 🎶
Singer: Sublahshini
Lyrics: Chandrabose 
Music: Devi Sri Prasad
Keyboards: Vikas Badisa & Ravi Krishnan 
Rhythm: Kalyan
Backing Vocal: Manasi DSP & S.P. Abhishek

Song Mixed & Mastered by A. Uday Kumar @ DSP Studios - Chennai
Song Recorded by A. Uday Kumar, T. Uday Kumar & Suresh Kumar Taddi.
Vocal Supervision: S.P. ABHISHEK 
Orchestra In-Charge: Murugan 
Studio Asst: Pugalendhi, Bharat & V Dhinakaran 
Album Co-ordinator:  B. Manikandan

Cast:
Allu Arjun, Rashmika Mandanna, Fahadh Faasil, Jagapathi Babu, Dhanunjaya, Rao Ramesh, Sunil, Anasuya Bharadwaj etc.

Technical Team :
Co Producer: Ashok Bandreddi
Story- Screenplay-Direction Sukumar Bandreddi
Producers: Naveen Yerneni, Ravi Shankar Yalamanchili 
CEO: Cherry
Music: Devi Sri Prasad
Cinematographer: Miresłow Kuba Brożek
Production Designer: S. Ramakrishna - Monica Nigotre
Lyricist: Chandra Bose
VFX Supervisor : Kamal Kannan 
Editor : Navin Nooli
Dubbed By-Manav Mahapatra ( Rudra Sound Solutionz )
Costume Designers : Deepali Noor - Sheetal Sharma
Fights : Peter Hein, ”Dragon” Prakash, Kecha, Navakanth
Character Designer : Preeti Sheel  
Chief Executive Producer: KVV Bala Subramaniam
Executive Producer - Baba Saikumar Mamidapalli
Banners: Mythri Movie Makers in Association with Sukumar Writings
Marketing - First Show
Second unit director: sreeman
Mixing - Raja Krishnan MR
Colorist - Raju Reddy M
DI & Sound Mixing : Annapurna Studios
Sound Design: Resul Pookutty, Vijay Kumar
Sync Sound: Canaries Post Sound
Visual Production Team: Ram Tumu, Yogi D.F.Tech, Boppana Satyanarayana(Satya)

Music Label: T-Series
---------------------------
Enjoy & stay connected with us!!

👉Subscribe to T-Series Telugu: http://bit.ly/SubscribeToTseriesTelugu
👉Like us on Facebook: http://www.facebook.com/Tseriestelugu
👉Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthOffical
👉Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOffical
👉Follow us on Whatsapp: https://whatsapp.com/channel/0029VaYvKJUGehEWUOwOio0q

Thanks Everyone for Watching Our Latest Telugu Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Telugu songs of all time.",Music,"""Telugu songs new|Tollywood songs 2024|Telugu movies 2024|tseries|KISSIK Lyrical Video|KISSIK Lyrical Video allu arjun|KISSIK Lyrical Video sreeleela|KISSIK Video sreeleela and allu arjun|allu arjun and sreeleela|kissik Video pushpa 2|pushpa 2 the rule|pushpa 2 the rule kissik Video|kissik Lyrical Video pushpa 2 the rule|kissik Video allu arjun|allu arjun New Song|sreeleela New Song|sreeleela Dance Song|Pushpa 2 the Rule New Song|kissing song video new""",4.18,none,32656599,540914,25420,11100000,0.0173421,8699345616.0,IN
Australia v India 2024-25 | First Test | Day Four,2024-11-25T09:00:03Z,cricket.com.au,"India are seven wickets away from winning big in the first Test of the 2024-25 Border-Gavaskar Trophy.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",Sports,"""ausvind""",8.05,none,10908577,164477,3811,9680000,0.015427127,5245222510.0,AU
"Nain Matakka | Baby John | Varun Dhawan, Keerthy Suresh, Diljit Dosanjh | Dhee, Thaman S, Irshad K",2024-11-25T06:30:05Z,Zee Music Company,"👉🏻 SUBSCRIBE to Zee Music Company - https://bit.ly/2yPcBkS 

To Stream & Download Full Song:
Amazon Prime Music - https://amzn.to/3V6aXCy
Spotify - https://spoti.fi/4eIHR33
JioSaavn - https://bit.ly/3Z1EFK9
Apple Music - https://apple.co/413FTY2
Gaana - https://bit.ly/3Z7Ztjd
iTunes - https://apple.co/413FTY2
Hungama - https://bit.ly/3Z7ZrrB
YouTube Music - https://bit.ly/3V5N2mG

A vibe so GOOD, it’ll make you groove with the tribe, Baby! ❤️‍🔥

#BabyJohnFirstSingle - #NainMatakka is out now! 💃🕺

A Thaman S musical 

Song: Nain Matakka
Movie: Baby John
Music Composer: Thaman S 
Vocals: Diljit Dosanjh & Dhee
Lyrics: Irshad Kamil
Programmed & Arranged by: Thaman S 
Acoustic Drums & Electric Rhythm: Thaman S
Live Percussions: Anandan Sivamani
Drum & Beat EDM Works: Beyond Sound (T)
Additional Programming: Shashank Alamuru, Hari S R & Osho V
Cellos Viola Violins: Sandilya ( HYD ) 
Flute: Naveen
Guitars: Subhani & Subashree 
Backing Vocals: Manisha Eerabathini, Adviteeya, Sruthi Ranjani, Sahithi Chaganti
Recorded at Prasad Studios (HYD) by: Hari, V studios (CHN) by: Osho V
Vocal Supervision: Adviteeya 
Mix & Mastered by: Shadab Rayeen at New Edge (Mumbai) & New Edge (CaL) 
New Edge Team: Anup Gandharla & Prasad Maha
Musicians Co Ordinator: Manikandan
Studio Manager: Seenu & Sridhar
Studio Assistance: Ranjith Raju Kannan Lingam & Pawan

Jio Studios presents 
Atlee presents
In association with Atlee and Cine1 Studios 
A for Apple & Cine1 Studios Production 
Starring: Varun Dhawan, Keerthy Suresh, Wamiqa Gabbi, Jackie Shroff & Rajpal Yadav 
Produced by: Murad Khetani 
Produced by: Priya Atlee
Produced by: Jyoti Deshpande 
Directed by: Kalees
DOP: Kiran Koushik 
Editor: Ruben
Associate Producer: Amul V Mohan 
Supervising Producer: Sudhanshu Kumar 
Creative Producer: Kais Khetani

#babyjohn #nainmatakka 

Music on Zee Music Company

Connect with us on :
Snapchat - https://bit.ly/3UIfICJ
Twitter - https://www.twitter.com/ZeeMusicCompany
Facebook - https://www.facebook.com/zeemusiccompany
Instagram - https://www.instagram.com/zeemusiccompany
YouTube - http://bit.ly/TYZMC",Music,"""nain matakka|nain matakka song|nayan matakka|nayan mataka|nain matka|diljit new songs|diljit dosanjh songs|diljit dosanjh new song|diljit song|diljit new song|varun dhawan song|varun dhawan new movie|varun dhawan new song|keerthy suresh new songs|thaman s new songs|nain mataka|baby john movie songs|baby john songs|new hindi songs|romantic songs|love songs|bollywood songs|bollywood love songs|new bollywood songs|baby john movie|dhee new songs""",3.28,none,32723810,316426,13671,112000000,0.010087365,71496613205.0,IN
V 'Winter Ahead (with PARK HYO SHIN)' Official Teaser 2,2024-11-26T15:00:03Z,HYBE LABELS,"V 'Winter Ahead (with PARK HYO SHIN)' 
📆 24. 11. 29. 2PM (KST) | 0AM (ET) 
💽 Pre-save & pre-order: https://v.lnk.to/WinterAhead


BIGHIT MUSIC. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by BIGHIT MUSIC, Seoul, Korea.


Connect with BTS:
https://ibighit.com/bts
http://x.com/BTS_bighit
http://x.com/BTS_twt
http://www.facebook.com/bangtan.official
https://www.youtube.com/user/BANGTANTV
http://instagram.com/BTS.bighitofficial
https://www.tiktok.com/@bts_official_bighit
https://weverse.onelink.me/qt3S/94808190
https://www.weibo.com/BTSbighit
http://btsblog.ibighit.com

#WinterAhead #V #뷔 #PARKHYOSHIN #박효신",Music,"""HYBE|HYBE LABELS|하이브|하이브레이블즈""",1.05,none,1602250,419974,29140,76100000,0.280302075,37026934589.0,KR
Kadhal Fail - Lyric Video | Dhanush | Pavish | Anikha | GV Prakash #NEEK,2024-11-25T11:29:07Z,Wunderbar Films,"#nilavukuenmelennadikobam #KadhalFail #dhanush #pavish #anikha #gvprakash #neek  

Listen to “Kadhal Fail (From ""Nilavuku En Mel Ennadi Kobam"")""(Wunderbar Films)”song on your favorite streaming platforms :-  

Spotify - https://spoti.fi/3Z1TLzj
Apple Music - https://apple.co/3YYOIQ6
Amazon Music - https://amzn.to/3ZkZlho
YouTube Music - https://bit.ly/4fHLyHs
iTunes - https://apple.co/3YYOIQ6 
JioSaavan - https://bit.ly/3AV1PKe
Insta - https://www.instagram.com/reels/audio/559152493403773/

Song Credits:

Singer : Dhanush
Programmed by Aswin Sathya & Ganesan S
Guitars: Bruce Lee 
Flutes : Lalit Talluri 
Recorded, Mixed and Mastered by Jehovahson Alghar, Divine labs 
Assistant Sound Engineer : Roopash Tiwari, Divine labs 
Divine labs Musicians Assistant : Rajamurugan


Movie Credits:

Wunderbar Films Pvt Ltd presents Nilavuku En Mel Ennadi Kobam
Starring: Pavish, Anikha Surendran, Priya Prakash Varrier, Matthew Thomas, Venkatesh Menon, Rabiya Khatoon, Ramya Ranganarhan 
Director: Dhanush 
Produced by : Kasthoori Raja & Vijayalakshmi Kasthoori Raja 
Banner : Wunderbar Films Pvt Ltd
Music : G.V Prakash Kumar 
Editor : G.K Prasanna 
DOP : Leon Britto
Art: Jackie 
Choreography : Baba Baskar
Makeup : B Raju 
Visual Director & Costume Designer: Kavya Sriram 
Publicity Design: Kabilan 
Production Controller: D.Ramesh Kuchirayar
Executive Producer: Sreyas Srinivasan
PRO : Riaz K Ahmed


Wunderbar Films Official FB Page: http://bit.ly/WunderbarFilmsfb
Wunderbar Films Official Twitter: https://twitter.com/WunderbarFilms
Follow us on Instagram : https://www.instagram.com/wunderbarfilms/

In Association with Divo
FB : https://www.facebook.com/divomovies/
Twitter : https://www.twitter.com/divomovies/
Instagram : https://www.instagram.com/divomovies/
Telegram : https://t.me/divodigital",Music,"""Wunderbar Studios|Wunderbar Films|Dhanush|NEEK Official Motion Poster|Nilavuku En Mel Ennadi Kobam|Pavish|NEEK|Anikha Surendran|Priya Prakash Varrier|Written & Directed by Dhanush|Mr.D|#NEEK - Official Motion Poster|NEEK Directed by Dhanush|Neek 1st single|Priyanka Mohan|Dhanush direction|Arivu|GV Prakash|NEEK 2nd single|Neek movie 2nd single|kadhal fail lyric video|kadhal fail latest lyric video|dhanush new song|dhanush neek 2nd single|gv prakash new song""",4.05,none,6452161,87273,2525,6260000,0.013917508,3794733637.0,IN
IPL Auction मे RCB ने क्या रायता फैलाया? Mumbai Indians | Rj Raunak,2024-11-26T03:02:22Z,RJ Raunac No-Po,"---------------------------
Subscribe 
The Raunac Podcast : https://youtu.be/pr1iZjy3YtY?si=WoQUMBbP8o5z_8va

Subscribe Crico : 
https://youtube.com/channel/UC4UtgDae_gg97w0eVEezeTw 
--------------------------
Subscribe RJ Raunac : https://www.youtube.com/@UCKop7_gs7xq5tbrDDYuplhA 
---------------------------------------
🔗 Join Us On TELEGRAM: https://t.me/rjraunacofficial
🔗 Follow us on INSTAGRAM : https://instagram.com/rjraunac?utm_me...
Facebook : https://www.facebook.com/RJRaunac
Twitter : https://twitter.com/rjraunac
_________________________

Crico Instagram Link: https://instagram.com/cricoindia?utm_medium=copy_link 
_________________________

Follow us on instagram here:  https://www.instagram.com/rjraunac/ 

Subscribe RJ Raunac : https://www.youtube.com/@UCKop7_gs7xq5tbrDDYuplhA 
You're watching Run Tantra with RJ Raunak aka Baua 

Follow Us On : 

Facebook : https://www.facebook.com/RJRaunac
Twitter : https://twitter.com/rjraunac
Pinterest : https://in.pinterest.com/RJRaunac/ 

SUBSCRIBE ASLI BAUAA CHANNEL: 
https://www.youtube.com/channel/UCH_zM59722ZW4XwCWQFnDmw 
__________________________________
For Brand collaboration: namaste@tushyamedia.com
__________________________________
#viratkohli #iplauction #ipl2025  #iplauction  #rcb  #pcb #rishabhpant #shreyasiyer #venkateshiyer #viratkohli #bcci #jayshah  #rohitsharma #teamindia #CricketAnalysis  #CricketFans   #CricketWorld #CricketHappenings #CricketDebates  #CricketCaptains #TeamDynamics  #CricketThoughts #CricketMindset #CricketStories #SportsAnalysis  #CricketShowdown #T20Craze #CricketFever  #CricketFansUnite #CricketBalance #PlayerRatings  #CricketDilemmas #CaptaincyDecisions #CricketLeaders #T20CricketLeague #CricketWorld #IndianCricketTalent #CricketGlory #rjraunak #rjraunac",Entertainment,"""rj raunak|Rj Raunac|Rj Raunac No Po|Run Tantra|bauaa|rcb team 2025 players list|rcb squad 2025|ipl 2025 rcb target players list in auction|ipl auction 2025|ipl 2025 rcb players list|ipl 2025|ipl team 2025 players list|ipl 2025 rcb squad|2025 rcb squad|rcb new players 2025|rcb 2025 target players|ipl player auction 2025 analysis|ipl auction 2025 and rcb team analysis|rcb players list 2025|ipl 2025 players list|rcb 2025 players list|rcb 2025""",5.4,none,1032158,48388,3631,2910000,0.050398292,901218460.0,IN
2024 Abu Dhabi T10 I Match 18 Highlights: Delhi Bulls vs Bangla Tigers | Season 8,2024-11-25T22:16:19Z,T10 League Official,"#AbuDhabiT10 #InAbuDhabi #CricketsFastestFormat

Abu Dhabi T10 Season 8 Nov 21 - Dec 2, 2023 | Zayed Cricket Stadium
Abu Dhabi T10 Season 7 Nov 28 - Dec 9, 2023 | Zayed Cricket Stadium
Abu Dhabi T10 Season 6 Nov 23 - Dec 4, 2022 | Zayed Cricket Stadium
Abu Dhabi T10 Season 5 Nov 19 - Dec 4, 2021 | Zayed Cricket Stadium
Abu Dhabi T10 Season 4 Jan 29 - Feb 8, 2021 | Zayed Cricket Stadium
Abu Dhabi T10 Season 3 Nov 14-24, 2019 | Zayed Stadium I Abu Dhabi 
T10 League Season 2 Nov 21- Dec 2, 2018 I Sharjah Stadium 
T10 League Season 1 Dec 14- 17, 2017 I Sharjah Stadium 

T10 league is the world's first professional ten overs format international league.

Like us on Facebook: https://www.facebook.com/T10league/
Follow us on Twitter: https://twitter.com/T10League
Follow us on Instagram: https://www.instagram.com/t10league/
Official Webpage: https://ttensports.com/",Sports,"""t10league|ttencricket|t10|tten|ttencricketleague|abudhabit10|t10leaguematches|t10cricket highlights|t10 performances|t10highlights|t10live|ttenleague2019|t10season5|t10live2021|t10live2022|t102022""",14.77,none,1529241,32031,1089,2160000,0.021657803,463208618.0,AE
I Found RAREST WEAPON in Minecraft,2024-11-25T13:37:14Z,Mythpat,"Today I will finally surprise my wife Urmila in Minecraft with the Strongest RARE Weapon Mace ! Yes Husband Wife Minecraft is back :) We are going to have super fun in this Minecraft Hindi Series in which I will go to Trail Chambers!

I love playing  Minecraft Pocket Edition on my Android Phone because its fun and Safe! Just like Mace protects me in Minecraft, Play Protect keeps device safe by regularly scanning apps and games. Also In Game Transactions and Purchasing Apps is Secure because of Google Play! Happy to be part of Team Android :) Suggest me some Indian games on Android to play in my next video!

Embark on an epic adventure in Minecraft Trail Chambers! We Explore the ominous vaults, mine heavy ore, and uncover the mysterious breeze rod. Face thrilling challenges, secret traps, and treasures beyond imagination. Gear up for the ultimate journey into the unknown!

my insta - https://www.instagram.com/mythpat

#minecraft #mythpat",Gaming,"""mythpat urmila minecraft|mythpat minecraft videos|mythpat funny gaming videos|minecraft hindi episodes|minecraft survival series hindi""",45.17,none,1265398,62509,5733,15700000,0.053929278,3674425261.0,IN
RAGHU REACTS TO ROADIES MEMES,2024-11-24T14:30:06Z,Tanmay Bhat,"Catch the panel live here - 
• Aditya Kulshresth -  https://linktr.ee/kullubaaazi
• Rohan Joshi - https://tinyurl.com/y44ptex2
• Shridhar Venkataramana - linktr.ee/iimcomic

FOLLOW:
• Raghu Ram - https://www.instagram.com/instaraghu/
• Vishal Dayama - https://www.instagram.com/dayamaged/
• Rohan Joshi - https://www.instagram.com/mojorojo/
• Aaditya Kulshreshth - https://www.instagram.com/kullubaaazi/
• Shridhar Venkataramana - https://www.instagram.com/iimcomic/
• Piyush Sharma - https://www.instagram.com/misterpiyush/?hl=en

CHECK OUT MY OTHER CHANNELS
• Honestly by Tanmay Bhat: https://www.youtube.com/@HonestlybyTanmayBhat
• Bot Army Clips: https://www.youtube.com/@BotArmyClips
• Superteam Podcast: https://www.youtube.com/@SuperteamPodcast
• Honestly Clips: https://www.youtube.com/@HonestlyClips

------------------

FOLLOW ME
• Instagram: https://www.instagram.com/tanmaybhat/
• Twitter: https://twitter.com/thetanmay
• LinkedIn: https://in.linkedin.com/in/thetanmay

------------------

Memes curator by Darshit Parmar: https://www.instagram.com/d4rshitt/
Video edited by Varun Prajapati: https://www.instagram.com/vrn__23/

-----------------

#tanmaybhat   #meme #roadies",Comedy,"""tanmay|reacts|memes|funny|student|of|the|year|professor|meme reacts""",28.45,none,3383303,170774,2548,5030000,0.051228637,1803244040.0,US
👶🏻അങ്ങനെ ഞങ്ങളെ കുഞ്ഞോള് പ്രസവിച്ചു.,2024-11-26T13:03:47Z,Kunjan Pandikkad,"Email: kunjanpandikkadofficial@gmail.com
WhatsApp: 8086119836
Many thanks to the audience who loved us so much..😍
Your happiness is our success.✌️💪 

Facebook: Kunjan Pandikkad
Instagram: Kunjan Pandikkad

#kunjikka #malappuram #malayalam #vlog #family #jasi #kunjanpandikkad #pandikkad
#malayalamfamilyvlog #jesi Email: kunjanpandikkadofficial@gmail.com
WhatsApp: 8086119836
Many thanks to the audience who loved us so much..😍
Your happiness is our success.✌️💪 

Facebook: Kunjan Pandikkad
Instagram: Kunjan Pandikkad",People & Blogs,"""Kunjan|Kunjan Pandikkad""",10.33,none,213259,2600,239,707000,0.013312451,236710321.0,IN
