title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
squabble up,Kendrick Lamar,People & Blogs,US,2024-11-25T18:07:36Z,2.77,6576545,579291,38519,0.093941424
Squid Game: Season 2 | Official Trailer | Netflix,Netflix,Entertainment,US,2024-11-26T23:00:03Z,1.78,2496617,97657,3661,0.040582116
"Best Rug Art Wins $1,000!",Stay Wild,Entertainment,US,2024-11-24T22:11:15Z,67.52,8616469,147278,14316,0.018754086
"Sonic the Hedgehog 3 | Official Trailer 2 (2024 Movie) Ben Schwartz, Jim Carrey, Keanu Reeves",Paramount Pictures,Film & Animation,US,2024-11-25T14:00:03Z,2.42,6870760,206199,15509,0.032268337
Lilo & Stitch | Official Teaser,Disney,Entertainment,US,2024-11-25T17:00:07Z,0.55,1466718,30537,2345,0.022418761
The Online Gambling Epidemic,Drew Gooden,Comedy,US,2024-11-24T20:39:52Z,28.07,2675934,178514,12303,0.07130856
Watching a Rocket Launch at SpaceX with Elon Musk!,Kai Trump,People & Blogs,US,2024-11-26T18:03:29Z,11.67,1732604,81784,5747,0.050519911
Can I Beat Grant Horvat If He Starts 5 Under Par? (Part 2),Phil Mickelson and the HyFlyers,Sports,US,2024-11-26T16:59:37Z,54.55,411335,43572,6034,0.120597566
Kendrick Lamar - GNX ALBUM REVIEW,theneedledrop,Music,US,2024-11-26T16:56:30Z,29.32,1093462,65043,5761,0.064752136
Citadelle des Morts Cinematic | Call of Duty: Black Ops 6 Zombies,Call of Duty,Gaming,US,2024-11-26T16:00:27Z,1.92,596841,32190,2032,0.057338554
Unstoppable CR7! | Al Gharafa SC (QAT) - Al Nassr (KSA) | Highlights | AFC Champions League Elite™,The AFC Hub,Sports,MY,2024-11-25T21:21:55Z,4.3,2415226,55871,1397,0.023711239
I Built a SECRET Soccer Field in My Room,The Royalty Family,People & Blogs,US,2024-11-24T17:07:17Z,27.18,3486759,52980,31601,0.024257771
"[#2024MAMA] G-DRAGON - 무제(Untitled, 2014)+POWER+HOME SWEET HOME+뱅뱅뱅+FANTASTIC BABY | Mnet 241123 방송",Mnet K-POP,Entertainment,KR,2024-11-23T08:54:37Z,14.3,17708959,721733,80963,0.045327114
HIGHLIGHTS: Manchester City v Tottenham | Premier League,Optus Sport,Sports,AU,2024-11-23T21:00:14Z,3.5,296463,3808,555,0.014716845
Can I remake those SH*TTY mobile games in 1 HOUR?,Code Bullet,Education,AU,2024-11-26T01:33:50Z,23.22,1044930,69692,2251,0.068849588
I turned FORTNITE into LEGO...,TD BRICKS,Entertainment,US,2024-11-26T17:48:56Z,8.52,620115,16526,2182,0.030168598
Total War: WARHAMMER III - Omens of Destruction Announce Trailer,Total War,Gaming,GB,2024-11-26T14:59:00Z,1.93,297380,18639,1633,0.068168673
[#2024MAMA] BIGBANG (빅뱅) - 뱅뱅뱅 (BANG BANG BANG) + FANTASTIC BABY | Mnet 241123 방송,Mnet K-POP,Entertainment,KR,2024-11-23T09:13:52Z,5.42,10709628,384108,14911,0.03725797
Twenty One Pilots - “The Line” (from Arcane Season 2) [Official Music Video],League of Legends,Music,US,2024-11-25T15:00:06Z,3.92,2153406,180363,3800,0.085521727
KISSIK Lyrical Video | Pushpa 2 The Rule | Allu Arjun | Sukumar | Sreeleela | DSP,T-Series Telugu,Music,IN,2024-11-24T14:33:09Z,4.18,32656599,540878,25419,0.017340967
Dexter: Original Sin | Official Trailer | Paramount+ With SHOWTIME,Dexter on Paramount+ with Showtime,People & Blogs,US,2024-11-26T22:37:17Z,1.95,519391,8761,938,0.018673793
"Ariana Grande, Cynthia Erivo, Idina Menzel & Kristin Chenoweth Talk About Their 'Wicked' Legacy",Entertainment Weekly,Entertainment,US,2024-11-25T17:00:07Z,12.95,477048,18419,795,0.040276869
ROSÉ - number one girl (official music video),ROSÉ,Music,KR,2024-11-22T05:00:06Z,3.63,31628456,1653485,105093,0.055601133
"Stromae, Pomme - “Ma Meilleure Ennemie” (from Arcane Season 2) [Official Visualizer]",Riot Games Music,Music,US,2024-11-23T08:01:00Z,2.47,6200690,254949,7462,0.042319645
The World’s Most Expensive Gym Membership ($10k/month),Will Tennyson,People & Blogs,CA,2024-11-24T15:00:01Z,25.22,2139627,60602,3696,0.030051032
Kalogeras Sisters HEAR ME OUT CAKE!,Kalogeras Sisters ,Entertainment,CA,2024-11-25T22:00:31Z,28.7,1869514,77481,7121,0.045253472
Town Hall 17 & New Hero | Clash of Clans November Update,Clash of Clans,Gaming,FI,2024-11-25T10:03:23Z,8.55,4500491,130402,8192,0.030795307
