category,channel_country,channelTitle,subscriber_count,total_view_count
Music,IN,T-Series Telugu,11100000,8699345616.0
Sports,AU,cricket.com.au,9680000,5245222510.0
Music,IN,Zee Music Company,112000000,71496613205.0
Music,KR,HYBE LABELS,76100000,37026934589.0
Music,IN,Wunderbar Films,6260000,3794733637.0
Entertainment,IN,RJ Raunac No-Po,2910000,901218460.0
Sports,AE,T10 League Official,2160000,463208618.0
Gaming,IN,Mythpat,15700000,3674425261.0
Comedy,US,Tanmay Bhat,5030000,1803244040.0
People & Blogs,IN,Kunjan Pandikkad,707000,236710321.0
People & Blogs,IN,Vj Siddhu Vlogs,3680000,770606263.0
Gaming,IN,ProBoiz 95,5810000,1556617586.0
Music,IN,Voilà! Digi,3280000,834032335.0
Entertainment,IN,Vijay Television,25700000,44522463503.0
Gaming,FI,Clash of Clans,21100000,4740458130.0
Entertainment,IN,Folk Rakaat,1310000,375938369.0
Entertainment,IN,Tripplegreen,1300000,994667791.0
Howto & Style,IN,Lekshmi Nair,2060000,465367605.0
Sports,BD,Sports Canvas,1160000,150432991.0
Entertainment,IN,Pragati Verma,7600000,2308011366.0
Entertainment,IN,Sun TV,29000000,31893378772.0
Sports,IN,Cricbuzz,2740000,808784998.0
News & Politics,IN,News Tak,11600000,4873883007.0
People & Blogs,IN,Suyash Vlogs,6990000,7030916656.0
Sports,IN,Tamil Cricket News,245000,79080158.0
Music,IN,KaanPhod Music,8620000,5092424745.0
People & Blogs,IN,Sahil joshi Vlogs,4290000,416129604.0
Gaming,IN,DREAM BOY,1510000,156376421.0
Sports,IN,Cric It with Badri,314000,41166598.0
Comedy,IN,The Paayal Jain,3630000,948381420.0
Entertainment,IN,VANITHA,1140000,493444952.0
People & Blogs,IN,Sourav Joshi Vlogs,30000000,14728964246.0
Entertainment,IN,Achusugandh,373000,68412435.0
Music,IN,Play DMF,5670000,2465935948.0
Travel & Events,IN,sherinz Vlog,866000,164535222.0
Entertainment,US,Netflix,29300000,9037471418.0
Howto & Style,IN,NishaMadhulika,14600000,3288889662.0
Entertainment,IN,Rowdy Baby,929000,232076013.0
Sports,IN,Royal Challengers Bengaluru,4490000,777055595.0
People & Blogs,IN,Saba Ibrahim,3610000,1670785599.0
Entertainment,IN,Sidharrth TV,9180000,7302647817.0
Entertainment,IN,Zee Tamil,15800000,13889281973.0
Travel & Events,IN,Manisha ki Duniya,358000,197890312.0
Entertainment,IN,Amrita TV Archives,670000,441272744.0
Entertainment,IN,Sony SAB,97300000,122542000000.0
Entertainment,IN,Saregama TV Shows Tamil,8750000,10608225348.0
Music,IN,Roll Rida,319000,29935440.0
Autos & Vehicles,IN,Aayush ssm,403000,124132138.0
Gaming,IN,Free Fire India Official,16700000,2875875690.0
People & Blogs,IN,Dimpu's Vlogs,3130000,621968186.0
Film & Animation,US,Paramount Pictures,3750000,2919166825.0
Music,IN,T-Series Tamil,4490000,2830985065.0
Comedy,IN,Take A Break,3060000,522314322.0
Howto & Style,AE,Ayesha's Kitchen,2050000,441815710.0
People & Blogs,IN,LitFleet,3030000,295314312.0
Entertainment,IN,Dil Raju,5340000,3123285640.0
Sports,IN,GBB Cricket,563000,355502487.0
Entertainment,IN,greatandhra,423000,224384361.0
Sports,IN,DONIX CLASH,402000,50199354.0
Sports,AU,Fox Cricket,495000,140595168.0
People & Blogs,US,Kendrick Lamar,16700000,8075880738.0
People & Blogs,IN,AYISHA SHAFRIN,356000,114206976.0
Entertainment,IN,5 STAR,775000,273464258.0
Comedy,IN,Warangal Diaries,1650000,399036436.0
Sports,GB,Sky Sports Cricket,596000,247015327.0
News & Politics,IN,Sathiyam News,6550000,5309859318.0
Gaming,IN,SlayyPop,2660000,569498358.0
Sports,IN,NewsBook,1120000,444404486.0
Gaming,IN,LOKESH GAMER,16100000,1864766794.0
Entertainment,PK,ARY Digital HD,59500000,58664736622.0
People & Blogs,IN,Anithasampath Vlogs,1810000,688917383.0
Music,IN,Brown Studios,1460000,988291298.0
Entertainment,PK,HAR PAL GEO,62400000,63396486885.0
People & Blogs,IN,Amma Kai Pakkuvam,875000,382020370.0
People & Blogs,IN,The Little Adda Company,92100,837438.0
People & Blogs,IN,WE're IN love 2.0,118000,61140308.0
Comedy,IN,Taarak Mehta Ka Ooltah Chashmah,27000000,23534374214.0
Travel & Events,IN,Priyanka Deshpande,1540000,154048736.0
Comedy,US,LIV Comedy,15100000,10009994462.0
Sports,IN,Sports Tak,7450000,3936992769.0
Entertainment,IN,LOL (Life of Limbachiyaa’s),6660000,3056675874.0
