title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
KISSIK Lyrical Video | Pushpa 2 The Rule | Allu Arjun | Sukumar | Sreeleela | DSP,T-Series Telugu,Music,IN,2024-11-24T14:33:09Z,4.18,32656599,540914,25420,0.0173421
Australia v India 2024-25 | First Test | Day Four,cricket.com.au,Sports,AU,2024-11-25T09:00:03Z,8.05,10908577,164477,3811,0.015427127
"Nain Matakka | Baby John | Varun Dhawan, Keerthy Suresh, Diljit Dosanjh | Dhee, Thaman S, Irshad K",Zee Music Company,Music,IN,2024-11-25T06:30:05Z,3.28,32723810,316426,13671,0.010087365
V 'Winter Ahead (with PARK HYO SHIN)' Official Teaser 2,HYBE LABELS,Music,KR,2024-11-26T15:00:03Z,1.05,1602250,419974,29140,0.280302075
Kadhal Fail - Lyric Video | Dhanush | Pavish | Anikha | GV Prakash #NEEK,Wunderbar Films,Music,IN,2024-11-25T11:29:07Z,4.05,6452161,87273,2525,0.013917508
IPL Auction मे RCB ने क्या रायता फैलाया? Mumbai Indians | Rj Raunak,RJ Raunac No-Po,Entertainment,IN,2024-11-26T03:02:22Z,5.4,1032158,48388,3631,0.050398292
2024 Abu Dhabi T10 I Match 18 Highlights: Delhi Bulls vs Bangla Tigers | Season 8,T10 League Official,Sports,AE,2024-11-25T22:16:19Z,14.77,1529241,32031,1089,0.021657803
I Found RAREST WEAPON in Minecraft,Mythpat,Gaming,IN,2024-11-25T13:37:14Z,45.17,1265398,62509,5733,0.053929278
RAGHU REACTS TO ROADIES MEMES,Tanmay Bhat,Comedy,US,2024-11-24T14:30:06Z,28.45,3383303,170774,2548,0.051228637
👶🏻അങ്ങനെ ഞങ്ങളെ കുഞ്ഞോള് പ്രസവിച്ചു.,Kunjan Pandikkad,People & Blogs,IN,2024-11-26T13:03:47Z,10.33,213259,2600,239,0.013312451
மாட்டுனான்டா Harshath 😱🤦‍♂ | Theni Series | Ep- 05 | Vj Siddhu Vlogs,Vj Siddhu Vlogs,People & Blogs,IN,2024-11-25T09:30:07Z,19.47,2703073,235957,6075,0.089539572
MINECRAFT BUT I CAN BECOME A SPIDER!!,ProBoiz 95,Gaming,IN,2024-11-25T13:08:42Z,31.23,1227015,42049,4022,0.037547218
SHAADI KAR LENGE: Teaser | Bindass Kavya & Pravisht Mishra | Aniket Shukla | Rel 28th November 11am,Voilà! Digi,Music,IN,2024-11-26T07:00:04Z,0.83,315049,19065,415,0.061831652
Siragadikka Aasai | 26th to 30th November 2024 - Promo,Vijay Television,Entertainment,IN,2024-11-26T04:30:10Z,0.8,2215943,27863,408,0.012758
Town Hall 17 & New Hero | Clash of Clans November Update,Clash of Clans,Gaming,FI,2024-11-25T10:03:23Z,8.55,4502406,130509,8194,0.030806418
Diwaane ( Full  Song) Jyoti Norran | Armaan Malik | Latest Punjabi Song 2024 | New Punjabi Song 2024,Folk Rakaat,Entertainment,IN,2024-11-25T04:24:36Z,3.53,2466884,50810,2555,0.021632553
Fish Market,Tripplegreen,Entertainment,IN,2024-11-22T13:35:15Z,1.5,1366741,0,94,6.88e-05
ദുബായിലെ നമ്മുടെ പുതിയ വീടിന്റെ പാൽകാച്ചും കുറച്ച് വിശേഷങ്ങളും|HOUSE WARMING|AKGMA ONAM CELEBRATIONS,Lekshmi Nair,Howto & Style,IN,2024-11-26T07:00:12Z,35.55,148654,2954,550,0.023571515
Baakiyalakshmi | 26th to 30th November 2024 - Promo,Vijay Television,Entertainment,IN,2024-11-26T05:39:04Z,0.58,2191404,30220,442,0.013991943
"IPL Auction 2025 Day 1 All Teams Full Squad | All Teams Final Players List | CSK, RCB, KKR, MI, SRH",Sports Canvas,Sports,BD,2024-11-25T06:06:43Z,8.53,418269,3787,95,0.009281109
I build the World’s BIGGEST Toilet Seat!!💩 सबसे बड़ी टॉयलेट सीट,Pragati Verma,Entertainment,IN,2024-11-25T08:00:06Z,10.9,674968,19165,1989,0.031340745
Singappenne - Promo | 27 Nov 2024 | Tamil Serial | Sun TV,Sun TV,Entertainment,IN,2024-11-26T16:16:49Z,0.55,966562,15800,1189,0.017576731
Sundari - Promo | 27 Nov 2024 | Tamil Serial | Sun TV,Sun TV,Entertainment,IN,2024-11-26T16:16:56Z,0.57,757202,9240,155,0.012407521
"RCB have a lethal trio in Kohli, Salt & Livingstone: Harsha Bhogle",Cricbuzz,Sports,IN,2024-11-25T18:49:09Z,6.37,342135,8421,587,0.026328788
"Maharashtra New CM: महाराष्ट्र में कौन बनेगा नया सीएम, Sanjay Raut ने किया चौंकाने वाला दावा",News Tak,News & Politics,IN,2024-11-25T14:15:01Z,10.98,467614,6095,2336,0.018029828
New ghar ki grand opening,Suyash Vlogs,People & Blogs,IN,2024-11-26T07:40:13Z,23.15,428412,36729,1745,0.089806075
V 'Winter Ahead (with PARK HYO SHIN)' Official Teaser 1,HYBE LABELS,Music,KR,2024-11-24T14:59:59Z,1.62,3348195,723981,55659,0.232853821
Bigg Boss Tamil Season 8 | 26th November 2024 - Promo 1,Vijay Television,Entertainment,IN,2024-11-26T03:30:31Z,0.58,1393973,19591,1581,0.015188243
Australia v India 2024-25 | First Test | Day One,cricket.com.au,Sports,AU,2024-11-22T10:56:58Z,8.1,12986111,212929,6566,0.016902289
IPL 2025 Mega Auction Tamil| Updated Squad List of teams Day 2 |CSK MI RCB RR DC PBKS KKR SRH LSG GT,Tamil Cricket News,Sports,IN,2024-11-25T18:30:14Z,16.45,137524,6423,530,0.050558448
Dhiktana Dhiktana - The Hustle Flip l Mad Trip  | MTV Hustle 4,KaanPhod Music,Music,IN,2024-11-23T13:55:00Z,3.45,2167435,124353,4473,0.059437077
Golgappa eating challenge with friends 😂,Sahil joshi Vlogs,People & Blogs,IN,2024-11-27T02:45:05Z,14.53,278025,21209,781,0.079093607
Minecraft Match The Block Challenge with My Friends - Crazy irl task (ep-2),DREAM BOY,Gaming,IN,2024-11-26T09:15:02Z,25.2,210747,14848,668,0.073623824
"Ashwin, Conway, Rachin - Perfect Auction strategy by CSK ? - Analysis by Badri | Cric It with Badri",Cric It with Badri,Sports,IN,2024-11-25T12:54:38Z,11.47,168505,4704,384,0.03019495
Every Saas Bahu Ever | Ft. Tena Jaiin | The Paayal Jain,The Paayal Jain,Comedy,IN,2024-11-24T09:34:07Z,22.72,1466977,62281,3631,0.044930493
"കേരളത്തിലെ ഏറ്റവും വലിയ വീട്.... അല്ല, കൊട്ടാരം...!",VANITHA,Entertainment,IN,2024-11-25T11:40:11Z,8.78,108573,1154,504,0.015270832
IPL Auction 2025 All Teams Final Squad | IPL 2025 All Sold Players list | All Teams Players List,Sports Canvas,Sports,BD,2024-11-24T16:27:23Z,13.3,471897,4776,321,0.010801086
Piyush Driving Super-Car 😳,Sourav Joshi Vlogs,People & Blogs,IN,2024-11-26T02:30:12Z,8.58,4130640,221434,12744,0.05669291
Pennine ishtayo? | 4k | Short film | full movie | Sajin | Gopika anil | Achu sugandh,Achusugandh,Entertainment,IN,2024-11-22T12:00:07Z,24.32,2279589,114162,6766,0.053048159
Homa Dol - Saad Lamjarred | Neeti Mohan | Elli AvrRam | Rajat Nagpal | Anshul Garg,Play DMF,Music,IN,2024-11-26T05:30:00Z,5.75,1512933,45367,5157,0.033394737
Antarctica 🇦🇶 #1 - ഡ്രേക്ക് പാസേജ് കടന്ന് സാഹസിക യാത്ര അന്റാർട്ടിക്കയിലേക്ക് | Drake Passage,sherinz Vlog,Travel & Events,IN,2024-11-26T06:30:10Z,44.25,140247,6535,727,0.051780074
Squid Game: Season 2 | Official Trailer | Netflix,Netflix,Entertainment,US,2024-11-26T23:00:03Z,1.78,2496617,97760,3662,0.040623772
Australia v India 2024-25 | First Test | Day Three,cricket.com.au,Sports,AU,2024-11-24T11:00:55Z,8.03,11729927,198893,5207,0.017399938
खस्ता-सॉफ्ट स्पेशल बाजरा मूली के परांठे-सर्दियों की सौगात-Healthy & Tasty Bajra Mooli Paratha Recipe,NishaMadhulika,Howto & Style,IN,2024-11-26T05:15:01Z,6.08,120338,3829,470,0.035724376
Oo Meghamala | Final Episode | Telugu Webseries 2024 | Rowdy Baby | South Indian Logic,Rowdy Baby,Entertainment,IN,2024-11-26T13:40:43Z,18.23,190081,11434,250,0.061468532
Dinesh Karthik's thoughts on RCB's squad for IPL 2025 | Mega Auction,Royal Challengers Bengaluru,Sports,IN,2024-11-26T07:02:24Z,2.92,320067,17021,1616,0.058228433
TWINKIT ki Shaadi ❤️ | Congratulations @AnkitAzadvideos @lifewithtwinkle 👫,Saba Ibrahim,People & Blogs,IN,2024-11-25T15:42:44Z,16.53,1182819,52355,2356,0.046254752
