category,channel_country,channelTitle,subscriber_count,total_view_count
Film & Animation,US,Paramount Pictures,3710000,2874044861
Entertainment,Unknown,Kalogeras Sisters ,2570000,146473565
Entertainment,US,Ryan Reynolds,4720000,868205173
Music,Unknown,Stray Kids Japan Official YouTube,2960000,541909712
Sports,US,NHL,2220000,1767010789
Howto & Style,CN,李子柒 Liziqi,20000000,3214212586
Gaming,US,PlayOverwatch,2960000,813327686
Gaming,Unknown,CouRage Gaming,2480000,990219568
People & Blogs,US,Disney Plus,1690000,348214493
Autos & Vehicles,US,Tavarish,2920000,468903207
Music,Unknown,My Chemical Romance,4820000,2912402085
Entertainment,US,Quenlin Blackwell,1990000,152668137
People & Blogs,Unknown,Jake Paul,20800000,7699220204
Entertainment,US,Nintendo of America,9620000,3609692773
Music,Unknown,KQ ENTERTAINMENT,2860000,1790197667
Entertainment,US,Marvel Entertainment,21000000,6284538801
Science & Technology,US,Technology Connections,2530000,323925272
Entertainment,US,Bailey Sarian,7500000,1268960990
Science & Technology,US,Undecided with Matt Ferrell,1500000,190597310
Gaming,US,PrestonPlayz,16100000,6853449875
Gaming,US,Call of Duty,7970000,1618050963
Entertainment,US,Universal Pictures,9410000,6654112731
People & Blogs,US,Ryland vlogs,559000,88268616
Entertainment,NO,Nerdforge,3380000,366079142
Entertainment,Unknown,DukeDennis LIVE,1200000,137524489
Autos & Vehicles,Unknown,Auto Focus,1080000,102268167
People & Blogs,US,The Royalty Family,27000000,9008067230
Sports,US,Most Valuable Promotions,39400,11770952
Gaming,US,DougDougDoug,718000,96914601
Gaming,Unknown,2XKO,67700,2653537
Education,US,Good Enough,1080000,98906614
Entertainment,Unknown,Jeremy Jahns,2010000,906877535
Entertainment,US,Yellowstone,1430000,531979286
Gaming,US,PlayStation,15900000,5405827820
Gaming,US,The Sketch Real,621000,221266295
Comedy,Unknown,Max Fosh,4280000,1290194820
News & Politics,Unknown,CNBC,3660000,1693546918
Sports,AU,cricket.com.au,9400000,5138093336
Entertainment,Unknown,Jake Webber,3800000,456220383
Travel & Events,GB,Trek Trendy,1090000,224022333
Education,IE,jacksepticeye,30800000,16959854343
Film & Animation,US,NEN FAM,2130000,1118665759
Entertainment,US,MTV,11300000,2666212588
Sports,GB,Liverpool FC,10500000,3036729380
Gaming,US,PointCrow,2390000,588468197
People & Blogs,US,Unspeakable Studios,3110000,656044846
Entertainment,GB,BrainPilot,260000,126711260
Music,KR,HYBE LABELS,76000000,36771246921
Travel & Events,US,The Ninja Fam!,3550000,1298969238
Autos & Vehicles,US,Ambition Strikes,658000,116832805
Sports,US,ESPN Deportes,5390000,3917323210
Entertainment,US,Sundae Conversation,914000,321935072
