category,channel_country,channelTitle,subscriber_count,total_view_count
Entertainment,US,Universal Pictures,9410000,6654112731
Gaming,US,PrestonPlayz,16100000,6853449875
Music,Unknown,Stray Kids Japan Official YouTube,2960000,541909712
Film & Animation,US,Paramount Pictures,3710000,2874044861
Entertainment,Unknown,Kalogeras Sisters ,2570000,146473565
Autos & Vehicles,US,Tavarish,2920000,468903207
People & Blogs,US,Disney Plus,1690000,348214493
Entertainment,US,Ryan Reynolds,4720000,868205173
Music,Unknown,My Chemical Romance,4820000,2912402085
People & Blogs,Unknown,Jake Paul,20800000,7699220204
Gaming,Unknown,CouRage Gaming,2480000,990219568
Gaming,US,PlayOverwatch,2960000,813327686
Gaming,US,Call of Duty,7970000,1618050963
Music,Unknown,KQ ENTERTAINMENT,2860000,1790197667
Entertainment,US,Marvel Entertainment,21000000,6284538801
Howto & Style,CN,李子柒 Liziqi,20000000,3214212586
People & Blogs,Unknown,MollyMae,1950000,218289909
Science & Technology,US,Undecided with Matt Ferrell,1500000,190597310
Entertainment,US,Bailey Sarian,7500000,1268960990
Entertainment,US,Quenlin Blackwell,1990000,152668137
Sports,US,Most Valuable Promotions,39400,11770952
Entertainment,US,Nintendo of America,9620000,3609692773
Science & Technology,US,Technology Connections,2530000,323925272
Comedy,Unknown,Max Fosh,4280000,1290194820
People & Blogs,US,The Royalty Family,27000000,9008067230
Entertainment,NO,Nerdforge,3380000,366079142
Sports,AG,Windies Cricket,4020000,1298844546
Entertainment,Unknown,DukeDennis LIVE,1200000,137524489
People & Blogs,US,Ryland vlogs,559000,88268616
Entertainment,Unknown,Jeremy Jahns,2010000,906877535
People & Blogs,PT,VSPORTS - Liga Portugal,467000,225882484
Autos & Vehicles,Unknown,Auto Focus,1080000,102268167
Sports,AU,cricket.com.au,9400000,5138093336
Gaming,US,DougDougDoug,718000,96914601
Education,US,Good Enough,1080000,98906614
Travel & Events,GB,Trek Trendy,1090000,224022333
Entertainment,Unknown,Jake Webber,3800000,456220383
Sports,GB,Sky Sports Premier League,5230000,4359235039
Entertainment,US,MTV,11300000,2666212588
Education,IE,jacksepticeye,30800000,16959854343
Gaming,US,The Sketch Real,621000,221266295
Music,KR,HYBE LABELS,76000000,36771246921
Film & Animation,US,NEN FAM,2130000,1118665759
Entertainment,US,Yellowstone,1430000,531979286
Gaming,Unknown,2XKO,67700,2653537
Music,Unknown,ENHYPEN - Topic,715000,773507169
People & Blogs,US,Unspeakable Studios,3110000,656044846
Travel & Events,GB,The King’s Guards Channel (fan account),550000,388384970
Travel & Events,US,The Ninja Fam!,3550000,1298969238
Gaming,AU,Lachlan,15100000,5646509388
Gaming,US,PointCrow,2390000,588468197
Gaming,US,PlayStation,15900000,5405827820
Film & Animation,US,The Film Theorists,13200000,3236394291
Entertainment,US,Jordan Matter,26200000,9396122770
Autos & Vehicles,US,Ambition Strikes,658000,116832805
Sports,Unknown,NFL,13500000,10996690685
Gaming,US,Bionic,7830000,2407671257
Travel & Events,US,Gone with the Wynns,635000,150133085
News & Politics,Unknown,CNBC,3660000,1693546918
Gaming,US,The Game Theorists,19400000,4337839365
Sports,Unknown,WWE,105000000,89399717268
Entertainment,US,Sundae Conversation,914000,321935072
Entertainment,IN,Dil Raju,5330000,3113181281
Howto & Style,US,HopeScope,5460000,1247214103
Film & Animation,GB,Gigguk,3610000,613523463
Entertainment,GB,JOLLY,4270000,1419393767
People & Blogs,US,Nick DiGiovanni,21300000,11795133676
Entertainment,US,Hangtime,1240000,186524407
Sports,Unknown,Autumn Nations Series,95000,49367296
Pets & Animals,US,TerraGreen,724000,60529682
Gaming,US,rekrap2,1960000,328521267
Sports,GB,The United Stand,1960000,1414550129
Sports,US,Football Analysis,166000,38948491
Entertainment,US,TD BRICKS,6200000,2275216202
Sports,US,ESPN,12900000,15640466707
Autos & Vehicles,US,Vice Grip Garage,2080000,655659768
Sports,US,CFB ON FOX,242000,140691793
