title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Bridget Jones: Mad About the Boy | Official Trailer,Universal Pictures,Entertainment,US,2024-11-12T16:00:08Z,2.53,124015,2832,265,0.024972785550135
I Found Rarest Secret Mobs In Minecraft,PrestonPlayz,Gaming,US,2024-11-12T13:00:37Z,22.48,420659,9580,766,0.0245947430103718
Stray Kids 『GIANT』 Music Video,Stray Kids Japan Official YouTube,Music,Unknown,2024-11-12T15:00:08Z,2.97,1491750,375313,25868,0.2689331322272498
Mission: Impossible – The Final Reckoning | Teaser Trailer (2025 Movie) - Tom Cruise,Paramount Pictures,Film & Animation,US,2024-11-11T14:00:07Z,2.02,15507151,244268,12779,0.0165760299877134
Kalogeras Sisters GO ROLLERBLADING!,Kalogeras Sisters ,Entertainment,Unknown,2024-11-11T22:00:36Z,28.32,1585568,81616,6468,0.0555535934125814
"Rebuilding A Flooded $2,000,000 McLaren P1 | Part 15",Tavarish,Autos & Vehicles,US,2024-11-11T17:00:06Z,54.72,1420305,88082,3816,0.0647030039322539
Coming In 2025 | Disney+,Disney Plus,People & Blogs,US,2024-11-12T14:00:09Z,1.97,697830,15247,1251,0.0236418611982861
Deadpool and Blind Al Have a Big Announcement,Ryan Reynolds,Entertainment,US,2024-11-12T14:53:18Z,0.27,416672,23480,751,0.0581536556332078
"My Chemical Romance - “Long Live"": The Black Parade North American Tour",My Chemical Romance,Music,Unknown,2024-11-12T18:00:03Z,1.33,138919,21615,3317,0.179471490580842
I'm Going To War With Mike Tyson.,Jake Paul,People & Blogs,Unknown,2024-11-12T13:04:25Z,13.25,294132,11360,1563,0.043936055920471
I Went UNDERCOVER in Nick Eh 30's Chapter 2 Hide & Seek!,CouRage Gaming,Gaming,Unknown,2024-11-11T22:00:38Z,19.97,987186,20064,627,0.0209595760069531
Overwatch: Classic | Official Trailer | Overwatch 2,PlayOverwatch,Gaming,US,2024-11-11T17:00:06Z,1.5,1333945,65272,8902,0.0556049912102822
Season 01 Battle Pass Trailer | Call of Duty: Warzone & Black Ops 6,Call of Duty,Gaming,US,2024-11-12T15:00:52Z,1.17,216987,9330,1169,0.0483853871430085
ATEEZ(에이티즈) - 'Ice On My Teeth' Official MV Teaser 1,KQ ENTERTAINMENT,Music,Unknown,2024-11-12T15:00:06Z,0.62,217696,52624,3153,0.2562150889313538
