category,channel_country,channelTitle,subscriber_count,total_view_count
Film & Animation,IN,Saregama Tamil,8090000,4339848857
Entertainment,IN,Dil Raju,5330000,3113181281
Entertainment,IN,JONATHAN GAMING,6500000,601075891
Film & Animation,US,Paramount Pictures,3710000,2874044861
Entertainment,IN,Mazhavil Manorama,19200000,21695935886
Gaming,IN,ProBoiz 95,5730000,1531556194
Entertainment,IN,Surinder  Films,5890000,3452090296
Entertainment,IN,Zee Tamil,15700000,13720859699
Entertainment,US,Marvel Entertainment,21000000,6284538801
Music,IN,Gulzaar Chhaniwala,8570000,2124380857
Entertainment,IN,Sun NXT,6640000,4166579679
Gaming,IN,SlayyPop,2650000,562843366
Entertainment,IN,Fukra Insaan,10900000,1815715461
Music,IN,Trimurti Bhakti,5040000,1260113027
Entertainment,IN,Telly Reporter,6160000,4703595947
Music,IN,The MriDul,18200000,5666134697
People & Blogs,IN,Farah Khan,955000,264077909
Entertainment,IN,Dreamz Unlimited,1040000,258713757
Entertainment,IN,Saina Movies,1590000,549810670
Entertainment,IN,aha videoIN,3020000,1900266656
Entertainment,IN,Vijay Television,25600000,44850331446
People & Blogs,Unknown,Sahil joshi Vlogs,4260000,411459966
People & Blogs,IN,be_a_bassi,1240000,188676199
Film & Animation,Unknown,Raaj Kamal Films International,899000,497006671
Entertainment,IN,Mythri Movie Makers,4530000,2409110547
People & Blogs,Unknown,Sourav Joshi Vlogs,29700000,14540055693
Entertainment,IN,Hyderabad Diaries,2470000,832549540
Comedy,IN,Take A Break,3040000,513846501
Music,IN,NARULA FAM BEAT'S,175000,30686089
Film & Animation,Unknown,Winkwhistle Production's,140000,79519361
Entertainment,IN,Zero Filter,383000,93363922
Entertainment,BD,Tiger Media,4100000,1444874910
Comedy,IN,Roshens Vlog,2150000,476863034
Entertainment,IN,NRFM BROTHERS,2440000,904581810
Sports,AE,ICC,11700000,4697195892
Sports,AU,cricket.com.au,9400000,5138093336
Gaming,IN,Desi Gamers,16100000,2581010168
Music,IN,VATS RECORDS,5470000,2400061150
People & Blogs,IN,Sathish Deepa,2720000,2695946240
Comedy,IN,Pranav Sharma,265000,86805341
Entertainment,IN,Infinitum RomCom,1070000,460983732
People & Blogs,IN,Vj Siddhu Vlogs,3590000,736154565
Entertainment,IN,Sun TV,28800000,31624335310
Entertainment,IN,Sidharrth TV,9140000,7240177893
Entertainment,IN,Asianet,11500000,20168082285
People & Blogs,IN,Faisal Khan,2190000,1267767985
Entertainment,IN,BlackSheep Studios,3110000,478001083
Music,IN,Shekhar Jaiswal,2380000,420869135
Gaming,IN,Adi-Spot,1450000,170702908
Howto & Style,IN,AJU'S WORLD - The Real Life Lab,573000,134963562
Sports,Unknown,Sony Sports Network,5180000,496743834
Entertainment,IN,M4 Tech,13400000,4568506585
People & Blogs,Unknown,Sindhu Krishna,545000,141016493
Music,Unknown,Pop Chartbusters,18800000,9937065987
Entertainment,IN,Malavika Krishnadas,1610000,936379698
People & Blogs,IN,Behindwoods Hits,1840000,211689257
Entertainment,Unknown,PULLOTHI,1850000,1106904160
Entertainment,IN,Papu PoM PoM Creations,943000,175253297
People & Blogs,IN,Arusuvai Kitchen,150000,27882124
Entertainment,IN,Sony SAB,97000000,121980584211
Music,IN,T-Series,278000000,272740096136
Education,IN,life of Himanshi,427000,105738939
Gaming,GB,Judo Sloth Gaming,3130000,717407790
Comedy,Unknown,Gaurav Kapoor,1420000,381388514
People & Blogs,Unknown,PuravWood,173000,32313573
Entertainment,IN,DESIFEED Video,4660000,888463216
Gaming,IN,Ezio18rip,1820000,297540776
Entertainment,IN,10TV Entertainment,449000,293605240
Entertainment,Unknown,ZEE TV USA,3460000,1808472383
Entertainment,IN,UV Creations,1590000,787758972
Music,IN,Saregama Hum Bhojpuri,15800000,6439686075
Music,IN,Jasleen Royal,1190000,792370638
Sports,ES,LALIGA EA SPORTS,11600000,3663290294
Comedy,IN,Warangal Diaries,1650000,397669092
Comedy,US,LIV Comedy,15000000,9888463005
Music,IN,R Nait,4150000,1443794236
News & Politics,IN,TOM TV,943000,480073148
Music,IN,Salim Sulaiman Music,2320000,645337288
People & Blogs,IN,Food Area Tamil,1970000,322855786
Music,IN,Zee Music Company,111000000,71030988105
Entertainment,IN,Screenwala,1230000,314045234
Entertainment,IN,Avenir Entertainments,371000,103163627
People & Blogs,IN,Star Maa,11200000,15629593508
Entertainment,IN,Viral Bhayani,5780000,2512322312
Entertainment,IN,VILLAGE PATAS విలేజ్ పటాస్,1020000,363482508
Entertainment,IN,Galatta Tamil | கலாட்டா தமிழ்,9890000,1934172581
Entertainment,IN,Bumchick Bunty,781000,261610034
Entertainment,IN,Infinitum Talkies,1160000,374918913
Entertainment,IN,Arjyou,3740000,216766083
Howto & Style,IN,Jannat Zubair Rahmani,6350000,1417939389
Autos & Vehicles,IN,Baiju N Nair,1090000,235490867
Gaming,Unknown,Clash of Clans,21000000,4718347677
Music,IN,Ranjit Bawa Music,2000000,556021258
People & Blogs,US,Nick DiGiovanni,21300000,11795133676
Comedy,IN,Sundeep Sharma,1290000,173525555
Autos & Vehicles,IN,sansCARi sumit,1200000,1384206498
Gaming,IN,Live Insaan,12800000,3020279905
Entertainment,IN,Bollyywood Now,6070000,3223063920
Entertainment,PK,HAR PAL GEO,62000000,62719500042
Music,Unknown,Ed Sheeran,55400000,33424121267
Entertainment,Unknown,Sony PAL,44700000,34480280540
Science & Technology,IN,MR. INDIAN HACKER shorts,7030000,1208495357
Gaming,IN,MineFlux,1730000,295093569
Education,IN,जोश Talks,10900000,1320605332
