title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Kanguva - Release Trailer | Suriya | Bobby Deol | Siva | Devi Sri Prasad | Studio Green,Saregama Tamil,Film & Animation,IN,2024-11-10T15:30:03Z,1.5,5796363,286651,10810,0.0513185595864165
Game Changer Teaser - Ram Charan | Kiara Advani | Shankar | Dil Raju - Shirish,Dil Raju,Entertainment,IN,2024-11-09T12:34:57Z,1.52,46713303,552389,22390,0.012304396458542
I PURCHASED MY DREAM CAR,JONATHAN GAMING,Entertainment,IN,2024-11-11T11:30:06Z,12.18,2340379,320556,15811,0.1437233029351229
Mission: Impossible – The Final Reckoning | Teaser Trailer (2025 Movie) - Tom Cruise,Paramount Pictures,Film & Animation,US,2024-11-11T14:00:07Z,2.02,15507151,244283,12779,0.0165769972833823
ജോഡീശ്വരിനിൽ ബംബർ അടിച്ചു ടിൻ ടോംചാക്കോ..🔥🔥#ocicbc2 #EP 433,Mazhavil Manorama,Entertainment,IN,2024-11-10T09:08:07Z,16.4,3196907,153529,2939,0.0489435570068194
NOOB vs PRO: I REBUILT BROKEN BUILDS IN MINECRAFT,ProBoiz 95,Gaming,IN,2024-11-11T12:36:54Z,34.6,1615989,49773,4446,0.0335515897694848
Rajar Raja | Khadaan |  Dev | Dev Arijit | Savvy | Soojit Dutta | Surinder Films,Surinder  Films,Entertainment,IN,2024-11-12T05:30:06Z,3.52,399376,33345,6062,0.0986714274267857
"Sandhya Raagam (சந்தியாராகம்) | திங்கள்-சனி, இரவு 9.30 மணிக்கு | 12 Nov 24 | Promo | Zee Tamil",Zee Tamil,Entertainment,IN,2024-11-12T06:41:15Z,0.58,1124465,19702,222,0.0177186484239171
Captain America: Brave New World | Official Trailer,Marvel Entertainment,Entertainment,US,2024-11-09T21:16:06Z,2.63,13157909,302057,18017,0.0243255976310521
GULZAAR CHHANIWALA - Sanam Teri Kasam ( Teaser ) Releasing on 15 November,Gulzaar Chhaniwala,Music,IN,2024-11-12T05:30:15Z,0.6,99555,11285,1069,0.1240922103359951
Thalapathy Vijay & Theri Baby's Cute Back to Back Scenes 😍 | Theri | Samantha |Full Movie on Sun NXT,Sun NXT,Entertainment,IN,2024-11-11T04:10:57Z,10.25,300386,2442,33,0.0082393986404159
Teaching Him How To Impress Girls | SlayyPop,SlayyPop,Gaming,IN,2024-11-11T13:30:29Z,18.22,799355,44764,1122,0.0574037817990755
I asked Rich Celebrities For House Tour,Fukra Insaan,Entertainment,IN,2024-11-10T07:30:08Z,19.48,6124986,316892,9717,0.0533240402508675
"देव उठनी एकादशी कथा : आज के दिन तुलसी विवाह कथा सुनने से सभी मनोकामनाए पूर्ण हो जाती है,",Trimurti Bhakti,Music,IN,2024-11-11T23:30:13Z,20.42,419917,3361,264,0.0086326583586756
Yeh Rishta Kya Kehlata Hai Today Episode NEW PROMO | 10th November 2024 |,Telly Reporter,Entertainment,IN,2024-11-10T00:36:16Z,1.0,2295712,26745,1240,0.0121901179241995
Phool Sa Balak - The MriDul | Khushii,The MriDul,Music,IN,2024-11-10T12:30:43Z,4.03,1266152,158334,12870,0.1352159930245342
Jennifer Winget Ki Recipe Ne Mujhe Aur Dilip Ko Kiya Impress! | @FarahKhanK,Farah Khan,People & Blogs,IN,2024-11-11T08:30:06Z,20.83,1852680,50168,4084,0.0292829846492648
Family Diaries | Web Series | Ep2 - Shamli's Haunted Farm | Dreamz Unlimited,Dreamz Unlimited,Entertainment,IN,2024-11-10T10:16:55Z,33.17,406881,38044,1458,0.0970848970583536
കുളിച്ചു ഫ്രഷായി പെർഫ്യൂം അടിച്ചിട്ട്..? | Vivekanandan Viralanu | Saina Play,Saina Movies,Entertainment,IN,2024-11-11T07:18:43Z,4.63,132389,381,3,0.0029005430964808
Unstoppable With NBK Season 4 Ep 4 Promo | Icon Star Allu Arjun | Iddaru Firee (Part 1) | Nov 15th,aha videoIN,Entertainment,IN,2024-11-10T04:30:06Z,5.23,2371899,91353,2495,0.03956660886488
"Marvel Studios’ Thunderbolts* | D23 Brazil Special Look | In Theaters May 2, 2025",Marvel Entertainment,Entertainment,US,2024-11-09T21:05:18Z,3.68,7709508,156801,8231,0.0214062946688686
"Game Changer Teaser Promo - Ram Charan | Shankar | Raju, Shirish | Kiara | Thaman S",Dil Raju,Entertainment,IN,2024-11-08T15:39:09Z,0.23,2153208,102046,3013,0.0487918491850299
Siragadikka Aasai | 11th to 16th November 2024 - Promo,Vijay Television,Entertainment,IN,2024-11-11T07:48:46Z,0.58,1801743,27282,617,0.0154844503350366
Finally My New gaming pc 😍,Sahil joshi Vlogs,People & Blogs,Unknown,2024-11-10T02:45:02Z,13.07,1062824,55384,5079,0.0568890051410205
American Airlines | Stand Up Comedy | Ft  @AnubhavSinghBassi,be_a_bassi,People & Blogs,IN,2024-11-09T06:30:27Z,4.9,3369946,150106,2323,0.0452318820538964
Thug Life Release Date Teaser (Tamil) | Kamal Haasan | Mani Ratnam | STR | AR Rahman | RKFI| MT | RG,Raaj Kamal Films International,Film & Animation,Unknown,2024-11-07T05:30:19Z,0.75,25299323,204139,4749,0.0082566636269278
