category,channel_country,channelTitle,subscriber_count,total_view_count
Film & Animation,US,Paramount Pictures,3710000,2874044861
Music,Unknown,Stray Kids Japan Official YouTube,2960000,541909712
Entertainment,Unknown,Kalogeras Sisters ,2570000,146473565
Entertainment,US,Quenlin Blackwell,1990000,152668137
Entertainment,US,Ryan Reynolds,4720000,868205173
Music,Unknown,My Chemical Romance,4820000,2912402085
Gaming,US,PlayOverwatch,2960000,813327686
Gaming,Unknown,CouRage Gaming,2480000,990219568
People & Blogs,US,Disney Plus,1690000,348214493
Entertainment,US,Bailey Sarian,7500000,1268960990
Gaming,US,Call of Duty,7970000,1618050963
Entertainment,Unknown,DukeDennis LIVE,1200000,137524489
Autos & Vehicles,US,Tavarish,2920000,468903207
Entertainment,US,Nintendo of America,9620000,3609692773
Music,Unknown,KQ ENTERTAINMENT,2860000,1790197667
Howto & Style,CN,李子柒 Liziqi,20000000,3214212586
People & Blogs,Unknown,Jake Paul,20800000,7699220204
Entertainment,US,Marvel Entertainment,21000000,6284538801
People & Blogs,US,Ryland vlogs,559000,88268616
Science & Technology,US,Technology Connections,2530000,323925272
People & Blogs,US,The Royalty Family,27000000,9008067230
Science & Technology,US,Undecided with Matt Ferrell,1500000,190597310
News & Politics,US,KELOLAND News,31100,21239617
Gaming,US,DougDougDoug,718000,96914601
Music,Unknown,YoungBoy Never Broke Again - Topic,28600,2811274981
News & Politics,US,FOX 61,97500,66619463
News & Politics,US,10 Tampa Bay,493000,391200667
Sports,US,Most Valuable Promotions,39400,11770952
Education,US,Good Enough,1080000,98906614
Gaming,Unknown,2XKO,67700,2653537
Autos & Vehicles,Unknown,Auto Focus,1080000,102268167
Entertainment,NO,Nerdforge,3380000,366079142
Entertainment,Unknown,Jake Webber,3800000,456220383
Entertainment,US,Universal Pictures,9410000,6654112731
Gaming,US,The Sketch Real,621000,221266295
Entertainment,Unknown,Jeremy Jahns,2010000,906877535
Entertainment,US,Yellowstone,1430000,531979286
Music,KR,HYBE LABELS,76000000,36771246921
Sports,Unknown,Autumn Nations Series,95000,49367296
Gaming,US,PrestonPlayz,16100000,6853449875
Entertainment,GB,BrainPilot,260000,126711260
Sports,US,CFB ON FOX,242000,140691793
Film & Animation,US,NEN FAM,2130000,1118665759
Music,Unknown,ENHYPEN - Topic,715000,773507169
Education,IE,jacksepticeye,30800000,16959854343
Entertainment,GB,JOLLY,4270000,1419393767
People & Blogs,US,Unspeakable Studios,3110000,656044846
Travel & Events,GB,Trek Trendy,1090000,224022333
Sports,US,ESPN,12900000,15640466707
Sports,US,NFL on CBS,63700,47082683
Entertainment,US,MTV,11300000,2666212588
Comedy,Unknown,Max Fosh,4280000,1290194820
News & Politics,US,KGW News,236000,229507785
