title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
Mission: Impossible – The Final Reckoning | Teaser Trailer (2025 Movie) - Tom Cruise,Paramount Pictures,Film & Animation,US,2024-11-11T14:00:07Z,2.02,15507151,244265,12779,0.0165758365285796
Stray Kids 『GIANT』 Music Video,Stray Kids Japan Official YouTube,Music,Unknown,2024-11-12T15:00:08Z,2.97,1491750,375223,25862,0.268868778280543
Kalogeras Sisters GO ROLLERBLADING!,Kalogeras Sisters ,Entertainment,Unknown,2024-11-11T22:00:36Z,28.32,1585568,81607,6468,0.0555479172132636
FEEDING STARVING INFLUENCERS FT. DUKE DENNIS,Quenlin Blackwell,Entertainment,US,2024-11-10T20:00:36Z,51.57,3032817,202370,8742,0.0696092115020457
Deadpool and Blind Al Have a Big Announcement,Ryan Reynolds,Entertainment,US,2024-11-12T14:53:18Z,0.27,416672,23477,751,0.0581464557253667
"My Chemical Romance - “Long Live"": The Black Parade North American Tour",My Chemical Romance,Music,Unknown,2024-11-12T18:00:03Z,1.33,138919,21605,3317,0.1793995061870586
Overwatch: Classic | Official Trailer | Overwatch 2,PlayOverwatch,Gaming,US,2024-11-11T17:00:06Z,1.5,1333945,65272,8902,0.0556049912102822
I Went UNDERCOVER in Nick Eh 30's Chapter 2 Hide & Seek!,CouRage Gaming,Gaming,Unknown,2024-11-11T22:00:38Z,19.97,987186,20062,627,0.0209575500462932
Coming In 2025 | Disney+,Disney Plus,People & Blogs,US,2024-11-12T14:00:09Z,1.97,697830,15246,1251,0.0236404281845148
She kept her secret lover in the attic for 10 YEARS and no one knew?!,Bailey Sarian,Entertainment,US,2024-11-11T20:00:33Z,29.65,513080,29446,1621,0.0605500116940827
Season 01 Battle Pass Trailer | Call of Duty: Warzone & Black Ops 6,Call of Duty,Gaming,US,2024-11-12T15:00:52Z,1.17,216987,9329,1168,0.0483761700009678
Duke Dennis reacts to him and Quenlin BlackWell's cooking show episode!,DukeDennis LIVE,Entertainment,Unknown,2024-11-11T07:15:49Z,48.75,733748,32570,1205,0.0460307898624595
"Rebuilding A Flooded $2,000,000 McLaren P1 | Part 15",Tavarish,Autos & Vehicles,US,2024-11-11T17:00:06Z,54.72,1420305,88079,3814,0.0646994835616293
SUPER NINTENDO WORLD Direct (Donkey Kong Country) 11.11.2024,Nintendo of America,Entertainment,US,2024-11-11T22:14:54Z,11.03,815925,34805,2431,0.0456365474767901
ATEEZ(에이티즈) - 'Ice On My Teeth' Official MV Teaser 1,KQ ENTERTAINMENT,Music,Unknown,2024-11-12T15:00:06Z,0.62,217696,52613,3153,0.2561645597530501
拿柴房造了一个森林衣帽间~I turned my woodshed into a woodland cloakroom.丨Liziqi Channel,李子柒 Liziqi,Howto & Style,CN,2024-11-12T09:00:19Z,14.58,1280756,131272,21472,0.1192608115831587
I'm Going To War With Mike Tyson.,Jake Paul,People & Blogs,Unknown,2024-11-12T13:04:25Z,13.25,294132,11356,1563,0.0439224565841186
Marvel Animation’s What If…? Season 3 | Official Trailer | Disney+,Marvel Entertainment,Entertainment,US,2024-11-11T17:00:22Z,2.33,3390504,148592,9835,0.0467266813429507
IT’S TIME!!! Our Big Life Update and VLOGMAS!,Ryland vlogs,People & Blogs,US,2024-11-11T19:14:26Z,37.6,326126,16470,1710,0.0557453254263689
"Air fryers are simpler than you think, but still pretty neat",Technology Connections,Science & Technology,US,2024-11-11T14:28:46Z,19.65,910818,62420,6330,0.0754816000562132
MVP Face 2 Face: Paul vs Tyson | Taylor vs Serrano,Jake Paul,People & Blogs,Unknown,2024-11-11T00:35:35Z,30.15,1962630,36943,8931,0.023373738300138
There's Something LIVING in our Wall,The Royalty Family,People & Blogs,US,2024-11-10T16:41:13Z,24.3,4522189,64239,11380,0.0167217690370747
How Solid State Cooling Could Change Everything,Undecided with Matt Ferrell,Science & Technology,US,2024-11-12T13:16:47Z,16.02,237399,10835,606,0.0481931263400435
Noem tapped for Sec. of Homeland Security,KELOLAND News,News & Politics,US,2024-11-12T12:21:59Z,0.68,48661,597,706,0.0267770904831384
"Your game has ONE chance to raise my heart rate, or you're banned.",DougDougDoug,Gaming,US,2024-11-10T22:07:03Z,36.57,770411,42420,1592,0.0571279485884806
Killa Season,YoungBoy Never Broke Again - Topic,Music,Unknown,2024-11-09T02:04:37Z,3.07,123295,4298,37,0.0351595766251672
Why hasn’t balance of power in the US House been declared?,FOX 61,News & Politics,US,2024-11-11T23:49:20Z,3.92,101601,874,696,0.0154526038129545
Captain America: Brave New World | Official Trailer,Marvel Entertainment,Entertainment,US,2024-11-09T21:16:06Z,2.63,13157909,302051,18017,0.0243251416315464
Haitian gangs open fire on Spirit Airlines flight from Florida,10 Tampa Bay,News & Politics,US,2024-11-11T22:28:46Z,0.48,130638,946,593,0.0117806457539154
MVP Uncut: Paul vs. Tyson | Episode 1,Most Valuable Promotions,Sports,US,2024-11-11T17:50:15Z,9.98,374154,7066,1320,0.0224132309156122
The Largest Successful Heists in History,Good Enough,Education,US,2024-11-12T00:19:53Z,12.78,298670,14679,548,0.0509826899253356
Jinx Gameplay Sneak Peek | 2XKO,2XKO,Gaming,Unknown,2024-11-11T16:00:07Z,1.0,526698,20042,889,0.0397400407823838
