title,channelTitle,category,channel_country,date,time,duration,view_count,likes,engagement_rate,tags
Donald Trump speaks after winning the 2024 Presidential Election,Fox News,News & Politics,US,11/6/2024,8:09:45,25.37,17317686,295293,0.018577078,"""Fox News Channel|FNC|Fox News|News|donald trump|swing states|battleground states|electoral college|2024 election|harris campaign|2024 elections|trump campaign|2024|2024 presidential election|fox news|fox news media|fox news channel|fox news network|politics|democrats|republicans|democratic party|republican party|trump v harris|trump live|trump speaking live|trump press conference|trump press briefing|2024 election results|donald trump live"""
Angel Edgar VS Demon Mortis - Animation,Brawl Stars,Gaming,FI,11/6/2024,9:15:40,1.15,3230222,199197,0.064288461,"""brawl stars|brawler|edgar|mortis|angel|demon|brawl pass|new season|animation|kit|skins|battle|fight|epic|supercell"""
HIGHLIGHTS! City fall to Champions League defeat at Sporting | Sporting CP 4-1 Man City | UCL,Man City,Sports,GB,11/5/2024,23:00:09,2.32,3626731,58324,0.016931501,"""man city|manchester city|mcfc|man city highlights|man city goals|city|city vs|man city vs|man city v|video|live|men's team|haaland|pep guardiola|kevin de bruyne|interviews|press conference|pep|city v|guardiola|ucl|champions league|uefa|uefa champions league|etihad|match preview|press|2024/25|sporting|sporting lisbon|sporting v city|sporting v man city|sporting lisbon v city|bernardo silva|silva|sporting cp v city|sporting cp v man city"""
The Most Insane Weapon You Never Heard About,Kurzgesagt – In a Nutshell,Education,DE,11/5/2024,15:00:02,13.93,2183026,127854,0.061996513,"""[none]"""
Ludwig Eats His Last Meal,Mythical Kitchen,Entertainment,US,11/5/2024,11:01:04,43.43,774116,44139,0.059523379,"""mythical kitchen|mythical|chef|josh|scherer|nicole|food|taste test|snack|smash|fears|fancy|fast|recipe|culinary|cooking|cook|bake|baking|mythical chef josh|culinary bro-down|good mythical kitchen"""
What if everyone pointed a laser at the moon?,xkcd's What If?,Science & Technology,US,11/5/2024,17:51:51,5.62,913625,62441,0.071043371,"""[none]"""
Why Are Cooling Towers Shaped Like That?,Practical Engineering,Education,US,11/5/2024,14:00:59,19.8,699957,34424,0.051557453,"""[none]"""
Apex Legends: From the Rift Gameplay Trailer,Apex Legends,Gaming,US,11/5/2024,16:00:11,2.48,446479,20110,0.050504055,"""apex legends|apex legends season 23|apex legends trailer|apex legends From the Rift trailer|apex legends from the rift|new season|new LTM|apex legends Lifeline|Wattson|Horizon|Doc|Prestige Skin|update|collection event|apex legends skins|battle royale|apex legends ps5|apex legends ps4|apex legends xbox|apex legends switch|apex legends pc|respawn entertainment|electronic arts|titanfall 2"""
"On These Questions, Smarter People Do Worse",Veritasium,Education,US,11/4/2024,16:48:03,14.58,2618243,133113,0.055179752,"""veritasium|science|physics|Veritasium|maths|politics|political identity|political beliefs|political ideology|heuristic thinking|democracy|Protective Cognition|political science|communication|Dan Kahan|cultural cognition|heuristics|numeracy|cognitive bias"""
Election Touchscreen Map Takes Deeper Look Inside Key Swing Voter | Onion News Network,The Onion,Comedy,US,11/4/2024,18:00:04,3.18,1839959,121952,0.068483048,"""The Onion|comedy|satire|news|Onion News Network|ONN|ONNCast|humor"""
BEYWATCH,Beyoncé,Music,US,11/5/2024,7:22:00,2.48,645634,60684,0.102530226,"""[none]"""
Australia v Pakistan | First ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,11/4/2024,11:10:00,8.23,5356907,94978,0.018497241,"""ausvpak"""
The Dodgers Are About To Take Over Baseball,Baseball Doesn't Exist,Sports,US,11/4/2024,23:08:47,22.18,446455,15652,0.039952515,"""[none]"""
ARCANE SEASON 2 COLLECTOR’S SET // Skin Reveal Trailer - VALORANT,VALORANT,Gaming,US,11/4/2024,16:36:23,1.3,863933,40132,0.048736418,"""[none]"""
Kodak Black - Catch Fire [Official Music Video],Kodak Black,Music,US,11/5/2024,7:20:39,2.73,369661,25867,0.075485377,"""kodak|black|kodak black|atlantic records|roll in peace|codeine dreaming|tunnel vision|drowning|transportin|heart break kodak|project baby 2|Kodak Black Bill Israel|Bill Israel|Sniper|Sniper Gang|Hip Hop|Rap|Kodak Black I Knew It|Kodak Bill Israel|Kodak Black Easter in Miami|Easter|Easter in Miami|Kodak Easter|Kodak Black Haitian Boy Kodak|Haitian Boy Kodak|Kodak Black HBK|HBK|Kodak Black Happy Birthday Kodak|Happy Birthday Kodak"""
