category,channel_country,channelTitle,subscriber_count,total_view_count
Entertainment,PK,ARY Digital HD,58900000,57715160545.0
Entertainment,IN,JioStudios,863000,540683475.0
Gaming,IN,Total Gaming,43800000,4599455548.0
Sports,AU,cricket.com.au,9350000,5114337811.0
Entertainment,IN,Anand Audio,12800000,9848949458.0
Comedy,IN,Slayy Point,8940000,2491608514.0
Entertainment,IN,Saregama TV Shows Tamil,8700000,10481702263.0
Entertainment,IN,RSVP Movies,707000,501365912.0
Entertainment,IN,aha videoIN,3010000,1890355128.0
Music,IN,Pawan Singh Official,5150000,1374557142.0
People & Blogs,IN,NOT YOUR TYPE,6350000,748430684.0
Music,IN,T-Series Bhakti Sagar,71800000,36563289826.0
Entertainment,IN,RKD Studios,24400000,6299077034.0
Sports,GB,Man City,7810000,2146531160.0
Entertainment,IN,Haritha Jackie,358000,137002287.0
Entertainment,IN,PULLOTHI,1830000,1089795316.0
Autos & Vehicles,IN,Autocar India,2380000,998055258.0
Entertainment,IN,Kapil Sharma,9350000,2015122765.0
Entertainment,IN,Vijay Television,25500000,44679708791.0
Entertainment,IN,Zee Tamil,15700000,13570264224.0
Science & Technology,IN,Tech Burner,12100000,2218527168.0
Entertainment,IN,Girliyapa,4940000,792474399.0
Entertainment,IN,Kairali TV,2810000,1261859185.0
Entertainment,IN,Praveen Pranav,4140000,3394216655.0
Gaming,IN,Samay Raina,4270000,715916800.0
Comedy,IN,Rajat chauhan,1090000,192502960.0
People & Blogs,IN,Farah Khan,935000,256923165.0
Entertainment,IN,Junglee Music Telugu,5170000,2232485854.0
Music,IN,KaanPhod Music,8470000,4963991651.0
People & Blogs,IN,Hema's Kitchen,1570000,453041959.0
People & Blogs,IN,LitFleet,2980000,288499216.0
Gaming,IN,The RawKnee Games,5010000,893946425.0
Entertainment,IN,Infinitum Theatre,877000,288615463.0
Gaming,IN,ProBoii,1300000,183659649.0
People & Blogs,IN,Sourav Joshi Vlogs,29500000,14459385727.0
Comedy,IN,Village Show - Mix,1140000,338543962.0
Music,IN,DM - Desi Melodies,19800000,7289733342.0
Howto & Style,IN,Lekshmi Nair,2050000,463194518.0
Music,IN,Babbu Maan,4040000,1276427981.0
People & Blogs,IN,alexplain,711000,53328783.0
Entertainment,IN,Sun TV,28800000,31530232061.0
Entertainment,IN,Sony Pictures Films India,414000,230088082.0
Science & Technology,IN,GetsetflySCIENCE by Gaurav Thakur,8490000,1329226743.0
Music,IN,Times Music,16700000,5771204237.0
Entertainment,IN,Gemini TV,3770000,2257927162.0
Music,IN,GMJ - Global Music Junction - Bhojpuri,6720000,2085785337.0
People & Blogs,IN,Amma Kai Pakkuvam,873000,384805720.0
Howto & Style,IN,Peravali Sister The Telugu Vlogger,592000,122315105.0
Entertainment,IN,Creative Thinks,2460000,848202985.0
Entertainment,IN,Asianet,11500000,20120276164.0
Entertainment,IN,RVCJ Media,3430000,619912111.0
Entertainment,IN,Sidharrth TV,9120000,7214268416.0
Entertainment,IN,Telly Reporter,6120000,4652630882.0
Gaming,IN,thePJ,369000,123648731.0
People & Blogs,IN,G5 Gamers,1790000,344646976.0
Entertainment,IN,pressnews tv,4620000,1278990882.0
People & Blogs,IN,Dipika Ki Duniya,3920000,969994843.0
People & Blogs,IN,Anirudh Sharma Music,134000,11639130.0
Entertainment,IN,Sony SAB,96800000,121746000000.0
Entertainment,IN,Ghum Hai Kisikey Pyaar Meiin ,2130000,1941295388.0
Entertainment,IN,Zee Bangla,17800000,12120589841.0
People & Blogs,IN,Govind Padmasoorya,637000,131805535.0
Sports,IN,FanCode,1680000,795972910.0
Entertainment,IN,Srikakulam palle Ruchulu,914000,158794229.0
Howto & Style,IN,Ruchi Paakashaale,668000,77212387.0
Sports,AU,Fox Cricket,452000,125968599.0
People & Blogs,IN,Vj Siddhu Vlogs,3560000,723993218.0
Gaming,IN,Desi Army,4300000,475685797.0
Entertainment,IN,DESIFEED Video,4650000,869789327.0
Music,IN,Nav Haryanvi,10600000,4330743629.0
Autos & Vehicles,IN,PowerDrift,2910000,943041183.0
Entertainment,IN,Fukra Insaan,10900000,1806006426.0
Gaming,IN,ProBoiz 95,5680000,1520402382.0
Entertainment,IN,We 3,1610000,511669894.0
People & Blogs,IN,Njangal Inganokkeya,732000,286003590.0
Music,IN,R Nait,4140000,1429410156.0
People & Blogs,IN,Star Maa,11200000,15570143041.0
Comedy,IN,Plip Plip,1170000,127996062.0
People & Blogs,IN,Shoaib Ibrahim Official,3500000,1341786650.0
People & Blogs,IN,sowbhagya venkitesh,688000,268385571.0
Howto & Style,IN,Baiju's Vlogs,3090000,454722058.0
Entertainment,IN,Mohit Chhikara,1640000,330991095.0
People & Blogs,IN,Sahil joshi Vlogs,4240000,408731379.0
Music,IN,VATS RECORDS,5450000,2386961734.0
Music,IN,Speed Records Haryanvi,3630000,1099140202.0
Music,IN,Speed Records,45200000,30172774964.0
Comedy,IN,The MriDul,18100000,5654031467.0
Gaming,US,Clash of Clans,20900000,4704219063.0
