title,channelTitle,category,channel_country,date,time,duration,view_count,likes,engagement_rate,tags
Donald Trump speaks after winning the 2024 Presidential Election,Fox News,News & Politics,US,11/6/2024,8:09:45,25.37,17240521,294170,0.018578209,"""Fox News Channel|FNC|Fox News|News|donald trump|swing states|battleground states|electoral college|2024 election|harris campaign|2024 elections|trump campaign|2024|2024 presidential election|fox news|fox news media|fox news channel|fox news network|politics|democrats|republicans|democratic party|republican party|trump v harris|trump live|trump speaking live|trump press conference|trump press briefing|2024 election results|donald trump live"""
Angel Edgar VS Demon Mortis - Animation,Brawl Stars,Gaming,FI,11/6/2024,9:15:40,1.15,3052291,194126,0.066323624,"""brawl stars|brawler|edgar|mortis|angel|demon|brawl pass|new season|animation|kit|skins|battle|fight|epic|supercell"""
HIGHLIGHTS - Real Madrid vs Milan | UEFA Champions League 24/25 | TUDN,TUDN USA,Sports,US,11/5/2024,22:23:24,15.23,602583,5911,0.0111885,"""Milan|Real Madrid|Real Madrid vs. Milan|real madrid vs milan|highlights real madrid vs milan|real madrid champions league|milan champions league|vinicius champions|mbappe real madrid|donde ver la champions|champions league 2024|champions league hoy|uefa|champions league en vivo|vix|vix champions league|tudn usa|tudn champions league|futbol|univision champions league|futbol eua"""
Real Madrid vs. AC Milan: Extended Highlights | UCL League Phase MD 4 | CBS Sports Golazo,CBS Sports Golazo,Sports,US,11/5/2024,22:55:39,12.98,681640,9788,0.016813861,"""Champions League|Europa League|Soccer|UEFA|UCL|European Soccer|European Football|European Futbol|UEL|UCL Highlights|Champions League Highlights|Football|CBS Golazo|CBS|Micah Richards|Jamie Carragher|Thierry Henry|CBS Studio"""
The Most Insane Weapon You Never Heard About,Kurzgesagt – In a Nutshell,Education,DE,11/5/2024,15:00:02,13.93,2169284,127478,0.062204396,"""[none]"""
Arkansas political science expert speaks on the Electoral College,5NEWS,News & Politics,US,11/6/2024,5:52:01,2.8,91581,558,0.009958397,"""[ national-politics|news|politics ]"""
Ludwig Eats His Last Meal,Mythical Kitchen,Entertainment,US,11/5/2024,11:01:04,43.43,772000,44084,0.059615285,"""mythical kitchen|mythical|chef|josh|scherer|nicole|food|taste test|snack|smash|fears|fancy|fast|recipe|culinary|cooking|cook|bake|baking|mythical chef josh|culinary bro-down|good mythical kitchen"""
Apex Legends: From the Rift Gameplay Trailer,Apex Legends,Gaming,US,11/5/2024,16:00:11,2.48,444658,20091,0.050663656,"""apex legends|apex legends season 23|apex legends trailer|apex legends From the Rift trailer|apex legends from the rift|new season|new LTM|apex legends Lifeline|Wattson|Horizon|Doc|Prestige Skin|update|collection event|apex legends skins|battle royale|apex legends ps5|apex legends ps4|apex legends xbox|apex legends switch|apex legends pc|respawn entertainment|electronic arts|titanfall 2"""
Election Touchscreen Map Takes Deeper Look Inside Key Swing Voter | Onion News Network,The Onion,Comedy,US,11/4/2024,18:00:04,3.18,1836298,121834,0.068554777,"""The Onion|comedy|satire|news|Onion News Network|ONN|ONNCast|humor"""
What if everyone pointed a laser at the moon?,xkcd's What If?,Science & Technology,US,11/5/2024,17:51:51,5.62,908387,62242,0.071227351,"""[none]"""
BEYWATCH,Beyoncé,Music,US,11/5/2024,7:22:00,2.48,644123,60635,0.102682252,"""[none]"""
Why Are Cooling Towers Shaped Like That?,Practical Engineering,Education,US,11/5/2024,14:00:59,19.8,695483,34313,0.05172089,"""[none]"""
Nino Paid - Play This At My Funeral (Official Video) Dir: @Shotbyaddict,Nino Paid,Music,US,11/4/2024,17:00:06,2.23,444595,37036,0.088835907,"""ninopaid|playthisatmyfuneral|cantgobacc|painmusic"""
Kodak Black - Catch Fire [Official Music Video],Kodak Black,Music,US,11/5/2024,7:20:39,2.73,368486,25797,0.075522544,"""kodak|black|kodak black|atlantic records|roll in peace|codeine dreaming|tunnel vision|drowning|transportin|heart break kodak|project baby 2|Kodak Black Bill Israel|Bill Israel|Sniper|Sniper Gang|Hip Hop|Rap|Kodak Black I Knew It|Kodak Bill Israel|Kodak Black Easter in Miami|Easter|Easter in Miami|Kodak Easter|Kodak Black Haitian Boy Kodak|Haitian Boy Kodak|Kodak Black HBK|HBK|Kodak Black Happy Birthday Kodak|Happy Birthday Kodak"""
HIGHLIGHTS! City fall to Champions League defeat at Sporting | Sporting CP 4-1 Man City | UCL,Man City,Sports,GB,11/5/2024,23:00:09,2.32,3571491,57881,0.017065702,"""man city|manchester city|mcfc|man city highlights|man city goals|city|city vs|man city vs|man city v|video|live|men's team|haaland|pep guardiola|kevin de bruyne|interviews|press conference|pep|city v|guardiola|ucl|champions league|uefa|uefa champions league|etihad|match preview|press|2024/25|sporting|sporting lisbon|sporting v city|sporting v man city|sporting lisbon v city|bernardo silva|silva|sporting cp v city|sporting cp v man city"""
Pacific Championships 2024 | Kumuls v Aitu | Match Highlights,NRL - National Rugby League,Sports,AU,11/3/2024,7:33:03,4.8,130905,1841,0.015889385,"""NRL|National Rugby League|Games|Matches|Highlights|Rugby|Telstra Premiership|Fox Sports|State of Origin|Nine|NRL Highlights|NRL Game Highlights|Rugby League Highlights|Rugby League|NRL Full Match|NRL Live|Watch NRL|NRL Match Highlights|Rugby league highlights|NRL 2023|NRL 2023 highlights|NRL23|NRL23 highlights|NRL scores|nrl schedule|nrl draw"""
Sporting CP vs. Man. City: Extended Highlights | UCL League Phase MD 4 | CBS Sports Golazo,CBS Sports Golazo,Sports,US,11/5/2024,22:18:39,10.97,596971,9148,0.016866816,"""Champions League|Europa League|Soccer|UEFA|UCL|European Soccer|European Football|European Futbol|UEL|UCL Highlights|Champions League Highlights|Football|CBS Golazo|CBS|Micah Richards|Jamie Carragher|Thierry Henry|CBS Studio"""
"On These Questions, Smarter People Do Worse",Veritasium,Education,US,11/4/2024,16:48:03,14.58,2613625,132974,0.055222536,"""veritasium|science|physics|Veritasium|maths|politics|political identity|political beliefs|political ideology|heuristic thinking|democracy|Protective Cognition|political science|communication|Dan Kahan|cultural cognition|heuristics|numeracy|cognitive bias"""
The Dodgers Are About To Take Over Baseball,Baseball Doesn't Exist,Sports,US,11/4/2024,23:08:47,22.18,445535,15628,0.039978902,"""[none]"""
La Perversa - Uno (Video Oficial) @mapanegromusiic,La Perversa,Music,DO,11/5/2024,4:00:07,2.13,539831,76678,0.1562396379607692,"""LA PERVERSA|MUSICA URBANA|MUSICA DE LA PERVERSA 2021|La perversa|la perve|musica urbana dj adoni|dj adoni|El Alfa El jefe|La Materialista|La Insuperable|trankyoutv|perve|urban|amanece bailando|La Perversa|NTG|NTG - Si Tu Quieres|la perversa si tu quieres|la perversa|la perversa entrevista|el alfa el jefe|la insuperable|musica urbana|la perversa y yomel el meloso|musica de la perversa 2021|La perversa dembow 2024|la perversa dembow"""
Future - BRAZZIER (Official Music Video),FutureVEVO,Music,US,11/5/2024,2:00:37,3.33,533657,35845,0.070601529,"""future|metro boomin|like that|type shit|travis scott|playboi carti|kendrick lamar|the weekend|we dont trust you|WDTY|young metro future|metro young thug|chainz|chief keef|yo gotti|meek mill|nav|gucci mane|french montana|quavo|21 savage|migos|mixtape pluto|brazzier"""
"Election Day In America | November 5, 2024",CNN 10,Education,US,11/5/2024,1:00:11,10.02,189364,2181,0.02277624,"""cnn 10|cnn10|cnn student news|cnnstudentnews|carl azuz|puns|news|news in 10|channel one news|channelonenews|fridaysareawesome|fridays are awesome"""
Tampa Bay Buccaneers vs. Kansas City Chiefs Game Highlights | NFL 2024 Season Week 9,NFL,Sports,US,11/5/2024,4:43:00,12.68,1912341,25691,0.015326764,"""[none]"""
The GENIUS new porch idea everyone's copying for Christmas!,Hometalk,Howto & Style,US,11/4/2024,18:00:11,9.45,995929,0,9.94046764377782e-05,"""[none]"""
SPENT 24 HOURS IN MIAMI W/ DDOT & DD OSAMA,Brooklyn Frost,People & Blogs,US,11/4/2024,21:16:53,36.77,174728,6247,0.037830228,"""Funny|Fun|viral|got|trendy|new|dd|Sdot|ddot|brooklyn|frost|YouTube|deshae|dog|dub"""
ARCANE SEASON 2 COLLECTOR’S SET // Skin Reveal Trailer - VALORANT,VALORANT,Gaming,US,11/4/2024,16:36:23,1.3,862139,40102,0.048803035,"""[none]"""
i went on a date…,PontiacMadeDDG,Howto & Style,US,11/5/2024,2:44:04,28.43,138230,12747,0.106590465,"""pontiac|pontiacmade|pontiacmadeddg|ddg|pontiacmadeddgvlogs|vlogs|vlog|ddg vlogs|ddg vlog|pontiac vlog|pontiac vlogs|pontiacmadeddg vlog|pontiacmadeddg vlogs|ddg elon musk"""
Olivia Rodrigo Explores #ASMR | W Magazine,W Magazine,Entertainment,US,11/4/2024,13:00:52,16.63,539401,40214,0.078270155,"""w magazine|wmag"""
I Brought Fresh Back to Chapter 2!,Lachlan,Gaming,AU,11/4/2024,13:23:20,17.1,790032,24425,0.032245529,"""fortnite battle royale|fortnite|lachlan|lachy|duos|new season|battle royal|lacy|laclan|epic games|gaming|esports|games|video games|poggies|battle royale|warzone|pubg|lachydachy|power|pwr|rocketleague|rlcs|fortniteupdate|update|battlepass|battle|pass|I Brought|Fresh|Back|to|Chapter|Chapter 2|OG Fortnite|OG Chapter 2|Chapter 2 Remix"""
"Fearless | General Hospital Promo (November 4th, 2024)",General Hospital,Entertainment,US,11/4/2024,12:01:14,0.27,109292,850,0.011382352,"""General Hospital|Port Charles|ABC|GH|Soap Opera"""
Answering Tough Questions✅,Nidal Wonder,Entertainment,US,11/3/2024,16:45:06,9.7,1621092,38815,0.027358102,"""Javin|Nalish|Q&A|Questions|Answers|Nidal|Salish|Nidal and Salish|Naddi|Nidal and Addi|Dating|Broke up|Jealous|Jiji and Gavin|Gavin Magnus|Jiji wonder|Nidal wonder Quit YouTube"""
Polls Open: Here's what you need to know,8 News Now — Las Vegas,News & Politics,US,11/5/2024,15:03:25,1.98,173442,832,0.010747109,"""video|news|en español"""
My Daughter's Emotional 15th BIRTHDAY SURPRISE,Jordan Matter,Entertainment,US,11/2/2024,14:00:07,28.12,11651902,255392,0.025910877,"""nidal wonder|salish matter|nalish|knotts berry farm|birthday surprise|best friends|say say matter|jordan matter|15th birthday|roller coasters|target"""
10 Things You SHOULD Be Buying at Costco in November 2024,The Deal Guy,Science & Technology,US,11/3/2024,19:22:27,20.05,1165367,55894,0.048691957,"""the deal guy|costco|costco store|costco secrets|costco haul|costco shopping|costco shop with me|flavcity|costco tips|costco shopping secrets|costco canada|costco australia|costco deals|costco 2024|2024 costco|what to buy at costco|10 things you should buy at costco|Things You Should ALWAYS Buy at Costco|best things costco|costco shopping 2024|new at costco|costco november 2024|costco november|november costco|november costco 2024|shopping"""
Pacific Championships 2024 | Fiji Bati v PNG Kumuls | Extended Highlights,NRL - National Rugby League,Sports,AU,10/19/2024,23:00:31,16.8,236702,1689,0.008631106,"""Cook Islands|Fiji|Fiji vs. Papua New Guinea|Fox Sports|Haka|Kiwis Highlights|NRL|NRL 2023|NRL 2023 Highlights|NRL Game Highlights|NRL Highlights|NRL Match Highlights|NRL23|National Rugby League|New Zealand Rugby League|New Zeland Kiwis|Nine|Papua New Guinea|Rugby League|Rugby League Highlights|Samoa|Tonga|Tonga Highlights|WWOS|War Cry"""
